Epoch: 001, Train Acc: 0.0396, Test Acc: 0.0193, Train Acc Top5: 0.1532, Test Acc Top5: 0.1326
Epoch: 002, Train Acc: 0.0703, Test Acc: 0.0414, Train Acc Top5: 0.2667, Test Acc Top5: 0.1575
Epoch: 003, Train Acc: 0.1604, Test Acc: 0.0497, Train Acc Top5: 0.3405, Test Acc Top5: 0.1906
Epoch: 004, Train Acc: 0.3099, Test Acc: 0.0801, Train Acc Top5: 0.5748, Test Acc Top5: 0.2652
Epoch: 005, Train Acc: 0.4468, Test Acc: 0.1519, Train Acc Top5: 0.7045, Test Acc Top5: 0.3591
Epoch: 006, Train Acc: 0.5586, Test Acc: 0.1602, Train Acc Top5: 0.8036, Test Acc Top5: 0.3840
Epoch: 007, Train Acc: 0.7135, Test Acc: 0.1243, Train Acc Top5: 0.8685, Test Acc Top5: 0.4171
Epoch: 008, Train Acc: 0.7658, Test Acc: 0.1492, Train Acc Top5: 0.9009, Test Acc Top5: 0.4171
Epoch: 009, Train Acc: 0.8306, Test Acc: 0.1326, Train Acc Top5: 0.9297, Test Acc Top5: 0.4033
Epoch: 010, Train Acc: 0.8991, Test Acc: 0.1934, Train Acc Top5: 0.9459, Test Acc Top5: 0.4061
Epoch: 011, Train Acc: 0.8991, Test Acc: 0.1740, Train Acc Top5: 0.9423, Test Acc Top5: 0.4116
Epoch: 012, Train Acc: 0.9243, Test Acc: 0.1575, Train Acc Top5: 0.9586, Test Acc Top5: 0.4309
Epoch: 013, Train Acc: 0.9315, Test Acc: 0.1851, Train Acc Top5: 0.9586, Test Acc Top5: 0.4033
Epoch: 014, Train Acc: 0.9459, Test Acc: 0.1796, Train Acc Top5: 0.9676, Test Acc Top5: 0.4116
Epoch: 015, Train Acc: 0.9405, Test Acc: 0.1713, Train Acc Top5: 0.9676, Test Acc Top5: 0.3978
Epoch: 016, Train Acc: 0.9477, Test Acc: 0.1657, Train Acc Top5: 0.9658, Test Acc Top5: 0.4227
Epoch: 017, Train Acc: 0.9514, Test Acc: 0.1823, Train Acc Top5: 0.9694, Test Acc Top5: 0.4171
Epoch: 018, Train Acc: 0.9532, Test Acc: 0.1740, Train Acc Top5: 0.9712, Test Acc Top5: 0.4116
Epoch: 019, Train Acc: 0.9532, Test Acc: 0.1630, Train Acc Top5: 0.9712, Test Acc Top5: 0.3812
Epoch: 020, Train Acc: 0.9532, Test Acc: 0.1906, Train Acc Top5: 0.9730, Test Acc Top5: 0.4282
Epoch: 021, Train Acc: 0.9532, Test Acc: 0.1685, Train Acc Top5: 0.9712, Test Acc Top5: 0.4171
Epoch: 022, Train Acc: 0.9532, Test Acc: 0.1602, Train Acc Top5: 0.9730, Test Acc Top5: 0.4227
Epoch: 023, Train Acc: 0.9495, Test Acc: 0.1713, Train Acc Top5: 0.9712, Test Acc Top5: 0.4061
Epoch: 024, Train Acc: 0.9514, Test Acc: 0.1575, Train Acc Top5: 0.9712, Test Acc Top5: 0.3978
Epoch: 025, Train Acc: 0.9532, Test Acc: 0.1657, Train Acc Top5: 0.9712, Test Acc Top5: 0.4033
Epoch: 026, Train Acc: 0.9532, Test Acc: 0.1823, Train Acc Top5: 0.9712, Test Acc Top5: 0.4282
Epoch: 027, Train Acc: 0.9532, Test Acc: 0.1768, Train Acc Top5: 0.9712, Test Acc Top5: 0.4144
Epoch: 028, Train Acc: 0.9532, Test Acc: 0.1823, Train Acc Top5: 0.9712, Test Acc Top5: 0.4116
Epoch: 029, Train Acc: 0.9532, Test Acc: 0.1851, Train Acc Top5: 0.9730, Test Acc Top5: 0.3840
Epoch: 030, Train Acc: 0.9532, Test Acc: 0.1768, Train Acc Top5: 0.9712, Test Acc Top5: 0.3895
Epoch: 031, Train Acc: 0.9532, Test Acc: 0.1464, Train Acc Top5: 0.9712, Test Acc Top5: 0.3785
Epoch: 032, Train Acc: 0.9532, Test Acc: 0.1630, Train Acc Top5: 0.9712, Test Acc Top5: 0.4199
Epoch: 033, Train Acc: 0.9532, Test Acc: 0.1685, Train Acc Top5: 0.9730, Test Acc Top5: 0.4309
Epoch: 034, Train Acc: 0.9532, Test Acc: 0.1713, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 035, Train Acc: 0.9532, Test Acc: 0.1823, Train Acc Top5: 0.9712, Test Acc Top5: 0.3895
Epoch: 036, Train Acc: 0.9532, Test Acc: 0.1768, Train Acc Top5: 0.9712, Test Acc Top5: 0.3950
Epoch: 037, Train Acc: 0.9532, Test Acc: 0.1657, Train Acc Top5: 0.9712, Test Acc Top5: 0.3923
Epoch: 038, Train Acc: 0.9532, Test Acc: 0.1851, Train Acc Top5: 0.9730, Test Acc Top5: 0.4227
Epoch: 039, Train Acc: 0.9532, Test Acc: 0.1823, Train Acc Top5: 0.9712, Test Acc Top5: 0.4171
Epoch: 040, Train Acc: 0.9514, Test Acc: 0.1878, Train Acc Top5: 0.9712, Test Acc Top5: 0.4144
Epoch: 041, Train Acc: 0.9532, Test Acc: 0.1906, Train Acc Top5: 0.9712, Test Acc Top5: 0.4309
Epoch: 042, Train Acc: 0.9532, Test Acc: 0.1851, Train Acc Top5: 0.9730, Test Acc Top5: 0.4282
Epoch: 043, Train Acc: 0.9514, Test Acc: 0.1740, Train Acc Top5: 0.9730, Test Acc Top5: 0.4116
Epoch: 044, Train Acc: 0.9550, Test Acc: 0.1851, Train Acc Top5: 0.9712, Test Acc Top5: 0.4144
Epoch: 045, Train Acc: 0.9550, Test Acc: 0.1713, Train Acc Top5: 0.9712, Test Acc Top5: 0.4116
Epoch: 046, Train Acc: 0.9550, Test Acc: 0.1713, Train Acc Top5: 0.9712, Test Acc Top5: 0.4116
Epoch: 047, Train Acc: 0.9532, Test Acc: 0.1796, Train Acc Top5: 0.9730, Test Acc Top5: 0.4309
Epoch: 048, Train Acc: 0.9532, Test Acc: 0.1851, Train Acc Top5: 0.9730, Test Acc Top5: 0.4227
Epoch: 049, Train Acc: 0.9532, Test Acc: 0.1851, Train Acc Top5: 0.9730, Test Acc Top5: 0.4227
Epoch: 050, Train Acc: 0.9550, Test Acc: 0.1740, Train Acc Top5: 0.9730, Test Acc Top5: 0.4061
Epoch: 051, Train Acc: 0.9550, Test Acc: 0.1602, Train Acc Top5: 0.9712, Test Acc Top5: 0.4144
Epoch: 052, Train Acc: 0.9550, Test Acc: 0.1547, Train Acc Top5: 0.9712, Test Acc Top5: 0.3895
Epoch: 053, Train Acc: 0.9550, Test Acc: 0.1547, Train Acc Top5: 0.9712, Test Acc Top5: 0.4088
Epoch: 054, Train Acc: 0.9550, Test Acc: 0.1630, Train Acc Top5: 0.9730, Test Acc Top5: 0.4254
Epoch: 055, Train Acc: 0.9532, Test Acc: 0.1657, Train Acc Top5: 0.9730, Test Acc Top5: 0.4227
Epoch: 056, Train Acc: 0.9550, Test Acc: 0.1713, Train Acc Top5: 0.9730, Test Acc Top5: 0.4199
Epoch: 057, Train Acc: 0.9568, Test Acc: 0.1602, Train Acc Top5: 0.9712, Test Acc Top5: 0.4088
Epoch: 058, Train Acc: 0.9568, Test Acc: 0.1519, Train Acc Top5: 0.9730, Test Acc Top5: 0.4116
Epoch: 059, Train Acc: 0.9568, Test Acc: 0.1547, Train Acc Top5: 0.9730, Test Acc Top5: 0.4199
Epoch: 060, Train Acc: 0.9568, Test Acc: 0.1492, Train Acc Top5: 0.9730, Test Acc Top5: 0.4171
Epoch: 061, Train Acc: 0.9568, Test Acc: 0.1630, Train Acc Top5: 0.9730, Test Acc Top5: 0.4309
Epoch: 062, Train Acc: 0.9550, Test Acc: 0.1657, Train Acc Top5: 0.9730, Test Acc Top5: 0.4006
Epoch: 063, Train Acc: 0.9532, Test Acc: 0.1740, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 064, Train Acc: 0.9568, Test Acc: 0.1768, Train Acc Top5: 0.9730, Test Acc Top5: 0.4061
Epoch: 065, Train Acc: 0.9568, Test Acc: 0.1685, Train Acc Top5: 0.9730, Test Acc Top5: 0.3950
Epoch: 066, Train Acc: 0.9568, Test Acc: 0.1713, Train Acc Top5: 0.9730, Test Acc Top5: 0.3978
Epoch: 067, Train Acc: 0.9568, Test Acc: 0.1685, Train Acc Top5: 0.9730, Test Acc Top5: 0.4144
Epoch: 068, Train Acc: 0.9477, Test Acc: 0.1519, Train Acc Top5: 0.9712, Test Acc Top5: 0.4088
Epoch: 069, Train Acc: 0.9532, Test Acc: 0.1547, Train Acc Top5: 0.9730, Test Acc Top5: 0.4337
Epoch: 070, Train Acc: 0.9550, Test Acc: 0.1685, Train Acc Top5: 0.9730, Test Acc Top5: 0.4006
Epoch: 071, Train Acc: 0.9532, Test Acc: 0.1685, Train Acc Top5: 0.9712, Test Acc Top5: 0.3895
Epoch: 072, Train Acc: 0.9550, Test Acc: 0.1685, Train Acc Top5: 0.9712, Test Acc Top5: 0.3923
Epoch: 073, Train Acc: 0.9550, Test Acc: 0.1630, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 074, Train Acc: 0.9550, Test Acc: 0.1630, Train Acc Top5: 0.9712, Test Acc Top5: 0.3923
Epoch: 075, Train Acc: 0.9568, Test Acc: 0.1685, Train Acc Top5: 0.9730, Test Acc Top5: 0.3950
Epoch: 076, Train Acc: 0.9568, Test Acc: 0.1602, Train Acc Top5: 0.9730, Test Acc Top5: 0.4006
Epoch: 077, Train Acc: 0.9568, Test Acc: 0.1740, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 078, Train Acc: 0.9568, Test Acc: 0.1657, Train Acc Top5: 0.9730, Test Acc Top5: 0.3923
Epoch: 079, Train Acc: 0.9568, Test Acc: 0.1740, Train Acc Top5: 0.9730, Test Acc Top5: 0.4061
Epoch: 080, Train Acc: 0.9568, Test Acc: 0.1657, Train Acc Top5: 0.9730, Test Acc Top5: 0.3923
Epoch: 081, Train Acc: 0.9568, Test Acc: 0.1685, Train Acc Top5: 0.9730, Test Acc Top5: 0.3867
Epoch: 082, Train Acc: 0.9550, Test Acc: 0.1713, Train Acc Top5: 0.9730, Test Acc Top5: 0.3785
Epoch: 083, Train Acc: 0.9568, Test Acc: 0.1575, Train Acc Top5: 0.9730, Test Acc Top5: 0.3867
Epoch: 084, Train Acc: 0.9568, Test Acc: 0.1436, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 085, Train Acc: 0.9568, Test Acc: 0.1547, Train Acc Top5: 0.9730, Test Acc Top5: 0.4171
Epoch: 086, Train Acc: 0.9568, Test Acc: 0.1409, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 087, Train Acc: 0.9568, Test Acc: 0.1575, Train Acc Top5: 0.9730, Test Acc Top5: 0.4006
Epoch: 088, Train Acc: 0.9568, Test Acc: 0.1713, Train Acc Top5: 0.9730, Test Acc Top5: 0.3950
Epoch: 089, Train Acc: 0.9568, Test Acc: 0.1685, Train Acc Top5: 0.9730, Test Acc Top5: 0.3895
Epoch: 090, Train Acc: 0.9568, Test Acc: 0.1630, Train Acc Top5: 0.9730, Test Acc Top5: 0.3895
Epoch: 091, Train Acc: 0.9568, Test Acc: 0.1575, Train Acc Top5: 0.9730, Test Acc Top5: 0.3840
Epoch: 092, Train Acc: 0.9568, Test Acc: 0.1685, Train Acc Top5: 0.9730, Test Acc Top5: 0.3757
Epoch: 093, Train Acc: 0.9568, Test Acc: 0.1519, Train Acc Top5: 0.9730, Test Acc Top5: 0.3867
Epoch: 094, Train Acc: 0.9568, Test Acc: 0.1796, Train Acc Top5: 0.9730, Test Acc Top5: 0.4061
Epoch: 095, Train Acc: 0.9568, Test Acc: 0.1713, Train Acc Top5: 0.9730, Test Acc Top5: 0.4144
Epoch: 096, Train Acc: 0.9568, Test Acc: 0.1685, Train Acc Top5: 0.9730, Test Acc Top5: 0.3950
Epoch: 097, Train Acc: 0.9568, Test Acc: 0.1575, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 098, Train Acc: 0.9568, Test Acc: 0.1602, Train Acc Top5: 0.9712, Test Acc Top5: 0.3895
Epoch: 099, Train Acc: 0.9568, Test Acc: 0.1519, Train Acc Top5: 0.9730, Test Acc Top5: 0.4171
Epoch: 100, Train Acc: 0.9568, Test Acc: 0.1492, Train Acc Top5: 0.9730, Test Acc Top5: 0.3895
Epoch: 101, Train Acc: 0.9568, Test Acc: 0.1519, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 102, Train Acc: 0.9568, Test Acc: 0.1657, Train Acc Top5: 0.9730, Test Acc Top5: 0.3950
Epoch: 103, Train Acc: 0.9568, Test Acc: 0.1575, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 104, Train Acc: 0.9568, Test Acc: 0.1575, Train Acc Top5: 0.9730, Test Acc Top5: 0.3840
Epoch: 105, Train Acc: 0.9568, Test Acc: 0.1602, Train Acc Top5: 0.9730, Test Acc Top5: 0.4006
Epoch: 106, Train Acc: 0.9568, Test Acc: 0.1575, Train Acc Top5: 0.9730, Test Acc Top5: 0.3895
Epoch: 107, Train Acc: 0.9568, Test Acc: 0.1436, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 108, Train Acc: 0.9532, Test Acc: 0.1409, Train Acc Top5: 0.9730, Test Acc Top5: 0.3619
Epoch: 109, Train Acc: 0.9568, Test Acc: 0.1657, Train Acc Top5: 0.9730, Test Acc Top5: 0.4006
Epoch: 110, Train Acc: 0.9568, Test Acc: 0.1796, Train Acc Top5: 0.9730, Test Acc Top5: 0.4033
Epoch: 111, Train Acc: 0.9568, Test Acc: 0.1575, Train Acc Top5: 0.9730, Test Acc Top5: 0.3646
Epoch: 112, Train Acc: 0.9568, Test Acc: 0.1519, Train Acc Top5: 0.9730, Test Acc Top5: 0.3923
Epoch: 113, Train Acc: 0.9568, Test Acc: 0.1740, Train Acc Top5: 0.9730, Test Acc Top5: 0.4061
Epoch: 114, Train Acc: 0.9568, Test Acc: 0.1796, Train Acc Top5: 0.9730, Test Acc Top5: 0.3757
Epoch: 115, Train Acc: 0.9568, Test Acc: 0.1740, Train Acc Top5: 0.9730, Test Acc Top5: 0.3757
Epoch: 116, Train Acc: 0.9550, Test Acc: 0.1602, Train Acc Top5: 0.9730, Test Acc Top5: 0.3923
Epoch: 117, Train Acc: 0.9568, Test Acc: 0.1740, Train Acc Top5: 0.9730, Test Acc Top5: 0.4006
Epoch: 118, Train Acc: 0.9568, Test Acc: 0.1657, Train Acc Top5: 0.9730, Test Acc Top5: 0.3840
Epoch: 119, Train Acc: 0.9568, Test Acc: 0.1547, Train Acc Top5: 0.9730, Test Acc Top5: 0.3923
