Epoch: 001, Train Acc: 0.0991, Test Acc: 0.1243, Train Acc Top5: 0.4162, Test Acc Top5: 0.4254
Epoch: 002, Train Acc: 0.2198, Test Acc: 0.2265, Train Acc Top5: 0.5910, Test Acc Top5: 0.5691
Epoch: 003, Train Acc: 0.2991, Test Acc: 0.2818, Train Acc Top5: 0.7099, Test Acc Top5: 0.6768
Epoch: 004, Train Acc: 0.3171, Test Acc: 0.2983, Train Acc Top5: 0.7532, Test Acc Top5: 0.7320
Epoch: 005, Train Acc: 0.3838, Test Acc: 0.3508, Train Acc Top5: 0.8270, Test Acc Top5: 0.7818
Epoch: 006, Train Acc: 0.3820, Test Acc: 0.3453, Train Acc Top5: 0.8360, Test Acc Top5: 0.8011
Epoch: 007, Train Acc: 0.4126, Test Acc: 0.3785, Train Acc Top5: 0.8324, Test Acc Top5: 0.8066
Epoch: 008, Train Acc: 0.4378, Test Acc: 0.3978, Train Acc Top5: 0.8847, Test Acc Top5: 0.8287
Epoch: 009, Train Acc: 0.3982, Test Acc: 0.3508, Train Acc Top5: 0.8595, Test Acc Top5: 0.7983
Epoch: 010, Train Acc: 0.4360, Test Acc: 0.3646, Train Acc Top5: 0.8937, Test Acc Top5: 0.8425
Epoch: 011, Train Acc: 0.4432, Test Acc: 0.3674, Train Acc Top5: 0.8811, Test Acc Top5: 0.8204
Epoch: 012, Train Acc: 0.4468, Test Acc: 0.3840, Train Acc Top5: 0.8775, Test Acc Top5: 0.8287
Epoch: 013, Train Acc: 0.4847, Test Acc: 0.3978, Train Acc Top5: 0.9009, Test Acc Top5: 0.8508
Epoch: 014, Train Acc: 0.4991, Test Acc: 0.3950, Train Acc Top5: 0.9135, Test Acc Top5: 0.8536
Epoch: 015, Train Acc: 0.4973, Test Acc: 0.3812, Train Acc Top5: 0.9225, Test Acc Top5: 0.8619
Epoch: 016, Train Acc: 0.5243, Test Acc: 0.4088, Train Acc Top5: 0.9225, Test Acc Top5: 0.8536
Epoch: 017, Train Acc: 0.5243, Test Acc: 0.4033, Train Acc Top5: 0.9297, Test Acc Top5: 0.8287
Epoch: 018, Train Acc: 0.5189, Test Acc: 0.4033, Train Acc Top5: 0.9351, Test Acc Top5: 0.8398
Epoch: 019, Train Acc: 0.5640, Test Acc: 0.4033, Train Acc Top5: 0.9189, Test Acc Top5: 0.8260
Epoch: 020, Train Acc: 0.5387, Test Acc: 0.3895, Train Acc Top5: 0.9243, Test Acc Top5: 0.8287
Epoch: 021, Train Acc: 0.5658, Test Acc: 0.4254, Train Acc Top5: 0.9405, Test Acc Top5: 0.8508
