Epoch: 001, Train Acc: 0.1045, Test Acc: 0.1022, Train Acc Top5: 0.4000, Test Acc Top5: 0.3812
Epoch: 002, Train Acc: 0.1964, Test Acc: 0.1823, Train Acc Top5: 0.6018, Test Acc Top5: 0.6105
Epoch: 003, Train Acc: 0.2414, Test Acc: 0.2265, Train Acc Top5: 0.6486, Test Acc Top5: 0.6326
Epoch: 004, Train Acc: 0.2811, Test Acc: 0.2707, Train Acc Top5: 0.6811, Test Acc Top5: 0.6326
Epoch: 005, Train Acc: 0.3135, Test Acc: 0.3094, Train Acc Top5: 0.7279, Test Acc Top5: 0.6961
Epoch: 006, Train Acc: 0.3207, Test Acc: 0.3039, Train Acc Top5: 0.7586, Test Acc Top5: 0.7514
Epoch: 007, Train Acc: 0.3928, Test Acc: 0.3591, Train Acc Top5: 0.8054, Test Acc Top5: 0.7624
Epoch: 008, Train Acc: 0.3405, Test Acc: 0.3204, Train Acc Top5: 0.7784, Test Acc Top5: 0.7597
Epoch: 009, Train Acc: 0.3802, Test Acc: 0.3508, Train Acc Top5: 0.8505, Test Acc Top5: 0.8094
Epoch: 010, Train Acc: 0.4432, Test Acc: 0.3646, Train Acc Top5: 0.8883, Test Acc Top5: 0.8398
Epoch: 011, Train Acc: 0.4739, Test Acc: 0.3895, Train Acc Top5: 0.8937, Test Acc Top5: 0.8757
Epoch: 012, Train Acc: 0.4631, Test Acc: 0.3702, Train Acc Top5: 0.8883, Test Acc Top5: 0.8481
Epoch: 013, Train Acc: 0.4757, Test Acc: 0.3702, Train Acc Top5: 0.9027, Test Acc Top5: 0.8619
Epoch: 014, Train Acc: 0.4955, Test Acc: 0.3895, Train Acc Top5: 0.8991, Test Acc Top5: 0.8646
Epoch: 015, Train Acc: 0.4559, Test Acc: 0.3729, Train Acc Top5: 0.9099, Test Acc Top5: 0.8453
Epoch: 016, Train Acc: 0.5063, Test Acc: 0.3867, Train Acc Top5: 0.9153, Test Acc Top5: 0.8564
Epoch: 017, Train Acc: 0.4919, Test Acc: 0.3840, Train Acc Top5: 0.9063, Test Acc Top5: 0.8619
Epoch: 018, Train Acc: 0.5207, Test Acc: 0.4061, Train Acc Top5: 0.9189, Test Acc Top5: 0.8591
Epoch: 019, Train Acc: 0.5189, Test Acc: 0.3867, Train Acc Top5: 0.9225, Test Acc Top5: 0.8564
