chart_name,chart_type,main_chart_marks_precision,main_chart_marks_recall,main_chart_marks_f1,main_chart_marks_jaccard,main_chart_marks_accuracy,main_chart_marks_tp,main_chart_marks_fp,main_chart_marks_fn,main_chart_marks_predicted_count,main_chart_marks_ground_truth_count,main_chart_marks_is_empty_match,axis_labels_precision,axis_labels_recall,axis_labels_f1,axis_labels_jaccard,axis_labels_accuracy,axis_labels_tp,axis_labels_fp,axis_labels_fn,axis_labels_predicted_count,axis_labels_ground_truth_count,axis_labels_is_empty_match,axis_titles_precision,axis_titles_recall,axis_titles_f1,axis_titles_jaccard,axis_titles_accuracy,axis_titles_tp,axis_titles_fp,axis_titles_fn,axis_titles_predicted_count,axis_titles_ground_truth_count,axis_titles_is_empty_match,legend_labels_precision,legend_labels_recall,legend_labels_f1,legend_labels_jaccard,legend_labels_accuracy,legend_labels_tp,legend_labels_fp,legend_labels_fn,legend_labels_predicted_count,legend_labels_ground_truth_count,legend_labels_is_empty_match,legend_marks_precision,legend_marks_recall,legend_marks_f1,legend_marks_jaccard,legend_marks_accuracy,legend_marks_tp,legend_marks_fp,legend_marks_fn,legend_marks_predicted_count,legend_marks_ground_truth_count,legend_marks_is_empty_match,legend_titles_precision,legend_titles_recall,legend_titles_f1,legend_titles_jaccard,legend_titles_accuracy,legend_titles_tp,legend_titles_fp,legend_titles_fn,legend_titles_predicted_count,legend_titles_ground_truth_count,legend_titles_is_empty_match,overall_f1,evaluated_at,status
MatrixDiagram18,MatrixDiagram,1.0,1.0,1.0,1.0,1.0,676,0,0,676,676,False,1.0,1.0,1.0,1.0,1.0,52,0,0,52,52,False,1.0,1.0,1.0,1.0,1.0,2,0,0,2,2,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,2025-06-27T22:14:03.641109,success
StackedBarChart14,StackedBarChart,1.0,1.0,1.0,1.0,1.0,37,0,0,37,37,False,1.0,1.0,1.0,1.0,1.0,32,0,0,32,32,False,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,False,1.0,1.0,1.0,1.0,1.0,7,0,0,7,7,False,1.0,1.0,1.0,1.0,1.0,7,0,0,7,7,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,2025-06-27T22:14:03.642728,success
ViolinPlot1,ViolinPlot,1.0,1.0,1.0,1.0,1.0,4,0,0,4,4,False,1.0,1.0,1.0,1.0,1.0,11,0,0,11,11,False,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,2025-06-27T22:14:03.643823,success
BulletChart12,BulletChart,1.0,1.0,1.0,1.0,1.0,20,0,0,20,20,False,1.0,1.0,1.0,1.0,1.0,33,0,0,33,33,False,0.0,0.0,0.0,0.0,0.0,0,0,3,0,3,False,0.0,0.0,0.0,0.0,0.0,0,3,0,3,0,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.6666666666666666,2025-06-27T22:14:03.645023,success
GroupedBarChart17,GroupedBarChart,1.0,1.0,1.0,1.0,1.0,26,0,0,26,26,False,1.0,1.0,1.0,1.0,1.0,12,0,0,12,12,False,1.0,1.0,1.0,1.0,1.0,2,0,0,2,2,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,2025-06-27T22:14:03.647196,success
_bespoke15,bespoke,0.78125,0.3424657534246575,0.47619047619047616,0.3125,0.3424657534246575,25,7,48,32,73,False,1.0,1.0,1.0,1.0,1.0,22,0,0,22,22,False,1.0,1.0,1.0,1.0,1.0,2,0,0,2,2,False,1.0,1.0,1.0,1.0,1.0,2,0,0,2,2,False,0.0,0.0,0.0,0.0,0.0,0,3,0,3,0,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.746031746031746,2025-06-27T22:14:03.648803,success
WaterfallChart7,WaterfallChart,1.0,1.0,1.0,1.0,1.0,12,0,0,12,12,False,1.0,1.0,1.0,1.0,1.0,17,0,0,17,17,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,2025-06-27T22:14:03.649997,success
BumpChart7,BumpChart,1.0,0.14285714285714285,0.25,0.14285714285714285,0.14285714285714285,30,0,180,30,210,False,1.0,1.0,1.0,1.0,1.0,36,0,0,36,36,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.0,0.0,0.0,0.0,0.0,0,30,0,30,0,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.7083333333333334,2025-06-27T22:14:03.652105,success
Scatterplot14,Scatterplot,1.0,1.0,1.0,1.0,1.0,91,0,0,91,91,False,1.0,1.0,1.0,1.0,1.0,10,0,0,10,10,False,1.0,1.0,1.0,1.0,1.0,2,0,0,2,2,False,1.0,1.0,1.0,1.0,1.0,3,0,0,3,3,False,1.0,1.0,1.0,1.0,1.0,3,0,0,3,3,False,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,False,1.0,2025-06-27T22:14:03.653649,success
StackedAreaChart11,StackedAreaChart,1.0,1.0,1.0,1.0,1.0,9,0,0,9,9,False,0.0,0.0,0.0,0.0,0.0,0,6,38,6,38,False,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,0.8333333333333334,2025-06-27T22:14:03.655723,success
