City_EN,FID,Field_1,GbCity,GbProv,Prov_EN
Beijing,0,24,1100,11,Beijing
Tianjin,1,245,1200,12,Tianjin
Shijiazhuang,2,228,1301,13,Hebei
Tangshan,3,244,1302,13,Hebei
Qinhuangdao,4,201,1303,13,Hebei
Handan,5,86,1304,13,Hebei
Xingtai,6,282,1305,13,Hebei
Baoding,7,21,1306,13,Hebei
Zhangjiakou,8,318,1307,13,Hebei
Chengde,9,40,1308,13,Hebei
Cangzhou,10,30,1309,13,Hebei
Langfang,11,143,1310,13,Hebei
Hengshui,12,98,1311,13,Hebei
Taiyuan,13,241,1401,14,Shanxi
Datong,14,49,1402,14,Shanxi
Yangquan,15,296,1403,14,Shanxi
Changzhi,16,323,1404,14,Shanxi
Jincheng,17,128,1405,14,Shanxi
Shuozhou,18,231,1406,14,Shanxi
Jinzhong,19,129,1407,14,Shanxi
Yuncheng,20,314,1408,14,Shanxi
Xinzhou,21,278,1409,14,Shanxi
Linfen,22,154,1410,14,Shanxi
Lvliangdiqu,23,167,1423,14,Shanxi
Huhehaote,24,101,1501,15,Neimenggu
Baotou,25,19,1502,15,Neimenggu
Wuhai,26,259,1503,15,Neimenggu
Chifeng,27,42,1504,15,Neimenggu
Tongliao,28,249,1505,15,Neimenggu
Hulunbeier,29,102,1521,15,Neimenggu
Xingan,30,283,1522,15,Neimenggu
Xilinguole,31,271,1525,15,Neimenggu
Wulanchabu,32,260,1526,15,Neimenggu
Yikezhao,33,298,1527,15,Neimenggu
Bayannaoer,34,11,1528,15,Neimenggu
Alashan,35,3,1529,15,Neimenggu
Shenyang,36,225,2101,21,Liaoning
Dalian,37,47,2102,21,Liaoning
Anshan,38,10,2103,21,Liaoning
Fushun,39,64,2104,21,Liaoning
Benxi,40,25,2105,21,Liaoning
Dandong,41,51,2106,21,Liaoning
Jinzhou,42,127,2107,21,Liaoning
Yingkou,43,306,2108,21,Liaoning
Fuxin,44,66,2109,21,Liaoning
Liaoyang,45,149,2110,21,Liaoning
Panjin,46,189,2111,21,Liaoning
Tieling,47,247,2112,21,Liaoning
Chaoyang,48,36,2113,21,Liaoning
Huludao,49,103,2114,21,Liaoning
Changchun,50,321,2201,22,Jilin
Jilin,51,116,2202,22,Jilin
Siping,52,233,2203,22,Jilin
Liaoyuan,53,150,2204,22,Jilin
Tonghua,54,248,2205,22,Jilin
Baishan,55,15,2206,22,Jilin
Songyuan,56,234,2207,22,Jilin
Baicheng,57,14,2208,22,Jilin
Yanbianchaoxianzu,58,292,2224,22,Jilin
Haerbin,59,79,2301,23,Heilongjiang
Qiqihaer,60,196,2302,23,Heilongjiang
Jixi,61,114,2303,23,Heilongjiang
Hegang,62,96,2304,23,Heilongjiang
Shuangyashan,63,230,2305,23,Heilongjiang
Daqing,64,48,2306,23,Heilongjiang
Yichun,65,297,2307,23,Heilongjiang
Jiamusi,66,119,2308,23,Heilongjiang
Qitaihe,67,195,2309,23,Heilongjiang
Mudanjiang,68,174,2310,23,Heilongjiang
Heihe,69,97,2311,23,Heilongjiang
Suihua,70,236,2312,23,Heilongjiang
Daxinganlingdiqu,71,50,2327,23,Heilongjiang
Shanghai,72,219,3100,31,Shanghai
Nanjing,73,178,3201,32,Jiangsu
Wuxi,74,262,3202,32,Jiangsu
Xuzhou,75,286,3203,32,Jiangsu
Changzhou,76,34,3204,32,Jiangsu
Suzhou,77,235,3205,32,Jiangsu
Nantong,78,182,3206,32,Jiangsu
Lianyungang,79,147,3207,32,Jiangsu
Huaiyin,80,108,3208,32,Jiangsu
Yancheng,81,293,3209,32,Jiangsu
Yangzhou,82,294,3210,32,Jiangsu
Zhenjiang,83,326,3211,32,Jiangsu
Taizhou,84,243,3212,32,Jiangsu
Suqian,85,284,3213,32,Jiangsu
Hangzhou,86,88,3301,33,Zhejiang
Ningbo,87,185,3302,33,Zhejiang
Wenzhou,88,257,3303,33,Zhejiang
Jiaxing,89,120,3304,33,Zhejiang
Huzhou,90,104,3305,33,Zhejiang
Shaoxing,91,223,3306,33,Zhejiang
Jinhua,92,126,3307,33,Zhejiang
Quzhou,93,205,3308,33,Zhejiang
Zhoushan,94,331,3309,33,Zhejiang
Taizhou,95,240,3310,33,Zhejiang
Lishui,96,146,3311,33,Zhejiang
Hefei,97,89,3401,34,Anhui
Wuhu,98,263,3402,34,Anhui
Bengbu,99,18,3403,34,Anhui
Huainan,100,107,3404,34,Anhui
Maanshan,101,168,3405,34,Anhui
Huaibei,102,106,3406,34,Anhui
Tongling,103,251,3407,34,Anhui
Anqing,104,7,3408,34,Anhui
Huangshan,105,111,3410,34,Anhui
Chuzhou,106,43,3411,34,Anhui
Fuyang,107,67,3412,34,Anhui
Suzhou,108,285,3413,34,Anhui
Chaohu,109,35,3414,34,Anhui
Liuan,110,159,3415,34,Anhui
Bozhou,111,28,3416,34,Anhui
Chizhou,112,41,3417,34,Anhui
Xuancheng,113,288,3418,34,Anhui
Fuzhou,114,63,3501,35,Fujian
Xiamen,115,213,3502,35,Fujian
Putian,116,193,3503,35,Fujian
Sanming,117,211,3504,35,Fujian
Quanzhou,118,207,3505,35,Fujian
Zhangzhou,119,320,3506,35,Fujian
Nanping,120,181,3507,35,Fujian
Longyan,121,161,3508,35,Fujian
Ningde,122,186,3509,35,Fujian
Nanchang,123,176,3601,36,Jiangxi
Jingdezhen,124,132,3602,36,Jiangxi
Pingxiang,125,192,3603,36,Jiangxi
Jiujiang,126,133,3604,36,Jiangxi
Xinyu,127,280,3605,36,Jiangxi
Yingtan,128,305,3606,36,Jiangxi
Ganzhou,129,70,3607,36,Jiangxi
Jian,130,115,3608,36,Jiangxi
Yichun,131,302,3609,36,Jiangxi
Fuzhou,132,65,3610,36,Jiangxi
Shangrao,133,220,3611,36,Jiangxi
Jinan,134,117,3701,37,Shandong
Qingdao,135,202,3702,37,Shandong
Zibo,136,337,3703,37,Shandong
Zaozhuang,137,315,3704,37,Shandong
Dongying,138,58,3705,37,Shandong
Yantai,139,290,3706,37,Shandong
Weifang,140,255,3707,37,Shandong
Jining,141,118,3708,37,Shandong
Taian,142,242,3709,37,Shandong
Weihai,143,254,3710,37,Shandong
Rizhao,144,209,3711,37,Shandong
Laiwu,145,141,3712,37,Shandong
Linyi,146,156,3713,37,Shandong
Dezhou,147,54,3714,37,Shandong
Liaocheng,148,151,3715,37,Shandong
Binzhou,149,27,3716,37,Shandong
Heze,150,93,3717,37,Shandong
Zhengzhou,151,327,4101,41,Henan
Kaifeng,152,136,4102,41,Henan
Luoyang,153,165,4103,41,Henan
Pingdingshan,154,190,4104,41,Henan
Anyang,155,9,4105,41,Henan
Hebi,156,95,4106,41,Henan
Xinxiang,157,279,4107,41,Henan
Jiaozuo,158,123,4108,41,Henan
Puyang,159,194,4109,41,Henan
Xuchang,160,287,4110,41,Henan
Luohe,161,166,4111,41,Henan
Sanmenxia,162,210,4112,41,Henan
Nanyang,163,183,4113,41,Henan
Shangqiu,164,218,4114,41,Henan
Xinyang,165,281,4115,41,Henan
Zhoukou,166,332,4116,41,Henan
Zhumadian,167,335,4117,41,Henan
Wuhan,168,266,4201,42,Hubei
Huangshi,169,112,4202,42,Hubei
Shiyan,170,227,4203,42,Hubei
Yichang,171,301,4205,42,Hubei
Xiangfan,172,276,4206,42,Hubei
Ezhou,173,59,4207,42,Hubei
Jingmen,174,130,4208,42,Hubei
Xiaogan,175,277,4209,42,Hubei
Jingzhou,176,131,4210,42,Hubei
Huanggang,177,109,4211,42,Hubei
Xianning,178,272,4212,42,Hubei
Suizhou,179,237,4213,42,Hubei
Enshitujiazumiaozu,180,60,4228,42,Hubei
Hubei (Direct Units),181,226,4290,42,Hubei
Changsha,182,322,4301,43,Hunan
Zhuzhou,183,334,4302,43,Hunan
Xiangtan,184,274,4303,43,Hunan
Hengyang,185,99,4304,43,Hunan
Shaoyang,186,222,4305,43,Hunan
Yueyang,187,312,4306,43,Hunan
Changde,188,33,4307,43,Hunan
Zhangjiajie,189,317,4308,43,Hunan
Yiyang,190,303,4309,43,Hunan
Chenzhou,191,38,4310,43,Hunan
Yongzhou,192,307,4311,43,Hunan
Huaihua,193,105,4312,43,Hunan
Loudi,194,163,4313,43,Hunan
Xiangxitujiazumiaozu,195,275,4331,43,Hunan
Guangzhou,196,74,4401,44,Guangdong
Shaoguan,197,221,4402,44,Guangdong
Shenzhen,198,224,4403,44,Guangdong
Zhuhai,199,333,4404,44,Guangdong
Shantou,200,215,4405,44,Guangdong
