date,year,precipitation
1/1/12,2012,0
1/2/12,2012,10.9
1/3/12,2012,0.8
1/4/12,2012,20.3
1/5/12,2012,1.3
1/6/12,2012,2.5
1/7/12,2012,0
1/8/12,2012,0
1/9/12,2012,4.3
1/10/12,2012,1
1/11/12,2012,0
1/12/12,2012,0
1/13/12,2012,0
1/14/12,2012,4.1
1/15/12,2012,5.3
1/16/12,2012,2.5
1/17/12,2012,8.1
1/18/12,2012,19.8
1/19/12,2012,15.2
1/20/12,2012,13.5
1/21/12,2012,3
1/22/12,2012,6.1
1/23/12,2012,0
1/24/12,2012,8.6
1/25/12,2012,8.1
1/26/12,2012,4.8
1/27/12,2012,0
1/28/12,2012,0
1/29/12,2012,27.7
1/30/12,2012,3.6
1/31/12,2012,1.8
2/1/12,2012,13.5
2/2/12,2012,0
2/3/12,2012,0
2/4/12,2012,0
2/5/12,2012,0
2/6/12,2012,0
2/7/12,2012,0.3
2/8/12,2012,2.8
2/9/12,2012,2.5
2/10/12,2012,2.5
2/11/12,2012,0.8
2/12/12,2012,1
2/13/12,2012,11.4
2/14/12,2012,2.5
2/15/12,2012,0
2/16/12,2012,1.8
2/17/12,2012,17.3
2/18/12,2012,6.4
2/19/12,2012,0
2/20/12,2012,3
2/21/12,2012,0.8
2/22/12,2012,8.6
2/23/12,2012,0
2/24/12,2012,11.4
2/25/12,2012,0
2/26/12,2012,1.3
2/27/12,2012,0
2/28/12,2012,3.6
2/29/12,2012,0.8
3/1/12,2012,0
3/2/12,2012,2
3/3/12,2012,0
3/4/12,2012,0
3/5/12,2012,6.9
3/6/12,2012,0.5
3/7/12,2012,0
3/8/12,2012,0
3/9/12,2012,3.6
3/10/12,2012,10.4
3/11/12,2012,13.7
3/12/12,2012,19.3
3/13/12,2012,9.4
3/14/12,2012,8.6
3/15/12,2012,23.9
3/16/12,2012,8.4
3/17/12,2012,9.4
3/18/12,2012,3.6
3/19/12,2012,2
3/20/12,2012,3.6
3/21/12,2012,1.3
3/22/12,2012,4.1
3/23/12,2012,0
3/24/12,2012,0
3/25/12,2012,0
3/26/12,2012,0
3/27/12,2012,4.8
3/28/12,2012,1.3
3/29/12,2012,27.4
3/30/12,2012,5.6
3/31/12,2012,13.2
4/1/12,2012,1.5
4/2/12,2012,0
4/3/12,2012,1.5
4/4/12,2012,0
4/5/12,2012,4.6
4/6/12,2012,0.3
4/7/12,2012,0
4/8/12,2012,0
4/9/12,2012,0
4/10/12,2012,0
4/11/12,2012,2.3
4/12/12,2012,0.5
4/13/12,2012,0
4/14/12,2012,0
4/15/12,2012,0
4/16/12,2012,8.1
4/17/12,2012,1.8
4/18/12,2012,1.8
4/19/12,2012,10.9
4/20/12,2012,6.6
4/21/12,2012,0
4/22/12,2012,0
4/23/12,2012,0
4/24/12,2012,4.3
4/25/12,2012,10.7
4/26/12,2012,3.8
4/27/12,2012,0.8
4/28/12,2012,0
4/29/12,2012,4.3
4/30/12,2012,4.3
5/1/12,2012,0.5
5/2/12,2012,0.5
5/3/12,2012,18.5
5/4/12,2012,1.8
5/5/12,2012,0
5/6/12,2012,0
5/7/12,2012,0
5/8/12,2012,0
5/9/12,2012,0
5/10/12,2012,0
5/11/12,2012,0
5/12/12,2012,0
5/13/12,2012,0
5/14/12,2012,0
5/15/12,2012,0
5/16/12,2012,0
5/17/12,2012,0
5/18/12,2012,0
5/19/12,2012,0
5/20/12,2012,6.4
5/21/12,2012,14
5/22/12,2012,6.1
5/23/12,2012,0.3
5/24/12,2012,0
5/25/12,2012,0
5/26/12,2012,0
5/27/12,2012,0
5/28/12,2012,0
5/29/12,2012,0
5/30/12,2012,0.3
5/31/12,2012,3.8
6/1/12,2012,6.6
6/2/12,2012,0.3
6/3/12,2012,0
6/4/12,2012,1.3
6/5/12,2012,16
6/6/12,2012,0
6/7/12,2012,16.5
6/8/12,2012,1.5
6/9/12,2012,0
6/10/12,2012,0
6/11/12,2012,0
6/12/12,2012,0.8
6/13/12,2012,0
6/14/12,2012,0
6/15/12,2012,0
6/16/12,2012,0
6/17/12,2012,0
6/18/12,2012,3
6/19/12,2012,1
6/20/12,2012,0
6/21/12,2012,0
6/22/12,2012,15.7
6/23/12,2012,8.6
6/24/12,2012,0
6/25/12,2012,0.5
6/26/12,2012,0
6/27/12,2012,0
6/28/12,2012,0
6/29/12,2012,0.3
6/30/12,2012,3
7/1/12,2012,0
7/2/12,2012,2
7/3/12,2012,5.8
7/4/12,2012,0
7/5/12,2012,0
7/6/12,2012,0
7/7/12,2012,0
7/8/12,2012,0
7/9/12,2012,1.5
7/10/12,2012,0
7/11/12,2012,0
7/12/12,2012,0
7/13/12,2012,0.5
7/14/12,2012,0
7/15/12,2012,0
7/16/12,2012,0.3
7/17/12,2012,0
7/18/12,2012,0
7/19/12,2012,0
7/20/12,2012,15.2
7/21/12,2012,0
7/22/12,2012,1
7/23/12,2012,0
7/24/12,2012,0
7/25/12,2012,0
7/26/12,2012,0
7/27/12,2012,0
7/28/12,2012,0
7/29/12,2012,0
7/30/12,2012,0
7/31/12,2012,0
8/1/12,2012,0
8/2/12,2012,0
8/3/12,2012,0
8/4/12,2012,0
8/5/12,2012,0
8/6/12,2012,0
8/7/12,2012,0
8/8/12,2012,0
8/9/12,2012,0
8/10/12,2012,0
8/11/12,2012,0
8/12/12,2012,0
8/13/12,2012,0
8/14/12,2012,0
8/15/12,2012,0
8/16/12,2012,0
8/17/12,2012,0
8/18/12,2012,0
8/19/12,2012,0
8/20/12,2012,0
8/21/12,2012,0
8/22/12,2012,0
8/23/12,2012,0
8/24/12,2012,0
8/25/12,2012,0
8/26/12,2012,0
8/27/12,2012,0
8/28/12,2012,0
8/29/12,2012,0
8/30/12,2012,0
8/31/12,2012,0
9/1/12,2012,0
9/2/12,2012,0
9/3/12,2012,0
9/4/12,2012,0
9/5/12,2012,0
9/6/12,2012,0
9/7/12,2012,0
9/8/12,2012,0
9/9/12,2012,0.3
9/10/12,2012,0.3
9/11/12,2012,0
9/12/12,2012,0
9/13/12,2012,0
9/14/12,2012,0
9/15/12,2012,0
9/16/12,2012,0
9/17/12,2012,0
9/18/12,2012,0
9/19/12,2012,0
9/20/12,2012,0
9/21/12,2012,0
9/22/12,2012,0.3
9/23/12,2012,0
9/24/12,2012,0
9/25/12,2012,0
9/26/12,2012,0
9/27/12,2012,0
9/28/12,2012,0
9/29/12,2012,0
9/30/12,2012,0
10/1/12,2012,0
10/2/12,2012,0
10/3/12,2012,0
10/4/12,2012,0
10/5/12,2012,0
10/6/12,2012,0
10/7/12,2012,0
10/8/12,2012,0
10/9/12,2012,0
10/10/12,2012,0
10/11/12,2012,0
10/12/12,2012,2
10/13/12,2012,4.8
10/14/12,2012,16.5
10/15/12,2012,7.9
10/16/12,2012,0
10/17/12,2012,0
10/18/12,2012,20.8
10/19/12,2012,4.8
10/20/12,2012,0.5
10/21/12,2012,6.4
10/22/12,2012,8.9
10/23/12,2012,0
10/24/12,2012,7.1
10/25/12,2012,0
10/26/12,2012,1.5
10/27/12,2012,23.1
10/28/12,2012,6.1
10/29/12,2012,10.9
10/30/12,2012,34.5
10/31/12,2012,14.5
11/1/12,2012,9.7
11/2/12,2012,5.6
11/3/12,2012,0.5
11/4/12,2012,8.1
11/5/12,2012,0.8
11/6/12,2012,0.3
11/7/12,2012,0
11/8/12,2012,0
11/9/12,2012,0
11/10/12,2012,0
11/11/12,2012,15.2
