parola,frequenza
glutine,4930
prodotti,4425
senza,3683
celiachia,3615
alimenti,3364
grano,2293
pasta,2037
salute,1950
italia,1869
molto,1858
caso,1712
nuova,1712
consumo,1651
farina,1626
pane,1571
italiana,1563
sempre,1554
essere,1536
bambini,1536
qualita,1525
ingredienti,1450
giorno,1418
grande,1403
euro,1392
cibo,1392
mozzarella,465
blu,270
prodotti,246
stata,181
latte,159
caso,141
azienda,115
giorni,113
colorazione,111
italiani,106
consumatori,103
italia,101
alimentare,101
confezione,98
controlli,90
fatto,88
marchio,88
asl,88
batterio,84
vendita,78
analisi,75
importazioni,75
segnalazione,74
supermercato,72
risultati,71
alimenti,2320
cibi,1517
dieta,1508
integrali,1248
salute,1224
prodotti,1097
frutta,1037
consumo,984
mangiare,964
giorno,897
verdura,869
molto,846
pasta,827
cereali,747
essere,736
grassi,723
carne,701
zuccheri,688
pane,668
qualita,665
fare,659
studio,644
caso,635
sempre,628
vita,617
olio,5392
palma,4519
prodotti,2924
alimentare,2115
grassi,1963
consumatori,1760
latte,1153
salute,1147
molto,1095
aziende,1090
fatto,1061
essere,1021
stati,1019
senza,1016
fare,935
italia,931
possono,868
ingredienti,851
nuovo,844
pubblicita,836
utilizzo,830
qualita,827
indicando,814
zucchero,810
caso,790
vegana,2222
animali,1569
alimentazione,1213
dieta,1199
carne,995
vegano,949
cucina,934
casa,886
essere,886
cibo,836
mangiare,808
vegetariani,778
prodotti,774
molto,764
scelta,714
senza,694
salute,690
giorno,676
sempre,642
bambini,639
ristorante,633
piatti,594
fare,586
piccolo,567
primo,565
coli,2659
batteri,2656
escherichia,2461
stati,2460
divieto,2342
mare,2294
arpat,1985
balneazione,1948
acqua,1913
casi,1867
acque,1796
comune,1730
analisi,1691
giorni,1581
risultati,1552
inquinamento,1431
tratto,1413
essere,1337
campioni,1305
fatto,1268
presenza,1262
nuovo,1191
zona,1166
problema,1158
controlli,1142
