state,age,population
AL,<10,0.123622749
AK,<10,0.144860251
AZ,<10,0.132581228
AR,<10,0.132114098
CA,<10,0.130346307
CO,<10,0.128903149
CT,<10,0.111289176
DE,<10,0.12001455
DC,<10,0.112861888
FL,<10,0.110914115
GA,<10,0.135022061
HI,<10,0.124840752
ID,<10,0.144702207
IL,<10,0.126028776
IN,<10,0.130968781
IA,<10,0.129309671
KS,<10,0.138616468
KY,<10,0.125932998
LA,<10,0.133901246
ME,<10,0.103730817
MD,<10,0.124490638
MA,<10,0.109423369
MI,<10,0.11922015
MN,<10,0.130548749
MS,<10,0.133911773
MO,<10,0.126071287
MT,<10,0.123139641
NE,<10,0.140075343
NV,<10,0.130094971
NH,<10,0.104528577
NJ,<10,0.121041033
NM,<10,0.13274697
NY,<10,0.117778909
NC,<10,0.12577403
ND,<10,0.135129224
OH,<10,0.12279669
OK,<10,0.137909618
OR,<10,0.119142187
PA,<10,0.114121842
RI,<10,0.105621575
SC,<10,0.12402068
SD,<10,0.141431019
TN,<10,0.124985167
TX,<10,0.147760303
UT,<10,0.17416575
VT,<10,0.101825312
VA,<10,0.124379249
WA,<10,0.126646615
WV,<10,0.112137965
WI,<10,0.122619074
WY,<10,0.134156277
PR,<10,0.11033877
AL,10-19,0.131949465
AK,10-19,0.135611484
AZ,10-19,0.135650525
AR,10-19,0.133801161
CA,10-19,0.13375882
CO,10-19,0.130137826
CT,10-19,0.134054791
DE,10-19,0.126088189
DC,10-19,0.095268805
FL,10-19,0.11693836
GA,10-19,0.140757695
HI,10-19,0.115697902
ID,10-19,0.146445423
IL,10-19,0.133522113
IN,10-19,0.137428224
IA,10-19,0.134767425
KS,10-19,0.138734123
KY,10-19,0.130522991
LA,10-19,0.132087083
ME,10-19,0.117130089
MD,10-19,0.128312513
MA,10-19,0.127907551
MI,10-19,0.133614979
MN,10-19,0.131061512
MS,10-19,0.140950799
MO,10-19,0.130854896
MT,10-19,0.123407378
NE,10-19,0.136934893
NV,10-19,0.126890164
NH,10-19,0.126172973
NJ,10-19,0.129396074
NM,10-19,0.135721039
NY,10-19,0.124157702
NC,10-19,0.131819804
ND,10-19,0.123707825
OH,10-19,0.132067989
OK,10-19,0.134761968
OR,10-19,0.121876559
PA,10-19,0.125783862
RI,10-19,0.129811445
SC,10-19,0.128065064
SD,10-19,0.133225938
TN,10-19,0.128722028
TX,10-19,0.145068441
UT,10-19,0.162502243
VT,10-19,0.126708386
VA,10-19,0.128209676
WA,10-19,0.124811788
WV,10-19,0.118383591
WI,10-19,0.131233798
WY,10-19,0.129556163
PR,10-19,0.135929914
AL,20-29,0.136674981
AK,20-29,0.163768991
AZ,20-29,0.139673515
AR,20-29,0.134647724
CA,20-29,0.150292959
CO,20-29,0.14563632
CT,20-29,0.128832097
DE,20-29,0.136465906
DC,20-29,0.207851486
FL,20-29,0.130318613
GA,20-29,0.140474408
HI,20-29,0.144542621
ID,20-29,0.133712182
IL,20-29,0.139261049
IN,20-29,0.137427617
IA,20-29,0.135021401
KS,20-29,0.140412353
KY,20-29,0.134592131
LA,20-29,0.147149066
ME,20-29,0.117569965
MD,20-29,0.13680527
MA,20-29,0.14406992
MI,20-29,0.135038649
MN,20-29,0.133597438
MS,20-29,0.138564201
MO,20-29,0.137256255
MT,20-29,0.133229626
NE,20-29,0.138548706
NV,20-29,0.13836217
NH,20-29,0.126217417
NJ,20-29,0.127859641
