miles,gas
3675,2.38
3706,2.4
3766,2.26
3905,2.31
3935,2.27
3977,2.25
4085,2.22
4218,2.12
4369,2.11
4538,2.14
4676,2.14
4827,2.14
5038,2.13
5207,2.07
5376,2.01
5617,1.93
5973,1.87
6154,1.9
5943,2.34
6111,2.31
6389,2.32
6630,2.36
6883,2.23
6744,2.68
6672,3.3
6732,3.3
6835,2.92
6943,2.66
7130,2.48
7323,2.36
7558,1.76
7770,1.76
8089,1.68
8397,1.75
8529,1.88
8535,1.78
8662,1.69
8855,1.6
8909,1.59
9150,1.6
9192,1.67
9416,1.65
9590,1.39
9687,1.5
9717,1.89
9699,1.77
9814,1.64
9868,1.86
9994,2.14
10067,2.53
10037,2.79
10025,2.95
9880,3.31
9657,2.38
9596,2.61
