state,value
California,7
Texas,10
Florida,6
New York,5
Illinois,4
Pennsylvania,3
Ohio,2
Georgia,1
North Carolina,1
Michigan,1
New Jersey,1
Virginia,1
Washington,1
Arizona,1
Massachusetts,1
Tennessee,1
Indiana,1
Missouri,1
Maryland,1
Wisconsin,1
Colorado,1
Minnesota,1
South Carolina,1
Alabama,1
Louisiana,1
Kentucky,1
Oregon,1
Oklahoma,1
Connecticut,1
Iowa,1
Utah,1
Nevada,1
Arkansas,1
Mississippi,1
Kansas,1
New Mexico,1
Nebraska,1
West Virginia,1
Idaho,1
Hawaii,1
Maine,1
New Hampshire,1
Montana,1
Rhode Island,1
Delaware,1
South Dakota,1
North Dakota,1
Alaska,1
Vermont,1
Wyoming,1
