state,county,value
 Alabama, Autauga,0.5
 Alabama, Baldwin,0.6
 Alabama, Barbour,0.4
 Alaska, Aleutians East,0.3
 Alaska, Anchorage,0.7
 Arizona, Apache,0.2
 Arizona, Cochise,0.5
 Arkansas, Arkansas,0.4
 Arkansas, Ashley,0.6
 California, Alameda,0.8
 California, Alpine,0.3
 Colorado, Adams,0.7
 Colorado, Alamosa,0.4
 Connecticut, Fairfield,0.6
 Connecticut, Hartford,0.5
 Delaware, Kent,0.4
 Delaware, New Castle,0.7
 Florida, Alachua,0.6
 Florida, Baker,0.5
 Georgia, Appling,0.4
 Georgia, Atkinson,0.6
 Hawaii, Hawaii,0.7
 Hawaii, Honolulu,0.8
 Idaho, Ada,0.5
 Idaho, Adams,0.3
 Illinois, Adams,0.6
 Illinois, Alexander,0.4
 Indiana, Adams,0.5
 Indiana, Allen,0.7
 Iowa, Adair,0.4
 Iowa, Adams,0.6
 Kansas, Allen,0.5
 Kansas, Anderson,0.3
 Kentucky, Adair,0.4
 Kentucky, Allen,0.6
 Louisiana, Acadia,0.5
 Louisiana, Allen,0.7
 Maine, Androscoggin,0.4
 Maine, Aroostook,0.6
 Maryland, Allegany,0.5
 Maryland, Anne Arundel,0.7
 Massachusetts, Barnstable,0.6
 Massachusetts, Berkshire,0.4
 Michigan, Alcona,0.5
 Michigan, Alger,0.3
 Minnesota, Aitkin,0.4
 Minnesota, Anoka,0.6
 Mississippi, Adams,0.5
 Mississippi, Alcorn,0.7
 Missouri, Adair,0.4
 Missouri, Andrew,0.6
 Montana, Beaverhead,0.5
 Montana, Big Horn,0.3
 Nebraska, Adams,0.4
 Nebraska, Antelope,0.6
 Nevada, Churchill,0.5
 Nevada, Clark,0.7
 New Hampshire, Belknap,0.4
 New Hampshire, Carroll,0.6
 New Jersey, Atlantic,0.5
 New Jersey, Bergen,0.7
 New Mexico, Bernalillo,0.4
 New Mexico, Catron,0.6
 New York, Albany,0.5
 New York, Allegany,0.3
 North Carolina, Alamance,0.4
 North Carolina, Alexander,0.6
 North Dakota, Adams,0.5
 North Dakota, Barnes,0.7
 Ohio, Adams,0.4
 Ohio, Allen,0.6
 Oklahoma, Adair,0.5
 Oklahoma, Alfalfa,0.3
 Oregon, Baker,0.4
 Oregon, Benton,0.6
 Pennsylvania, Adams,0.5
 Pennsylvania, Allegheny,0.7
 Rhode Island, Bristol,0.4
 Rhode Island, Kent,0.6
 South Carolina, Abbeville,0.5
 South Carolina, Aiken,0.7
 South Dakota, Aurora,0.4
 South Dakota, Beadle,0.6
 Tennessee, Anderson,0.5
 Tennessee, Bedford,0.3
 Texas, Anderson,0.4
 Texas, Andrews,0.6
 Utah, Beaver,0.5
 Utah, Box Elder,0.7
 Vermont, Addison,0.4
 Vermont, Bennington,0.6
 Virginia, Accomack,0.5
 Virginia, Albemarle,0.3
 Washington, Adams,0.4
 Washington, Asotin,0.6
 West Virginia, Barbour,0.5
 West Virginia, Berkeley,0.7
 Wisconsin, Adams,0.4
 Wisconsin, Ashland,0.6
 Wyoming, Albany,0.5
 Wyoming, Big Horn,0.3
