date,hour,month,temperature
1/1/10,1:00:00,Jan,4
1/1/10,2:00:00,Jan,3.9
1/1/10,3:00:00,Jan,3.8
1/1/10,4:00:00,Jan,3.8
1/1/10,5:00:00,Jan,3.7
1/1/10,6:00:00,Jan,3.7
1/1/10,7:00:00,Jan,3.7
1/1/10,8:00:00,Jan,3.7
1/1/10,9:00:00,Jan,4
1/1/10,10:00:00,Jan,4.5
1/1/10,11:00:00,Jan,5.2
1/1/10,12:00:00,Jan,5.8
1/1/10,13:00:00,Jan,6.2
1/1/10,14:00:00,Jan,6.4
1/1/10,15:00:00,Jan,6.3
1/1/10,16:00:00,Jan,5.9
1/1/10,17:00:00,Jan,5.4
1/1/10,18:00:00,Jan,5.1
1/1/10,19:00:00,Jan,4.9
1/1/10,20:00:00,Jan,4.8
1/1/10,21:00:00,Jan,4.7
1/1/10,22:00:00,Jan,4.6
1/1/10,23:00:00,Jan,4.4
1/2/10,0:00:00,Jan,4.1
1/2/10,1:00:00,Jan,4.1
1/2/10,2:00:00,Jan,4.1
1/2/10,3:00:00,Jan,3.9
1/2/10,4:00:00,Jan,3.9
1/2/10,5:00:00,Jan,3.8
1/2/10,6:00:00,Jan,3.9
1/2/10,7:00:00,Jan,3.8
1/2/10,8:00:00,Jan,3.8
1/2/10,9:00:00,Jan,4.2
1/2/10,10:00:00,Jan,4.7
1/2/10,11:00:00,Jan,5.3
1/2/10,12:00:00,Jan,5.9
1/2/10,13:00:00,Jan,6.3
1/2/10,14:00:00,Jan,6.5
1/2/10,15:00:00,Jan,6.4
1/2/10,16:00:00,Jan,6.1
1/2/10,17:00:00,Jan,5.5
1/2/10,18:00:00,Jan,5.2
1/2/10,19:00:00,Jan,5.1
1/2/10,20:00:00,Jan,4.9
1/2/10,21:00:00,Jan,4.8
1/2/10,22:00:00,Jan,4.7
1/2/10,23:00:00,Jan,4.5
1/3/10,0:00:00,Jan,4.3
1/3/10,1:00:00,Jan,4.2
1/3/10,2:00:00,Jan,4.2
1/3/10,3:00:00,Jan,4.1
1/3/10,4:00:00,Jan,4
1/3/10,5:00:00,Jan,3.9
1/3/10,6:00:00,Jan,3.9
1/3/10,7:00:00,Jan,3.9
1/3/10,8:00:00,Jan,3.9
1/3/10,9:00:00,Jan,4.3
1/3/10,10:00:00,Jan,4.8
1/3/10,11:00:00,Jan,5.4
1/3/10,12:00:00,Jan,6.1
1/3/10,13:00:00,Jan,6.5
1/3/10,14:00:00,Jan,6.7
1/3/10,15:00:00,Jan,6.6
1/3/10,16:00:00,Jan,6.2
1/3/10,17:00:00,Jan,5.7
1/3/10,18:00:00,Jan,5.3
1/3/10,19:00:00,Jan,5.2
1/3/10,20:00:00,Jan,5.1
1/3/10,21:00:00,Jan,4.9
1/3/10,22:00:00,Jan,4.8
1/3/10,23:00:00,Jan,4.6
1/4/10,0:00:00,Jan,4.4
1/4/10,1:00:00,Jan,4.3
1/4/10,2:00:00,Jan,4.2
1/4/10,3:00:00,Jan,4.2
1/4/10,4:00:00,Jan,4.1
1/4/10,5:00:00,Jan,4
1/4/10,6:00:00,Jan,4.1
1/4/10,7:00:00,Jan,4
1/4/10,8:00:00,Jan,4
1/4/10,9:00:00,Jan,4.3
1/4/10,10:00:00,Jan,4.9
1/4/10,11:00:00,Jan,5.5
1/4/10,12:00:00,Jan,6.1
1/4/10,13:00:00,Jan,6.5
1/4/10,14:00:00,Jan,6.7
1/4/10,15:00:00,Jan,6.7
1/4/10,16:00:00,Jan,6.3
1/4/10,17:00:00,Jan,5.7
1/4/10,18:00:00,Jan,5.4
1/4/10,19:00:00,Jan,5.3
1/4/10,20:00:00,Jan,5.2
