school,Metric,score
STANFORD,POLS16,561.5454545
HARVARD,POLS16,95.57142857
MICHIAN AA,POLS16,538.8
COLUMBIA,POLS16,273.7272727
MIT,POLS16,97.8125
PRINCETON,POLS16,191.0526316
UC SAN DIEGO,POLS16,331.5
YALE,POLS16,336.1428571
NYU,POLS16,586.4375
BERKLEY,POLS16,153.1
CHICAGO,POLS16,78.81818182
WASHINGTON ST L,POLS16,245
DUKE,POLS16,403.6153846
NORTH CAROLINA CH,POLS16,275.0833333
UC DAVIS,POLS16,481.625
ROCHESTER,POLS16,173
PENN STATE,POLS16,253.4166667
RICE,POLS16,289.8571429
WISCONSIN MAD,POLS16,100.3333333
TEXAS A&M,POLS16,172.875
WASHINGTON,POLS16,217.7272727
UCLA,POLS16,98.15384615
ILLINOIS,POLS16,238.875
NORTHWESTERN,POLS16,286.625
GEORGE WASHINGTON,POLS16,89.3
EMORY,POLS16,307.375
OHIO STATE,POLS16,258.6923077
FLORIDA STATE,POLS16,51.4
INDIANA,POLS16,217.6
MINNESOTA,POLS16,124.5
MARYLAND,POLS16,295.875
BINGHAMTON,POLS16,124.8571429
MICHIGAN STATE,POLS16,63.75
STONY BROOK,POLS16,1137
CORNELL,POLS16,56.33333333
PENN,POLS16,252.9
PITTSBURGH,POLS16,87.4
VANDERBILT,POLS16,138
UC RIVERSIDE,POLS16,13
TEXAS AUSTIN,POLS16,98.66666667
COLORADO,POLS16,205
IOWA,POLS16,167
ARIZONA,POLS16,121.4
BROWN,POLS16,141.8571429
UC IRVINE,POLS16,24
NOTRE DAME,POLS16,109.6
VIRGINIA,POLS16,70.7
UC SANTA BARBARA,POLS16,33
GEORGETOWN,POLS16,136.9130435
OREGON,POLS16,36.8
JOHNS HOPKINS,POLS16,46.22222222
SYRACUSE,POLS16,74.09090909
STANFORD,H-Index POLS16,5.090909091
HARVARD,H-Index POLS16,4
MICHIAN AA,H-Index POLS16,7.1
COLUMBIA,H-Index POLS16,4.818181818
MIT,H-Index POLS16,2.125
PRINCETON,H-Index POLS16,4.263157895
UC SAN DIEGO,H-Index POLS16,6.5
YALE,H-Index POLS16,5.571428571
NYU,H-Index POLS16,6.75
BERKLEY,H-Index POLS16,4.4
CHICAGO,H-Index POLS16,2.818181818
WASHINGTON ST L,H-Index POLS16,7.5
DUKE,H-Index POLS16,7.615384615
NORTH CAROLINA CH,H-Index POLS16,6.666666667
UC DAVIS,H-Index POLS16,7.75
ROCHESTER,H-Index POLS16,4
PENN STATE,H-Index POLS16,6.833333333
RICE,H-Index POLS16,5.857142857
WISCONSIN MAD,H-Index POLS16,3.555555556
TEXAS A&M,H-Index POLS16,5.125
WASHINGTON,H-Index POLS16,4.727272727
UCLA,H-Index POLS16,3.153846154
ILLINOIS,H-Index POLS16,6.25
NORTHWESTERN,H-Index POLS16,4.25
GEORGE WASHINGTON,H-Index POLS16,3
EMORY,H-Index POLS16,6.875
OHIO STATE,H-Index POLS16,5.538461538
FLORIDA STATE,H-Index POLS16,2.4
INDIANA,H-Index POLS16,6.6
MINNESOTA,H-Index POLS16,4.4
MARYLAND,H-Index POLS16,5.3125
BINGHAMTON,H-Index POLS16,4.428571429
MICHIGAN STATE,H-Index POLS16,3.125
STONY BROOK,H-Index POLS16,10
CORNELL,H-Index POLS16,2.444444444
PENN,H-Index POLS16,5.8
PITTSBURGH,H-Index POLS16,2.7
VANDERBILT,H-Index POLS16,3.333333333
UC RIVERSIDE,H-Index POLS16,1.5
TEXAS AUSTIN,H-Index POLS16,3.555555556
COLORADO,H-Index POLS16,8
IOWA,H-Index POLS16,4.8
ARIZONA,H-Index POLS16,3.5
BROWN,H-Index POLS16,4.714285714
UC IRVINE,H-Index POLS16,2
NOTRE DAME,H-Index POLS16,3.125
VIRGINIA,H-Index POLS16,2.8
UC SANTA BARBARA,H-Index POLS16,3.333333333
GEORGETOWN,H-Index POLS16,3.869565217
OREGON,H-Index POLS16,1.2
JOHNS HOPKINS,H-Index POLS16,2.222222222
SYRACUSE,H-Index POLS16,2.818181818
STANFORD,POLS 2,344.9090909
HARVARD,POLS 2,25.14285714
MICHIAN AA,POLS 2,244
COLUMBIA,POLS 2,113.1818182
MIT,POLS 2,8.625
PRINCETON,POLS 2,62.73684211
UC SAN DIEGO,POLS 2,167.9444444
YALE,POLS 2,179
NYU,POLS 2,355.5
BERKLEY,POLS 2,97.4
CHICAGO,POLS 2,35.72727273
WASHINGTON ST L,POLS 2,50.5
DUKE,POLS 2,86.92307692
NORTH CAROLINA CH,POLS 2,36.5
UC DAVIS,POLS 2,247.875
ROCHESTER,POLS 2,72.57142857
PENN STATE,POLS 2,83.08333333
RICE,POLS 2,68.42857143
WISCONSIN MAD,POLS 2,48.44444444
TEXAS A&M,POLS 2,34.375
WASHINGTON,POLS 2,54.18181818
UCLA,POLS 2,24.38461538
ILLINOIS,POLS 2,61.375
NORTHWESTERN,POLS 2,192.625
GEORGE WASHINGTON,POLS 2,8.25
EMORY,POLS 2,135.75
OHIO STATE,POLS 2,157.9230769
FLORIDA STATE,POLS 2,11.2
INDIANA,POLS 2,49.1
MINNESOTA,POLS 2,40.7
MARYLAND,POLS 2,114
BINGHAMTON,POLS 2,42.14285714
MICHIGAN STATE,POLS 2,31.25
STONY BROOK,POLS 2,780
CORNELL,POLS 2,3.666666667
PENN,POLS 2,139
PITTSBURGH,POLS 2,18.1
VANDERBILT,POLS 2,49
UC RIVERSIDE,POLS 2,0
TEXAS AUSTIN,POLS 2,52.77777778
COLORADO,POLS 2,35
IOWA,POLS 2,55.8
ARIZONA,POLS 2,76.2
BROWN,POLS 2,19.57142857
UC IRVINE,POLS 2,0
NOTRE DAME,POLS 2,36.3125
VIRGINIA,POLS 2,27.7
UC SANTA BARBARA,POLS 2,0.666666667
GEORGETOWN,POLS 2,30.34782609
OREGON,POLS 2,0
JOHNS HOPKINS,POLS 2,1.888888889
SYRACUSE,POLS 2,11.45454545
STANFORD,H-Index POLS2,1.181818182
HARVARD,H-Index POLS2,0.714285714
MICHIAN AA,H-Index POLS2,1.8
COLUMBIA,H-Index POLS2,1.545454545
MIT,H-Index POLS2,0.375
PRINCETON,H-Index POLS2,1.052631579
UC SAN DIEGO,H-Index POLS2,2.166666667
YALE,H-Index POLS2,2.076923077
NYU,H-Index POLS2,3.1875
BERKLEY,H-Index POLS2,2
CHICAGO,H-Index POLS2,0.636363636
WASHINGTON ST L,H-Index POLS2,1.5
