,key,Metric,score
0,20180601,5m,0.164161009
1,20180602,5m,0.040739185
2,20180603,5m,0.03027027
3,20180604,5m,0.028683501
4,20180605,5m,0.020621118
5,20180606,5m,0.016936672
6,20180607,5m,0.013850416
7,20180608,5m,0.013615734
8,20180609,5m,0.009209517
9,20180610,5m,0.002513615
10,20180611,5m,0.007061267
11,20180612,5m,0.004725154
12,20180613,5m,0.006399512
13,20180614,5m,0.003462687
14,20180615,5m,0.004370629
15,20180616,5m,0.012595196
16,20180617,5m,0.0296372
17,20180618,5m,0.004842615
18,20180619,5m,0.005591398
19,20180620,5m,0.009232955
20,20180621,5m,0.003628447
21,20180622,5m,0.095518566
22,20180623,5m,0.009357455
23,20180624,5m,0.00427655
24,20180625,5m,0.001071237
25,20180626,5m,0.003062474
26,20180627,5m,0.002724121
27,20180628,5m,0.003071882
28,20180629,5m,0.003749148
29,20180630,5m,0.001718213
30,20180601,10m,0.028128031
31,20180602,10m,0.007139857
32,20180603,10m,0.017297297
33,20180604,10m,0.040941407
34,20180605,10m,0.036521739
35,20180606,10m,0.034364261
36,20180607,10m,0.038025686
37,20180608,10m,0.031265759
38,20180609,10m,0.006395498
39,20180610,10m,0.015500628
40,20180611,10m,0.051090343
41,20180612,10m,0.026933375
42,20180613,10m,0.025293311
43,20180614,10m,0.020656716
44,20180615,10m,0.03715035
45,20180616,10m,0.020210896
46,20180617,10m,0.038323965
47,20180618,10m,0.052360775
48,20180619,10m,0.043655914
49,20180620,10m,0.034801136
50,20180621,10m,0.04523464
51,20180622,10m,0.025608195
52,20180623,10m,0.029943855
53,20180624,10m,0.025659301
54,20180625,10m,0.019282271
55,20180626,10m,0.03123724
56,20180627,10m,0.027736503
57,20180628,10m,0.03256195
58,20180629,10m,0.040218132
59,20180630,10m,0.000572738
60,20180601,15m,0.023035887
61,20180602,15m,0.02099958
62,20180603,15m,0.022702703
63,20180604,15m,0.042657514
64,20180605,15m,0.020124224
65,20180606,15m,0.02724595
66,20180607,15m,0.032989171
67,20180608,15m,0.01412002
68,20180609,15m,0.017139933
69,20180610,15m,0.010054462
70,20180611,15m,0.037798546
71,20180612,15m,0.02614585
72,20180613,15m,0.023464879
73,20180614,15m,0.018149254
74,20180615,15m,0.016608392
75,20180616,15m,0.014352665
76,20180617,15m,0.039856924
77,20180618,15m,0.036016949
78,20180619,15m,0.028602151
79,20180620,15m,0.028409091
80,20180621,15m,0.025641026
81,20180622,15m,0.029705506
82,20180623,15m,0.048034934
83,20180624,15m,0.03492516
84,20180625,15m,0.013283342
85,20180626,15m,0.020824826
86,20180627,15m,0.022040614
87,20180628,15m,0.020069629
88,20180629,15m,0.01874574
89,20180630,15m,0.001431844
90,20180601,20m,0.009214355
91,20180602,20m,0.018059639
92,20180603,20m,0.015135135
93,20180604,20m,0.015444962
94,20180605,20m,0.01689441
95,20180606,20m,0.014236622
96,20180607,20m,0.026189877
97,20180608,20m,0.00706001
98,20180609,20m,0.011767716
99,20180610,20m,0.020527859
100,20180611,20m,0.018691589
101,20180612,20m,0.015277997
102,20180613,20m,0.019198537
103,20180614,20m,0.012895522
104,20180615,20m,0.008085664
105,20180616,20m,0.013181019
106,20180617,20m,0.031681145
107,20180618,20m,0.017251816
108,20180619,20m,0.012043011
109,20180620,20m,0.014914773
110,20180621,20m,0.015481374
111,20180622,20m,0.013828425
112,20180623,20m,0.027448534
113,20180624,20m,0.032074127
114,20180625,20m,0.00803428
115,20180626,20m,0.016333197
116,20180627,20m,0.012382368
117,20180628,20m,0.010239607
118,20180629,20m,0.010565781
119,20180630,20m,0.00257732
120,20180601,25m,0.008971872
121,20180602,25m,0.014279714
122,20180603,25m,0.018918919
123,20180604,25m,0.014219171
124,20180605,25m,0.011428571
125,20180606,25m,0.011291114
126,20180607,25m,0.017879627
127,20180608,25m,0.010085729
128,20180609,25m,0.012535175
129,20180610,25m,0.010473398
130,20180611,25m,0.017860852
131,20180612,25m,0.011497874
132,20180613,25m,0.011732439
133,20180614,25m,0.011940299
134,20180615,25m,0.006774476
