category,seriesname,value
Germany,Recycling & composting,65
Germany,Inceneration with energy recorvery,22
Germany,Inceneration without energy recovery,13
Germany,Landfill,0
UK,Recycling & composting,43
UK,Inceneration with energy recorvery,23
UK,Inceneration without energy recovery,0
UK,Landfill,34
Australia,Recycling & composting,41
Australia,Inceneration with energy recorvery,6
Australia,Inceneration without energy recovery,0
Australia,Landfill,53
France,Recycling & composting,38
France,Inceneration with energy recorvery,33
France,Inceneration without energy recovery,0
France,Landfill,29
USA,Recycling & composting,35
USA,Inceneration with energy recorvery,9
USA,Inceneration without energy recovery,6
USA,Landfill,50
Japan,Recycling & composting,19
Japan,Inceneration with energy recorvery,71
Japan,Inceneration without energy recovery,0
Japan,Landfill,10
Mexico,Recycling & composting,4
Mexico,Inceneration with energy recorvery,6
Mexico,Inceneration without energy recovery,0
Mexico,Landfill,90
