economy(mpg),cylinders,displacement(cc),power(hp),cylinders
13,8,360,175,8
15,8,390,190,8
17,8,304,150,8
20.2,6,232,90,6
18.1,6,258,120,6
23,4,151,-1,4
19.4,6,232,90,6
24.3,4,151,90,4
18,6,232,100,6
19,6,232,100,6
20,6,232,100,6
21,6,199,90,6
18,6,258,110,6
18,6,199,97,6
18,6,232,100,6
19,6,232,100,6
22.5,6,232,90,6
14,8,304,150,8
15,8,304,150,8
14,8,304,150,8
15,6,258,110,6
15.5,8,304,120,8
16,6,258,110,6
18,6,232,100,6
17.5,6,258,95,6
19,6,232,90,6
-1,8,360,175,8
16,8,304,150,8
27.4,4,121,80,4
20,4,114,91,4
23,4,115,95,4
24,4,107,90,4
34.3,4,97,78,4
20.3,5,131,103,5
36.4,5,121,67,5
29,4,98,83,4
26,4,121,113,4
21.5,4,121,110,4
13,8,350,175,8
25,6,181,110,6
13,8,350,150,8
20.6,6,231,105,6
17,6,231,110,6
22.4,6,231,110,6
12,8,455,225,8
14,8,455,225,8
16.9,8,350,155,8
13,8,350,155,8
30,4,111,80,4
17.7,6,231,165,6
21,6,231,110,6
15,8,350,165,8
28.4,4,151,90,4
20.5,6,231,105,6
26.6,4,151,84,4
23,8,350,125,8
16.5,8,350,180,8
16,6,250,105,6
15,8,350,145,8
27,4,151,90,4
13,8,400,150,8
17,8,305,130,8
17.5,8,305,145,8
34,4,112,88,4
27,4,112,88,4
28,4,112,88,4
-1,8,350,165,8
13,8,307,130,8
16,6,250,100,6
17.5,8,305,140,8
17,6,250,100,6
18,8,307,130,8
29,4,85,52,4
30,4,98,68,4
30.5,4,98,63,4
32.1,4,98,70,4
23.5,6,173,110,6
28,4,151,90,4
28.8,6,173,115,6
17.5,6,250,110,6
11,8,400,150,8
13,8,350,165,8
14,8,350,165,8
14,8,454,220,8
19.2,8,267,125,8
13,8,350,145,8
20.5,6,200,95,6
15.5,8,350,170,8
19.2,8,305,145,8
15,8,350,145,8
15,8,400,150,8
20,8,262,110,8
16,6,250,100,6
15,6,250,100,6
18,6,250,105,6
22,6,250,105,6
22,4,140,72,4
28,4,140,90,4
20,4,140,90,4
21,4,140,72,4
25,4,140,75,4
24.5,4,98,60,4
13,8,350,145,8
10,8,307,200,8
31,4,119,82,4
15.5,8,400,190,8
26,4,156,92,4
17.6,6,225,85,6
18.5,8,360,150,8
13,8,440,215,8
13,8,400,190,8
-1,4,133,115,4
35,4,72,69,4
23.9,4,119,97,4
32.9,4,119,100,4
31.8,4,85,65,4
37,4,85,65,4
40.8,4,85,65,4
32.7,6,168,132,6
38,4,91,67,4
37.2,4,86,65,4
28,4,97,92,4
37,4,119,92,4
27.2,4,119,97,4
22,4,108,94,4
24,4,119,97,4
32,4,83,61,4
24.2,6,146,120,6
22,6,146,97,6
32,4,85,70,4
39.4,4,85,70,4
31,4,79,67,4
33.5,4,85,70,4
27,4,97,88,4
27,4,97,88,4
29,4,135,84,4
25.8,4,156,92,4
20.6,6,225,110,6
20,6,225,100,6
18.6,6,225,110,6
19.1,6,225,90,6
15,8,383,170,8
36,4,135,84,4
28,4,98,80,4
25,4,97.5,80,4
35.7,4,98,80,4
33.5,4,98,83,4
26,4,98,79,4
27.9,4,156,105,4
28,4,90,75,4
16,8,318,150,8
14,8,318,150,8
15,8,318,150,8
13,8,318,150,8
11,8,318,210,8
15,8,318,150,8
19.4,8,318,140,8
17.5,8,318,140,8
12,8,383,180,8
15.5,8,318,145,8
30.9,4,105,75,4
32,4,135,84,4
18.2,8,318,135,8
26,4,98,90,4
26,4,116,75,4
30,4,88,76,4
