RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_Rating
74,86,66,7.1,7.8,4.5
85,80,67,7.5,7.1,4.5
80,90,64,8.1,7.8,4.5
18,84,22,4.7,5.4,4.5
14,28,29,3.4,5.1,3
63,62,50,6.8,7.2,4
42,53,53,7.6,6.9,3.5
86,64,81,6.8,6.5,3.5
99,82,81,8.8,7.4,4
89,87,80,8.5,7.8,4
84,77,71,7.5,7.2,4
82,60,62,6.6,6.4,3.5
99,79,92,7.2,7.7,3.5
51,70,59,6.5,7.2,4.1
90,92,73,8.2,8.1,4.6
9,46,26,4.6,6.1,4.1
46,58,48,6.5,6.6,4.1
59,80,57,8.2,7.8,4.6
50,58,47,5.8,6.3,4.1
17,54,27,5.3,5.6,4.1
79,89,60,7.2,7.5,4.6
59,56,52,6.9,6.3,4.1
68,80,55,7.9,7.6,4.1
60,59,59,7.3,6.6,4.1
85,74,75,6,6.7,4.1
99,86,89,7.1,7.5,4.6
92,86,78,7.9,7.7,4.1
88,85,72,7.8,7.5,4.1
96,92,77,8.8,8.2,4.1
92,89,84,7.5,7.9,4.1
96,86,82,7.4,7.7,4.1
89,89,71,6.4,7.8,4.1
92,72,77,7.8,7.5,4.1
10,35,30,5.5,4.6,3.6
19,31,40,4,5.5,3.1
11,40,24,2.4,6.3,3.6
52,47,55,6.8,6.1,3.6
71,47,67,6.9,5.9,3.6
51,45,52,6.8,6.3,3.1
60,46,67,5.8,6.3,3.1
94,70,75,6.9,6.9,3.6
99,78,91,6.9,7.2,3.6
97,86,87,9.6,8.2,3.6
95,81,87,6.3,7,3.6
75,84,58,7.9,7.8,4.2
50,53,60,6.4,6.6,3.7
30,61,42,5.4,6.4,4.2
27,61,33,4.8,5.2,4.2
9,20,27,2.5,4,2.7
26,60,38,6.4,6.9,4.2
67,68,63,5.7,6.7,4.2
32,68,38,5.2,7.1,4.2
54,68,51,7.4,7.3,4.2
8,37,31,3.7,4.9,3.7
71,68,56,6.4,6.6,4.2
39,68,45,7.9,6.6,4.2
34,46,47,5.4,6.4,3.7
64,53,54,7,6.2,3.7
12,35,30,3.9,5.5,3.2
12,30,27,3.2,5.5,3.2
11,27,32,3.8,5.4,3.2
46,52,50,6.8,6.5,3.7
45,41,50,5.7,6.3,3.2
26,44,41,5.3,6.4,3.7
26,33,39,7.9,6.3,3.7
92,78,88,8,7.9,3.7
93,79,77,8.3,7.6,3.7
60,39,59,5.8,5.9,2.7
94,77,72,7.5,7.3,4.2
98,56,94,6.6,6.9,3.2
100,87,83,6,7.7,4.2
93,84,67,7,7.8,4.2
72,85,72,6.6,7.4,4.8
81,84,67,6.8,7.4,4.8
61,75,59,7,7.5,4.3
50,58,43,5.5,6.5,4.3
90,94,72,7.3,8.4,4.8
27,55,34,6.2,6.3,3.8
30,57,41,7.4,7,3.8
31,24,47,3.7,5,2.8
55,57,56,6.2,6.9,3.8
72,69,62,7.5,7,3.8
34,25,51,5.4,5.4,2.8
20,51,34,8.4,6.6,3.8
13,34,31,5,5.5,3.3
20,81,30,5.9,7.4,4.3
81,89,74,8.4,8.2,4.3
54,32,52,6.5,5.6,3.3
97,88,89,8.7,8.3,4.3
93,82,75,6.3,7.3,4.3
78,55,62,6.5,6.1,3.3
98,81,77,8.2,7.2,4.3
87,86,72,7.2,7.5,4.3
96,86,75,8.3,7.6,4.3
82,65,65,8.6,6.9,3.3
96,90,83,7.8,8.4,4.3
99,92,86,8.2,8.2,4.3
25,42,46,3.2,4.2,3.9
29,48,34,3.8,6.1,3.9
57,54,56,6.2,6.6,3.9
26,40,40,4.5,5.5,3.4
16,27,30,7,4.4,2.9
62,63,51,6.1,6.6,3.9
17,50,25,5.3,5.7,3.4
17,34,39,4.3,5.8,3.4
7,49,28,3.3,5.9,3.9
49,47,49,6.4,6.5,3.4
13,21,37,5.4,4.6,2.9
40,47,51,7,6.4,3.9
67,69,58,4.6,7.1,3.9
52,52,56,6.9,6.6,3.9
71,50,69,6.1,6,3.4
96,65,83,7.5,6.9,2.9
73,52,81,7.4,6.7,2.9
90,69,79,7,7.1,3.4
83,52,76,6.7,6.4,2.9
89,67,78,7.1,6.8,3.4
81,79,77,7.9,7.3,3.9
80,76,64,7.9,7.2,3.9
99,81,91,8,7.2,3.4
84,73,75,7,7.1,3.4
84,87,68,8.5,7.1,3.9
95,86,86,7.3,7.4,3.9
62,64,60,5.4,6.3,4.4
45,65,55,7.3,6.7,4.4
27,66,35,3.3,6.7,4.4
52,81,51,7.2,7.4,4.4
60,60,60,6.9,6,4.4
92,90,75,8,7.8,4.4
97,91,85,8.8,8,4.4
71,81,59,7,7.3,4.5
54,52,56,5.7,6.7,4
35,73,47,5.9,7,4.5
5,36,13,2.4,4.3,3.5
31,73,33,4.8,7.2,4.5
14,23,31,4.9,5.2,3
22,25,42,4.4,4.9,3
77,75,58,7.1,7.1,4
52,83,50,7.1,7.2,4.5
18,25,36,5.3,5.4,3
98,90,94,8.9,8.6,4.5
87,78,67,7.9,7.4,4
97,82,83,7.5,7.2,3.5
97,78,89,8.8,7.4,3.5
100,81,90,7.3,7.8,3.5
87,63,68,6.4,6.7,3.5
