DateTime,Attribute,Value
7/1/2022 0:00,Temperature,18.1
7/1/2022 0:00,Range (low),13.7
7/1/2022 0:00,Range (high),25.6
7/2/2022 0:00,Temperature,17.1
7/2/2022 0:00,Range (low),13.3
7/2/2022 0:00,Range (high),21.8
7/3/2022 0:00,Temperature,15.2
7/3/2022 0:00,Range (low),11.2
7/3/2022 0:00,Range (high),19.9
7/4/2022 0:00,Temperature,12.7
7/4/2022 0:00,Range (low),7.9
7/4/2022 0:00,Range (high),17.3
7/5/2022 0:00,Temperature,13.3
7/5/2022 0:00,Range (low),4.9
7/5/2022 0:00,Range (high),20.6
7/6/2022 0:00,Temperature,10.6
7/6/2022 0:00,Range (low),5.1
7/6/2022 0:00,Range (high),16.8
7/7/2022 0:00,Temperature,15.6
7/7/2022 0:00,Range (low),9.3
7/7/2022 0:00,Range (high),21.1
7/8/2022 0:00,Temperature,16.1
7/8/2022 0:00,Range (low),11.1
7/8/2022 0:00,Range (high),20.5
7/9/2022 0:00,Temperature,14
7/9/2022 0:00,Range (low),8.9
7/9/2022 0:00,Range (high),18.4
7/10/2022 0:00,Temperature,15.3
7/10/2022 0:00,Range (low),4.6
7/10/2022 0:00,Range (high),23.2
7/11/2022 0:00,Temperature,17.5
7/11/2022 0:00,Range (low),11.5
7/11/2022 0:00,Range (high),26
7/12/2022 0:00,Temperature,17.5
7/12/2022 0:00,Range (low),8.6
7/12/2022 0:00,Range (high),23.4
7/13/2022 0:00,Temperature,15.3
7/13/2022 0:00,Range (low),9.8
7/13/2022 0:00,Range (high),22.2
7/14/2022 0:00,Temperature,13.9
7/14/2022 0:00,Range (low),8.1
7/14/2022 0:00,Range (high),18.2
7/15/2022 0:00,Temperature,13.7
7/15/2022 0:00,Range (low),5.9
7/15/2022 0:00,Range (high),20.2
7/16/2022 0:00,Temperature,13.8
7/16/2022 0:00,Range (low),4.5
7/16/2022 0:00,Range (high),20.2
7/17/2022 0:00,Temperature,14
7/17/2022 0:00,Range (low),8.9
7/17/2022 0:00,Range (high),19.8
7/18/2022 0:00,Temperature,15.8
7/18/2022 0:00,Range (low),11.1
7/18/2022 0:00,Range (high),22.1
7/19/2022 0:00,Temperature,18.6
7/19/2022 0:00,Range (low),7.9
7/19/2022 0:00,Range (high),26.7
7/20/2022 0:00,Temperature,21.5
7/20/2022 0:00,Range (low),15.9
7/20/2022 0:00,Range (high),28.6
7/21/2022 0:00,Temperature,19.8
7/21/2022 0:00,Range (low),14.9
7/21/2022 0:00,Range (high),27.5
7/22/2022 0:00,Temperature,17.6
7/22/2022 0:00,Range (low),9.5
7/22/2022 0:00,Range (high),26
7/23/2022 0:00,Temperature,16.8
7/23/2022 0:00,Range (low),11.5
7/23/2022 0:00,Range (high),22.4
7/24/2022 0:00,Temperature,15.6
7/24/2022 0:00,Range (low),8.6
7/24/2022 0:00,Range (high),21.1
7/25/2022 0:00,Temperature,16.7
7/25/2022 0:00,Range (low),12.9
7/25/2022 0:00,Range (high),21.7
7/26/2022 0:00,Temperature,16.3
7/26/2022 0:00,Range (low),13.6
7/26/2022 0:00,Range (high),20.9
7/27/2022 0:00,Temperature,17.2
7/27/2022 0:00,Range (low),9.6
7/27/2022 0:00,Range (high),23.9
7/28/2022 0:00,Temperature,16
7/28/2022 0:00,Range (low),8.6
7/28/2022 0:00,Range (high),22.7
7/29/2022 0:00,Temperature,16.9
7/29/2022 0:00,Range (low),7.5
7/29/2022 0:00,Range (high),25.7
7/30/2022 0:00,Temperature,16.1
7/30/2022 0:00,Range (low),5.5
7/30/2022 0:00,Range (high),24.3
7/31/2022 0:00,Temperature,14.5
7/31/2022 0:00,Range (low),10.4
7/31/2022 0:00,Range (high),21.2
