date,high,low
10/1/2010,59.5,57
10/2/2010,59.5,53.4
10/3/2010,59,53.4
10/4/2010,59.4,54.7
10/5/2010,58.3,52.7
10/6/2010,62.1,54.5
10/7/2010,60.8,53.4
10/8/2010,61,52.5
10/9/2010,62.4,52.9
10/10/2010,65.3,54
10/11/2010,70.3,55
10/12/2010,82.2,58.6
10/13/2010,75.6,57.4
10/14/2010,75.7,57.7
10/15/2010,68.4,54.7
10/16/2010,56.3,52.7
10/17/2010,54.3,51.8
10/18/2010,54.9,51.4
10/19/2010,54.7,50.2
10/20/2010,56.5,50
10/21/2010,62.6,55.4
10/22/2010,59.9,53.8
10/23/2010,62.2,52.2
10/24/2010,63,57.9
10/25/2010,58.5,54.3
10/26/2010,59.5,51.3
10/27/2010,59.4,49.8
10/28/2010,66.6,55.8
10/29/2010,64.9,53.2
10/30/2010,59.9,52.3
10/31/2010,60.4,53.2
11/1/2010,64.4,54.1
11/2/2010,66.6,54.7
11/3/2010,67.8,57.2
11/4/2010,73.2,62.4
11/5/2010,72.1,54.1
11/6/2010,59,53.2
11/7/2010,59.2,56.1
11/8/2010,57.4,53.2
11/9/2010,56.8,47.1
11/10/2010,59.4,53.1
11/11/2010,61.2,51.8
11/12/2010,59.2,49.6
11/13/2010,63.1,50.7
11/14/2010,72.1,57
11/15/2010,75.4,62.4
11/16/2010,65.5,55.8
11/17/2010,60.1,52.5
11/18/2010,55,48.2
11/19/2010,55,48.9
11/20/2010,54.3,44.8
11/21/2010,54.1,47.8
11/22/2010,54.5,48.2
11/23/2010,53.4,50.2
11/24/2010,49.6,42.3
11/25/2010,49.8,43
11/26/2010,50.9,44.4
11/27/2010,52.5,47.7
11/28/2010,50.5,44.6
11/29/2010,51.3,41.9
11/30/2010,51.8,44.2
12/1/2010,52.2,45.3
12/2/2010,53.4,49.3
12/3/2010,53.2,49.1
12/4/2010,55.2,50.4
12/5/2010,56.3,52.3
12/6/2010,59.5,54.1
12/7/2010,57.2,49.5
12/8/2010,54.5,50.5
12/9/2010,56.5,52.9
12/10/2010,57.9,53.4
12/11/2010,56.1,54.1
12/12/2010,55.6,51.6
12/13/2010,55.8,53.8
12/14/2010,57.4,53.4
12/15/2010,52.9,47.3
12/16/2010,52.2,43.2
12/17/2010,52.2,46.2
12/18/2010,57.6,46.9
12/19/2010,57.6,51.8
12/20/2010,53.4,50.2
12/21/2010,57.2,48.6
12/22/2010,57.6,51.8
12/23/2010,53.6,44.4
12/24/2010,57.9,46.4
12/25/2010,57.6,46.8
12/26/2010,56.7,49.3
12/27/2010,56.3,45.9
12/28/2010,53.6,49.6
12/29/2010,55.6,48.7
12/30/2010,50.4,41.5
12/31/2010,50.2,42.6
1/1/2011,48.2,43.3
1/2/2011,48,44.1
1/3/2011,51.3,46.4
1/4/2011,50.9,43.3
1/5/2011,52.3,44.8
1/6/2011,52.5,40.3
1/7/2011,45.1,39.7
1/8/2011,43.2,40.6
1/9/2011,44.6,40.5
1/10/2011,47.1,40.1
1/11/2011,47.1,43.5
1/12/2011,51.6,46.8
1/13/2011,53.4,48.7
1/14/2011,54,51.3
1/15/2011,59.7,49.5
1/16/2011,60.3,46.6
1/17/2011,52.5,47.7
1/18/2011,53.4,47.3
1/19/2011,57.9,51.4
1/20/2011,58.1,49.1
1/21/2011,58.5,50.2
1/22/2011,59.2,51.1
1/23/2011,59.9,51.8
1/24/2011,61,49.1
1/25/2011,58.6,49.5
1/26/2011,59,51.1
1/27/2011,60.3,51.1
1/28/2011,58.3,42.8
1/29/2011,53.8,48.2
1/30/2011,54,50.5
1/31/2011,53.1,44.6
2/1/2011,59.9,45.9
2/2/2011,60.8,51.8
2/3/2011,59.2,44.6
2/4/2011,54.9,44.6
2/5/2011,64.8,48.7
2/6/2011,73.2,57.6
2/7/2011,69.3,51.1
2/8/2011,57.6,51.8
2/9/2011,58.3,48.9
2/10/2011,59.7,44.8
2/11/2011,59.2,45.3
2/12/2011,60.3,49.3
2/13/2011,55.9,44.4
2/14/2011,57,48
2/15/2011,58.5,51.1
2/16/2011,57.7,48.6
2/17/2011,50.7,44.6
2/18/2011,50,42.3
2/19/2011,46,39.9
2/20/2011,50,39.7
2/21/2011,50.2,41.5
2/22/2011,51.8,44.6
2/23/2011,51.8,42.4
2/24/2011,51.3,44.4
2/25/2011,51.1,44.4
2/26/2011,46.2,37.4
2/27/2011,50.2,39.2
2/28/2011,48.9,43.2
3/1/2011,55.2,49.1
3/2/2011,56.3,48.6
3/3/2011,54.5,51.1
3/4/2011,56.1,46.6
3/5/2011,58.3,47.7
3/6/2011,56.3,52.9
3/7/2011,55.6,49.3
3/8/2011,55.2,48.9
3/9/2011,56.1,48.7
3/10/2011,57.4,48.2
3/11/2011,54.5,45.5
3/12/2011,54.9,46.6
3/13/2011,61.7,51.1
3/14/2011,59.4,52.7
3/15/2011,58.5,53.6
3/16/2011,56.3,52.5
3/17/2011,54.7,45.3
3/18/2011,54.5,46.9
3/19/2011,51.1,46.4
3/20/2011,53.1,48.6
3/21/2011,52.5,46.9
3/22/2011,54.9,47.1
3/23/2011,54.9,48.7
3/24/2011,54.1,46.8
3/25/2011,54.5,47.1
3/26/2011,53.2,49.6
3/27/2011,54.3,46
3/28/2011,54.7,46.2
3/29/2011,57.2,46.8
3/30/2011,74.1,51.4
3/31/2011,71.1,55.9
4/1/2011,70.2,57.4
4/2/2011,60.3,53.2
4/3/2011,59.4,45.9
4/4/2011,66,49.5
4/5/2011,63.9,51.1
4/6/2011,56.7,47.8
4/7/2011,54,45.9
4/8/2011,51.1,44.6
4/9/2011,54,45.5
4/10/2011,54.3,48
4/11/2011,54.9,49.8
4/12/2011,53.6,45.5
4/13/2011,53.2,47.7
4/14/2011,53.6,45.7
4/15/2011,56.8,48.2
4/16/2011,57.6,50.7
4/17/2011,55.2,51.4
4/18/2011,56.1,51.3
4/19/2011,56.3,50.7
4/20/2011,59.4,50.2
4/21/2011,58.5,48.9
4/22/2011,55.2,47.7
4/23/2011,55.8,49.5
4/24/2011,56.7,52.7
4/25/2011,57,53.1
4/26/2011,55.9,47.7
4/27/2011,56.1,49.1
4/28/2011,54.7,49.8
4/29/2011,56.8,46.6
4/30/2011,62.2,55.2
5/1/2011,64.6,49.1
5/2/2011,60.3,48.7
5/3/2011,57.4,48.9
5/4/2011,69.4,50.9
5/5/2011,66.9,51.3
5/6/2011,58.1,50.5
5/7/2011,54.5,49.5
5/8/2011,53.4,50.2
5/9/2011,56.3,46.4
5/10/2011,55.6,48.9
5/11/2011,54.3,49.6
5/12/2011,56.7,51.3
5/13/2011,55,47.7
5/14/2011,54.1,50.2
5/15/2011,55,45.1
5/16/2011,55.6,50
5/17/2011,55.4,50.2
5/18/2011,56.8,51.3
5/19/2011,55.8,49.8
5/20/2011,55.8,51.3
5/21/2011,56.7,50.9
5/22/2011,56.1,49.5
5/23/2011,57,50.7
5/24/2011,55.6,48.7
5/25/2011,55.8,50.5
5/26/2011,57,51.4
5/27/2011,57.4,53.2
5/28/2011,56.8,52.3
5/29/2011,57,46.6
5/30/2011,56.3,49.3
5/31/2011,55.4,52.9
6/1/2011,56.7,48.9
6/2/2011,56.5,52.2
6/3/2011,56.3,50.4
6/4/2011,61,53.6
6/5/2011,61.7,52.9
6/6/2011,58.5,54.5
6/7/2011,58.3,52.5
6/8/2011,57.9,53.6
6/9/2011,56.8,52.9
6/10/2011,58.6,52.7
6/11/2011,57.6,51.3
6/12/2011,55.6,52.2
6/13/2011,57.9,52.9
6/14/2011,57.6,50.9
6/15/2011,60.8,53.1
6/16/2011,57.9,51.8
6/17/2011,55.9,51.3
6/18/2011,57,52.3
6/19/2011,59.7,52
6/20/2011,72.9,55.9
6/21/2011,62.8,54.7
6/22/2011,60.4,51.3
6/23/2011,57.7,52.5
6/24/2011,57.4,52
6/25/2011,56.7,51.8
6/26/2011,58.3,52.3
6/27/2011,57,50.4
6/28/2011,57.7,52
6/29/2011,57.2,53.4
6/30/2011,59.7,52.7
7/1/2011,61,54
7/2/2011,61.3,52.2
7/3/2011,67.3,54.7
7/4/2011,61.5,53.8
7/5/2011,56.1,50.2
7/6/2011,55.9,51.4
7/7/2011,56.8,51.3
7/8/2011,56.5,51.6
7/9/2011,55,52.3
7/10/2011,59,53.1
7/11/2011,58.3,51.8
7/12/2011,57.2,52.2
7/13/2011,57,54.3
7/14/2011,58.1,53.6
7/15/2011,57.4,53.8
7/16/2011,59.5,55
7/17/2011,60.3,55
7/18/2011,60.3,55
7/19/2011,59.9,56.1
7/20/2011,61.9,56.1
7/21/2011,60.8,54.9
7/22/2011,59.7,53.6
7/23/2011,60.4,54
7/24/2011,60.4,57
7/25/2011,60.6,54.5
7/26/2011,59.5,53.6
7/27/2011,58.1,53.4
7/28/2011,57.7,53.1
7/29/2011,59,55
7/30/2011,60.4,57.4
7/31/2011,60.4,56.8
8/1/2011,60.4,56.3
8/2/2011,59.9,55
8/3/2011,59.2,54.1
8/4/2011,59.2,55.6
8/5/2011,59.4,54.5
8/6/2011,58.8,54.5
8/7/2011,58.1,54.1
8/8/2011,58.5,52.7
8/9/2011,58.5,53.6
8/10/2011,59.4,54.7
8/11/2011,56.7,53.2
8/12/2011,56.8,53.2
8/13/2011,59.4,53.6
8/14/2011,59.9,54.3
8/15/2011,59.9,55
8/16/2011,60.1,52.7
