date,New York,San Francisco
10/1/2011,63.4,62.7
10/2/2011,58,59.9
10/3/2011,53.3,59.1
10/4/2011,55.7,58.8
10/5/2011,64.2,58.7
10/6/2011,58.8,57
10/7/2011,57.9,56.7
10/8/2011,61.8,56.8
10/9/2011,69.3,56.7
10/10/2011,71.2,60.1
10/11/2011,68.7,61.1
10/12/2011,61.8,61.5
10/13/2011,63,64.3
10/14/2011,66.9,67.1
10/15/2011,61.7,64.6
10/16/2011,61.8,61.6
10/17/2011,62.8,61.1
10/18/2011,60.8,59.2
10/19/2011,62.1,58.9
10/20/2011,65.1,57.2
10/21/2011,55.6,56.4
10/22/2011,54.4,60.7
10/23/2011,54.4,65.1
10/24/2011,54.8,60.9
10/25/2011,57.9,56.1
10/26/2011,54.6,54.6
10/27/2011,54.4,56.1
10/28/2011,42.5,58.1
10/29/2011,40.9,57.5
10/30/2011,38.6,57.7
10/31/2011,44.2,55.1
11/1/2011,49.6,57.9
11/2/2011,47.2,64.6
11/3/2011,50.1,56.2
11/4/2011,50.1,50.5
11/5/2011,43.5,51.3
11/6/2011,43.8,52.6
11/7/2011,48.9,51.4
11/8/2011,55.5,50.6
11/9/2011,53.7,54.6
11/10/2011,57.7,55.6
11/11/2011,48.5,53.9
11/12/2011,46.8,54
11/13/2011,51.1,53.8
11/14/2011,56.8,53.5
11/15/2011,59.7,53.4
11/16/2011,56.5,52.2
11/17/2011,49.6,52.7
11/18/2011,41.5,53.1
11/19/2011,44.3,49
11/20/2011,54,50.4
11/21/2011,54.1,51.1
11/22/2011,49.4,52.3
11/23/2011,50,54.6
11/24/2011,44,55.1
11/25/2011,50.3,51.5
11/26/2011,52.1,53.6
11/27/2011,49.6,52.3
11/28/2011,57.2,51
11/29/2011,59.1,49.5
11/30/2011,50.6,49.8
12/1/2011,44.3,60.4
12/2/2011,43.9,62.2
12/3/2011,42.1,58.3
12/4/2011,43.9,52.7
12/5/2011,50.2,51.5
12/6/2011,54.2,49.9
12/7/2011,54.6,48.6
12/8/2011,43.4,46.4
12/9/2011,42.2,49.8
12/10/2011,45,52.1
12/11/2011,33.8,48.8
12/12/2011,36.8,47.4
12/13/2011,38.6,47.2
12/14/2011,41.9,46.1
12/15/2011,49.6,48.8
12/16/2011,50.2,47.9
12/17/2011,40.6,49.8
12/18/2011,29.1,49.1
12/19/2011,33.7,48.3
12/20/2011,45.8,49.3
12/21/2011,47.4,48.4
12/22/2011,54.4,53.3
12/23/2011,47.8,47.5
12/24/2011,34.9,47.9
12/25/2011,35.9,48.9
12/26/2011,43.6,45.9
12/27/2011,42.9,47.2
12/28/2011,46.2,48.9
12/29/2011,30.8,50.9
12/30/2011,40.8,52.9
12/31/2011,49.8,50.1
1/1/2012,46.3,53.9
1/2/2012,43.2,53.1
1/3/2012,30.3,49.7
1/4/2012,19.2,52.7
1/5/2012,32.1,52.6
1/6/2012,41.2,49
1/7/2012,47,51
1/8/2012,46,56.8
1/9/2012,34.7,52.3
1/10/2012,39.4,51.6
1/11/2012,40.4,49.8
1/12/2012,45.4,51.9
1/13/2012,40.7,53.7
1/14/2012,30.4,52.9
1/15/2012,23.9,49.7
1/16/2012,22.6,45.3
1/17/2012,39.8,43.6
1/18/2012,43.2,45
1/19/2012,26.3,47.3
1/20/2012,32.8,51.4
1/21/2012,27.4,53.7
1/22/2012,25,48.3
1/23/2012,39.4,52.9
1/24/2012,48.7,49.1
1/25/2012,43,52.1
1/26/2012,37.1,53.6
1/27/2012,48.2,50.4
1/28/2012,43.7,50.3
1/29/2012,40.1,53.8
1/30/2012,38,51.9
1/31/2012,43.5,50
2/1/2012,50.4,50
2/2/2012,45.8,51.3
2/3/2012,37.5,51.5
2/4/2012,40.8,52
2/5/2012,36.5,53.8
2/6/2012,39.1,54.6
2/7/2012,43.2,54.3
2/8/2012,36.5,51.9
2/9/2012,36.5,53.8
2/10/2012,38.3,53.9
2/11/2012,36.9,52.3
2/12/2012,29.7,50.1
2/13/2012,33.1,49.5
2/14/2012,39.6,48.6
2/15/2012,42.3,49.9
2/16/2012,39.7,52.4
2/17/2012,46,49.9
2/18/2012,41.2,51.6
2/19/2012,39.8,47.8
2/20/2012,38.1,48.7
2/21/2012,37.1,49.7
2/22/2012,45.5,53.4
2/23/2012,50.6,54.1
2/24/2012,42.7,55.9
2/25/2012,42.6,51.7
2/26/2012,36.9,47.7
2/27/2012,40.9,45.4
2/28/2012,45.9,47
2/29/2012,40.7,49.8
3/1/2012,41.3,48.9
3/2/2012,36.8,48.1
3/3/2012,47.6,50.7
3/4/2012,44.2,55
3/5/2012,38.5,48.8
3/6/2012,32.9,48.4
3/7/2012,43.3,49.9
3/8/2012,51.2,49.2
3/9/2012,47.8,51.7
3/10/2012,37.2,49.3
3/11/2012,42.9,50
3/12/2012,48.8,48.6
3/13/2012,52.6,53.9
3/14/2012,60.5,55.2
3/15/2012,47.2,55.9
3/16/2012,44.7,54.6
3/17/2012,48.2,48.2
3/18/2012,48.2,47.1
3/19/2012,53.1,45.8
3/20/2012,57.8,49.7
3/21/2012,57.5,51.4
3/22/2012,57.3,51.4
3/23/2012,61.7,48.4
3/24/2012,55.8,49
3/25/2012,48.4,46.4
3/26/2012,49.8,49.7
3/27/2012,39.6,54.1
3/28/2012,49.7,54.6
3/29/2012,56.8,52.3
3/30/2012,46.5,54.5
3/31/2012,42.2,56.2
4/1/2012,45.3,51.1
4/2/2012,48.1,50.5
4/3/2012,51.2,52.2
4/4/2012,61,50.6
4/5/2012,50.7,47.9
4/6/2012,48,47.4
4/7/2012,51.1,49.4
4/8/2012,55.7,50
4/9/2012,58.3,51.3
4/10/2012,55,53.8
4/11/2012,49,52.9
4/12/2012,51.7,53.9
4/13/2012,53.1,50.2
4/14/2012,55.2,50.9
4/15/2012,62.3,51.5
4/16/2012,62.9,51.9
4/17/2012,69.3,53.2
4/18/2012,59,53
4/19/2012,54.1,55.1
4/20/2012,56.5,55.8
4/21/2012,58.2,58
4/22/2012,52.4,52.8
4/23/2012,51.6,55.1
4/24/2012,49.3,57.9
4/25/2012,52.5,57.5
4/26/2012,50.5,55.3
4/27/2012,51.9,53.5
4/28/2012,47.4,54.7
4/29/2012,54.1,54
4/30/2012,51.9,53.4
5/1/2012,57.4,52.7
5/2/2012,53.7,50.7
5/3/2012,53.1,52.6
5/4/2012,57.2,53.4
5/5/2012,57,53.1
5/6/2012,56.6,56.5
5/7/2012,54.6,55.3
5/8/2012,57.9,52
5/9/2012,59.2,52.4
5/10/2012,61.1,53.4
5/11/2012,59.7,53.1
5/12/2012,64.1,49.9
5/13/2012,65.3,52
5/14/2012,64.2,56
5/15/2012,62,53
5/16/2012,63.8,51
5/17/2012,64.5,51.4
5/18/2012,61,52.2
5/19/2012,62.6,52.4
5/20/2012,66.2,54.5
5/21/2012,62.7,52.8
5/22/2012,63.7,53.9
5/23/2012,66.4,56.5
5/24/2012,64.5,54.7
5/25/2012,65.4,52.5
5/26/2012,69.4,52.1
5/27/2012,71.9,52.2
5/28/2012,74.4,52.9
5/29/2012,75.9,52.1
5/30/2012,72.9,52.1
5/31/2012,72.5,53.3
6/1/2012,67.2,54.8
6/2/2012,68.3,54
6/3/2012,67.7,52.3
6/4/2012,61.9,55.3
6/5/2012,58.3,53.5
6/6/2012,61.7,54.1
6/7/2012,66.7,53.9
6/8/2012,68.7,54.4
6/9/2012,72.2,55
6/10/2012,72.6,60
6/11/2012,69.2,57.2
6/12/2012,66.9,55.1
6/13/2012,66.7,53.3
6/14/2012,67.7,53.4
6/15/2012,68.5,54.6
6/16/2012,67.5,57
6/17/2012,64.2,55.6
6/18/2012,61.7,52.5
6/19/2012,66.4,53.9
6/20/2012,77.9,55.3
6/21/2012,88.3,53.3
6/22/2012,82.2,54.1
6/23/2012,77,55.2
6/24/2012,75.4,55.8
6/25/2012,70.9,56.8
6/26/2012,65.9,57.5
6/27/2012,73.5,57.7
6/28/2012,77.4,56.6
6/29/2012,79.6,56.4
6/30/2012,84.2,58.4
7/1/2012,81.8,58.8
7/2/2012,82.5,56.4
7/3/2012,80.2,56.5
7/4/2012,77.8,55.8
7/5/2012,86.1,54.8
7/6/2012,79.9,54.9
7/7/2012,83.5,54.7
7/8/2012,81.5,52.8
7/9/2012,77.8,53.7
7/10/2012,76.1,53.1
7/11/2012,76.3,52.7
7/12/2012,75.8,52
7/13/2012,77.2,53.4
7/14/2012,79.3,54
7/15/2012,78.9,54
7/16/2012,79.6,54.5
7/17/2012,83.3,56.7
7/18/2012,84.3,57.5
7/19/2012,75.1,57.1
7/20/2012,68.4,58.1
7/21/2012,68.4,57.6
7/22/2012,72.2,56
7/23/2012,75.6,56.6
7/24/2012,82.6,57.8
7/25/2012,78.4,57.5
7/26/2012,77,56.4
7/27/2012,79.4,55.3
7/28/2012,77.4,55
7/29/2012,72.5,55.6
7/30/2012,72.9,55.6
7/31/2012,73.6,55.9
8/1/2012,75,55.4
8/2/2012,77.7,54.4
8/3/2012,79.7,53.7
8/4/2012,79.6,54.1
8/5/2012,81.5,57.8
8/6/2012,80,58.2
8/7/2012,75.7,58
8/8/2012,77.8,57
8/9/2012,78.6,55
8/10/2012,77.8,54.8
8/11/2012,78.5,53
8/12/2012,78.8,52.5
8/13/2012,78.6,53.3
8/14/2012,76.8,53.9
8/15/2012,76.7,56.2
8/16/2012,75.9,57.1
8/17/2012,77.6,55.3
8/18/2012,72.6,56.2
8/19/2012,70.4,54.3
8/20/2012,71.8,53.1
8/21/2012,73.6,53.4
8/22/2012,74.7,54.5
8/23/2012,74.6,55.7
8/24/2012,76,54.8
8/25/2012,76.2,53.8
8/26/2012,73.4,56.5
8/27/2012,74.6,58.3
8/28/2012,79.4,58.7
8/29/2012,74.7,57.5
8/30/2012,73.5,55.9
8/31/2012,77.9,55.4
9/1/2012,80.7,55.7
9/2/2012,75.1,53.1
9/3/2012,73.5,53.5
9/4/2012,73.5,52.5
9/5/2012,77.7,54.5
9/6/2012,74.2,56.3
9/7/2012,76,56.4
9/8/2012,77.1,56.5
9/9/2012,69.7,56.4
9/10/2012,67.8,55.4
9/11/2012,64,56.2
9/12/2012,68.1,55.7
9/13/2012,69.3,54.3
9/14/2012,70,55.2
9/15/2012,69.3,54.3
9/16/2012,66.3,52.9
9/17/2012,67,54.8
9/18/2012,72.8,54.8
9/19/2012,67.2,56.8
9/20/2012,62.1,55.4
9/21/2012,64,55.8
9/22/2012,65.5,55.9
9/23/2012,65.7,52.8
9/24/2012,60.4,54.5
9/25/2012,63.2,53.3
9/26/2012,68.5,53.6
9/27/2012,69.2,52.1
9/28/2012,68.7,52.6
9/29/2012,62.5,53.9
9/30/2012,62.3,55.1
