week,theaterCount,title
1,4,Ex Machina
2,39,Ex Machina
3,1255,Ex Machina
4,1279,Ex Machina
5,2004,Ex Machina
6,1718,Ex Machina
7,896,Ex Machina
8,506,Ex Machina
9,302,Ex Machina
10,194,Ex Machina
11,124,Ex Machina
12,81,Ex Machina
13,61,Ex Machina
14,39,Ex Machina
15,31,Ex Machina
1,10,Far from the Madding Crowd
2,99,Far from the Madding Crowd
3,289,Far from the Madding Crowd
4,865,Far from the Madding Crowd
5,902,Far from the Madding Crowd
6,610,Far from the Madding Crowd
7,366,Far from the Madding Crowd
8,256,Far from the Madding Crowd
9,122,Far from the Madding Crowd
10,105,Far from the Madding Crowd
11,98,Far from the Madding Crowd
12,74,Far from the Madding Crowd
13,47,Far from the Madding Crowd
14,27,Far from the Madding Crowd
15,18,Far from the Madding Crowd
1,3366,The Longest Ride
2,3371,The Longest Ride
3,3140,The Longest Ride
4,2115,The Longest Ride
5,1464,The Longest Ride
6,803,The Longest Ride
7,329,The Longest Ride
8,230,The Longest Ride
9,155,The Longest Ride
10,116,The Longest Ride
11,45,The Longest Ride
12,24,The Longest Ride
13,9,The Longest Ride
