Miles_per_Gallon,Horsepower,Acceleration,Origin
18,130,12,USA
15,165,11.5,USA
18,150,11,USA
16,150,12,USA
17,140,10.5,USA
15,198,10,USA
14,220,9,USA
14,215,8.5,USA
14,225,10,USA
15,190,8.5,USA
15,170,10,USA
14,160,8,USA
15,150,9.5,USA
14,225,10,USA
24,95,15,Japan
22,95,15.5,USA
18,97,15.5,USA
21,85,16,USA
27,88,14.5,Japan
26,46,20.5,Europe
25,87,17.5,Europe
24,90,14.5,Europe
25,95,17.5,Europe
26,113,12.5,Europe
21,90,15,USA
10,215,14,USA
10,200,15,USA
11,210,13.5,USA
9,193,18.5,USA
27,88,14.5,Japan
28,90,15.5,USA
25,95,14,Japan
19,100,13,USA
16,105,15.5,USA
17,100,15.5,USA
19,88,15.5,USA
18,100,15.5,USA
14,165,12,USA
14,175,11.5,USA
14,153,13.5,USA
14,150,13,USA
12,180,11.5,USA
13,170,12,USA
13,175,12,USA
18,110,13.5,USA
22,72,19,USA
19,100,15,USA
18,88,14.5,USA
23,86,14,USA
28,90,14,Europe
30,70,19.5,Europe
30,76,14.5,Europe
31,65,19,Japan
35,69,18,Japan
27,60,19,Europe
26,70,20.5,USA
24,95,15.5,Japan
25,80,17,USA
23,54,23.5,Europe
20,90,19.5,USA
21,86,16.5,USA
13,165,12,USA
14,175,12,USA
15,150,13.5,USA
14,153,13,USA
17,150,11.5,USA
11,208,11,USA
13,155,13.5,USA
12,160,13.5,USA
13,190,12.5,USA
19,97,13.5,Japan
15,150,12.5,USA
13,130,14,USA
13,140,16,USA
14,150,14,USA
18,112,14.5,Europe
22,76,18,Europe
21,87,19.5,Europe
26,69,18,Europe
22,86,16,USA
28,92,17,Japan
23,97,14.5,Japan
28,80,15,USA
27,88,16.5,Japan
13,175,13,USA
14,150,11.5,USA
13,145,13,USA
14,137,14.5,USA
15,150,12.5,USA
12,198,11.5,USA
13,150,12,USA
13,158,13,USA
14,150,14.5,USA
13,215,11,USA
12,225,11,USA
13,175,11,USA
18,105,16.5,USA
16,100,18,USA
18,100,16,USA
18,88,16.5,USA
23,95,16,USA
26,46,21,Europe
11,150,14,USA
12,167,12.5,USA
13,170,13,USA
12,180,12.5,USA
18,100,15,USA
20,88,19,Japan
21,72,19.5,USA
22,94,16.5,Japan
18,90,13.5,Japan
19,85,18.5,USA
21,107,14,USA
26,90,15.5,Europe
15,145,13,USA
16,230,9.5,USA
29,49,19.5,Europe
24,75,15.5,Europe
20,91,14,Europe
19,112,15.5,Europe
15,150,11,USA
24,110,14,Europe
20,122,13.5,Japan
11,180,11,USA
20,95,16.5,USA
19,100,16,USA
15,100,17,USA
31,67,19,Japan
26,80,16.5,USA
32,65,21,Japan
25,75,17,USA
16,100,17,USA
16,110,18,USA
18,105,16.5,USA
16,140,14,USA
13,150,14.5,USA
14,150,13.5,USA
14,140,16,USA
14,150,15.5,USA
29,83,16.5,Europe
26,67,15.5,Europe
26,78,14.5,Europe
31,52,16.5,Japan
32,61,19,Japan
28,75,14.5,USA
24,75,15.5,Europe
26,75,14,Europe
24,97,15,Japan
26,93,15.5,Japan
31,67,16,Europe
19,95,16,USA
18,105,16,USA
15,72,21,USA
15,72,19.5,USA
16,170,11.5,USA
15,145,14,USA
16,150,14.5,USA
14,148,13.5,USA
17,110,21,USA
16,105,18.5,USA
15,110,19,USA
18,95,19,USA
21,110,15,USA
20,110,13.5,USA
13,129,12,USA
29,75,16,Japan
23,83,17,USA
20,100,16,USA
23,78,18.5,USA
24,96,13.5,Japan
25,71,16.5,Europe
24,97,17,Japan
18,97,14.5,USA
29,70,14,Europe
19,90,17,USA
23,95,15,Europe
23,88,17,Europe
22,98,14.5,Europe
25,115,13.5,Europe
33,53,17.5,Japan
28,86,15.5,Europe
25,81,16.9,Europe
25,92,14.9,USA
26,79,17.7,USA
27,83,15.3,Europe
17.5,140,13,USA
16,150,13,USA
15.5,120,13.9,USA
14.5,152,12.8,USA
22,100,15.4,USA
22,105,14.5,USA
24,81,17.6,USA
22.5,90,17.6,USA
29,52,22.2,USA
24.5,60,22.1,USA
29,70,14.2,Europe
33,53,17.4,Japan
20,100,17.7,USA
18,78,21,USA
18.5,110,16.2,USA
17.5,95,17.8,USA
29.5,71,12.2,Europe
32,70,17,Japan
28,75,16.4,Japan
26.5,72,13.6,USA
20,102,15.7,Europe
13,150,13.2,USA
19,88,21.9,Europe
19,108,15.5,Japan
16.5,120,16.7,Europe
16.5,180,12.1,USA
13,145,12,USA
13,130,15,USA
13,150,14,USA
31.5,68,18.5,Japan
30,80,14.8,USA
36,58,18.6,Europe
25.5,96,15.5,USA
33.5,70,16.8,Japan
17.5,145,12.5,USA
17,110,19,USA
15.5,145,13.7,USA
15,130,14.9,USA
17.5,110,16.4,USA
20.5,105,16.9,USA
19,100,17.7,USA
18.5,98,19,USA
16,180,11.1,USA
15.5,170,11.4,USA
15.5,190,12.2,USA
16,149,14.5,USA
29,78,14.5,Europe
24.5,88,16,USA
26,75,18.2,Japan
25.5,89,15.8,USA
30.5,63,17,USA
33.5,83,15.9,USA
30,67,16.4,Japan
30.5,78,14.1,Europe
22,97,14.5,Japan
21.5,110,12.8,Europe
21.5,110,13.5,Japan
43.1,48,21.5,Europe
36.1,66,14.4,USA
32.8,52,19.4,Japan
39.4,70,18.6,Japan
36.1,60,16.4,Japan
19.9,110,15.5,USA
19.4,140,13.2,USA
20.2,139,12.8,USA
19.2,105,19.2,USA
20.5,95,18.2,USA
20.2,85,15.8,USA
25.1,88,15.4,USA
20.5,100,17.2,USA
19.4,90,17.2,USA
20.6,105,15.8,USA
20.8,85,16.7,USA
18.6,110,18.7,USA
18.1,120,15.1,USA
19.2,145,13.2,USA
17.7,165,13.4,USA
18.1,139,11.2,USA
17.5,140,13.7,USA
30,68,16.5,USA
27.5,95,14.2,Japan
27.2,97,14.7,Japan
30.9,75,14.5,USA
21.1,95,14.8,Japan
23.2,105,16.7,USA
23.8,85,17.6,USA
23.9,97,14.9,Japan
20.3,103,15.9,Europe
17,125,13.6,Europe
21.6,115,15.7,Europe
16.2,133,15.8,Europe
31.5,71,14.9,Europe
29.5,68,16.6,Japan
21.5,115,15.4,USA
19.8,85,18.2,USA
22.3,88,17.3,USA
20.2,90,18.2,USA
20.6,110,16.6,USA
17,130,15.4,USA
17.6,129,13.4,USA
16.5,138,13.2,USA
18.2,135,15.2,USA
16.9,155,14.9,USA
15.5,142,14.3,USA
19.2,125,15,USA
18.5,150,13,USA
31.9,71,14,Europe
34.1,65,15.2,Japan
35.7,80,14.4,USA
27.4,80,15,USA
25.4,77,20.1,Europe
23,125,17.4,USA
27.2,71,24.8,Europe
23.9,90,22.2,USA
34.2,70,13.2,USA
34.5,70,14.9,USA
31.8,65,19.2,Japan
37.3,69,14.7,Europe
28.4,90,16,USA
28.8,115,11.3,USA
26.8,115,12.9,USA
33.5,90,13.2,USA
41.5,76,14.7,Europe
38.1,60,18.8,Japan
32.1,70,15.5,USA
37.2,65,16.4,Japan
28,90,16.5,USA
26.4,88,18.1,USA
24.3,90,20.1,USA
19.1,90,18.7,USA
34.3,78,15.8,Europe
29.8,90,15.5,Japan
31.3,75,17.5,Japan
37,92,15,Japan
32.2,75,15.2,Japan
46.6,65,17.9,Japan
27.9,105,14.4,USA
40.8,65,19.2,Japan
44.3,48,21.7,Europe
43.4,48,23.7,Europe
36.4,67,19.9,Europe
30,67,21.8,Europe
44.6,67,13.8,Japan
33.8,67,18,Japan
29.8,62,15.3,Europe
32.7,132,11.4,Japan
23.7,100,12.5,Japan
35,88,15.1,Europe
32.4,72,17,Japan
27.2,84,15.7,USA
26.6,84,16.4,USA
25.8,92,14.4,USA
23.5,110,12.6,USA
30,84,12.9,USA
39.1,58,16.9,Japan
39,64,16.4,USA
35.1,60,16.1,Japan
32.3,67,17.8,Japan
37,65,19.4,Japan
37.7,62,17.3,Japan
34.1,68,16,Japan
34.7,63,14.9,USA
34.4,65,16.2,USA
29.9,65,20.7,USA
33,74,14.2,Europe
33.7,75,14.4,Japan
32.4,75,16.8,Japan
32.9,100,14.8,Japan
31.6,74,18.3,Japan
28.1,80,20.4,Europe
30.7,76,19.6,Europe
25.4,116,12.6,Japan
24.2,120,13.8,Japan
22.4,110,15.8,USA
26.6,105,19,USA
20.2,88,17.1,USA
17.6,85,16.6,USA
28,88,19.6,USA
27,88,18.6,USA
34,88,18,USA
31,85,16.2,USA
29,84,16,USA
27,90,18,USA
24,92,16.4,USA
36,74,15.3,Europe
37,68,18.2,Japan
31,68,17.6,Japan
38,63,14.7,USA
36,70,17.3,USA
36,88,14.5,Japan
36,75,14.5,Japan
34,70,16.9,Japan
38,67,15,Japan
32,67,15.7,Japan
38,67,16.2,Japan
25,110,16.4,USA
38,85,17,USA
26,92,14.5,USA
22,112,14.7,USA
32,96,13.9,Japan
36,84,13,USA
27,90,17.3,USA
27,86,15.6,USA
44,52,24.6,Europe
32,84,11.6,USA
28,79,18.6,USA
31,82,19.4,USA
