date,newcases
2020-03-01T05:00Z,0
2020-03-02T05:00Z,0
2020-03-03T05:00Z,1
2020-03-04T05:00Z,9
2020-03-05T05:00Z,11
2020-03-06T05:00Z,22
2020-03-07T05:00Z,45
2020-03-08T05:00Z,17
2020-03-09T04:00Z,36
2020-03-10T04:00Z,31
2020-03-11T04:00Z,44
2020-03-12T04:00Z,109
2020-03-13T04:00Z,95
2020-03-14T04:00Z,189
2020-03-15T04:00Z,122
2020-03-16T04:00Z,218
2020-03-17T04:00Z,425
2020-03-18T04:00Z,1012
2020-03-19T04:00Z,1774
2020-03-20T04:00Z,2952
2020-03-21T04:00Z,3258
2020-03-22T04:00Z,4817
2020-03-23T04:00Z,5711
2020-03-24T04:00Z,4805
2020-03-25T04:00Z,7413
2020-03-26T04:00Z,5941
2020-03-27T04:00Z,5688
2020-03-28T04:00Z,8771
2020-03-29T04:00Z,6266
2020-03-30T04:00Z,7721
2020-03-31T04:00Z,8707
2020-04-01T04:00Z,8153
2020-04-02T04:00Z,8996
2020-04-03T04:00Z,10329
2020-04-04T04:00Z,12274
2020-04-05T04:00Z,8122
2020-04-06T04:00Z,9304
2020-04-07T04:00Z,8314
2020-04-08T04:00Z,9568
2020-04-09T04:00Z,10765
2020-04-10T04:00Z,10794
2020-04-11T04:00Z,10160
2020-04-12T04:00Z,8435
2020-04-13T04:00Z,6548
2020-04-14T04:00Z,7402
2020-04-15T04:00Z,11755
2020-04-16T04:00Z,8631
2020-04-17T04:00Z,7532
2020-04-18T04:00Z,7249
2020-04-19T04:00Z,6199
2020-04-20T04:00Z,4867
2020-04-21T04:00Z,4324
2020-04-22T04:00Z,5659
2020-04-23T04:00Z,6341
2020-04-24T04:00Z,8286
2020-04-25T04:00Z,10683
2020-04-26T04:00Z,6013
2020-04-27T04:00Z,4077
2020-04-28T04:00Z,3285
2020-04-29T04:00Z,4718
2020-04-30T04:00Z,4702
2020-05-01T04:00Z,3879
2020-05-02T04:00Z,4559
2020-05-03T04:00Z,3699
2020-05-04T04:00Z,2524
2020-05-05T04:00Z,2302
2020-05-06T04:00Z,2746
2020-05-07T04:00Z,3526
2020-05-08T04:00Z,2873
2020-05-09T04:00Z,2715
2020-05-10T04:00Z,2138
2020-05-11T04:00Z,1610
2020-05-12T04:00Z,1438
2020-05-13T04:00Z,2123
2020-05-14T04:00Z,2364
2020-05-15T04:00Z,2759
2020-05-16T04:00Z,2185
2020-05-17T04:00Z,1901
2020-05-18T04:00Z,1241
2020-05-19T04:00Z,1479
2020-05-20T04:00Z,1478
2020-05-21T04:00Z,2078
2020-05-22T04:00Z,1678
2020-05-23T04:00Z,1754
2020-05-24T04:00Z,1601
2020-05-25T04:00Z,1279
2020-05-26T04:00Z,1044
2020-05-27T04:00Z,1132
2020-05-28T04:00Z,1758
2020-05-29T04:00Z,1549
2020-05-30T04:00Z,1363
2020-05-31T04:00Z,1104
2020-06-01T04:00Z,945
2020-06-02T04:00Z,1361
2020-06-03T04:00Z,1043
2020-06-04T04:00Z,1053
2020-06-05T04:00Z,1042
2020-06-06T04:00Z,1083
2020-06-07T04:00Z,777
2020-06-08T04:00Z,712
2020-06-09T04:00Z,690
2020-06-10T04:00Z,664
2020-06-11T04:00Z,724
2020-06-12T04:00Z,821
2020-06-13T04:00Z,912
2020-06-14T04:00Z,694
2020-06-15T04:00Z,623
2020-06-16T04:00Z,630
2020-06-17T04:00Z,561
2020-06-18T04:00Z,626
2020-06-19T04:00Z,794
2020-06-20T04:00Z,707
2020-06-21T04:00Z,665
2020-06-22T04:00Z,555
2020-06-23T04:00Z,598
2020-06-24T04:00Z,575
2020-06-25T04:00Z,738
2020-06-26T04:00Z,804
2020-06-27T04:00Z,697
2020-06-28T04:00Z,624
2020-06-29T04:00Z,391
2020-06-30T04:00Z,458
2020-07-01T04:00Z,628
2020-07-02T04:00Z,872
2020-07-03T04:00Z,919
2020-07-04T04:00Z,725
2020-07-05T04:00Z,536
2020-07-06T04:00Z,516
2020-07-07T04:00Z,590
2020-07-08T04:00Z,691
2020-07-09T04:00Z,588
2020-07-10T04:00Z,790
2020-07-11T04:00Z,727
2020-07-12T04:00Z,679
2020-07-13T04:00Z,559
2020-07-14T04:00Z,913
2020-07-15T04:00Z,834
2020-07-16T04:00Z,767
2020-07-17T04:00Z,778
2020-07-18T04:00Z,752
2020-07-19T04:00Z,509
2020-07-20T04:00Z,519
2020-07-21T04:00Z,855
2020-07-22T04:00Z,706
2020-07-23T04:00Z,810
2020-07-24T04:00Z,758
2020-07-25T04:00Z,748
2020-07-26T04:00Z,532
2020-07-27T04:00Z,613
2020-07-28T04:00Z,535
2020-07-29T04:00Z,711
2020-07-30T04:00Z,779
2020-07-31T04:00Z,642
2020-08-01T04:00Z,754
2020-08-02T04:00Z,531
2020-08-03T04:00Z,542
2020-08-04T04:00Z,746
2020-08-05T04:00Z,639
2020-08-06T04:00Z,694
2020-08-07T04:00Z,720
2020-08-08T04:00Z,706
