month,sales,fruit
2018-01-01T05:00:00.000Z,400,apples
2018-02-01T05:00:00.000Z,160,apples
2018-03-01T05:00:00.000Z,64,apples
2018-04-01T04:00:00.000Z,32,apples
2018-05-01T04:00:00.000Z,40,apples
2018-06-01T04:00:00.000Z,100,apples
2018-07-01T04:00:00.000Z,150,apples
2018-08-01T04:00:00.000Z,100,apples
2018-01-01T05:00:00.000Z,200,bananas
2018-02-01T05:00:00.000Z,150,bananas
2018-03-01T05:00:00.000Z,96,bananas
2018-04-01T04:00:00.000Z,48,bananas
2018-05-01T04:00:00.000Z,100,bananas
2018-06-01T04:00:00.000Z,250,bananas
2018-07-01T04:00:00.000Z,125,bananas
2018-08-01T04:00:00.000Z,75,bananas
2018-01-01T05:00:00.000Z,96,cherries
2018-02-01T05:00:00.000Z,96,cherries
2018-03-01T05:00:00.000Z,64,cherries
2018-04-01T04:00:00.000Z,64,cherries
2018-05-01T04:00:00.000Z,64,cherries
2018-06-01T04:00:00.000Z,86,cherries
2018-07-01T04:00:00.000Z,96,cherries
2018-08-01T04:00:00.000Z,106,cherries
2018-01-01T05:00:00.000Z,40,dates
2018-02-01T05:00:00.000Z,40,dates
2018-03-01T05:00:00.000Z,40,dates
2018-04-01T04:00:00.000Z,40,dates
2018-05-01T04:00:00.000Z,40,dates
2018-06-01T04:00:00.000Z,40,dates
2018-07-01T04:00:00.000Z,40,dates
2018-08-01T04:00:00.000Z,40,dates
2018-01-01T05:00:00.000Z,250,oranges
2018-02-01T05:00:00.000Z,200,oranges
2018-03-01T05:00:00.000Z,150,oranges
2018-04-01T04:00:00.000Z,100,oranges
2018-05-01T04:00:00.000Z,115,oranges
2018-06-01T04:00:00.000Z,225,oranges
2018-07-01T04:00:00.000Z,200,oranges
2018-08-01T04:00:00.000Z,210,oranges
2018-01-01T05:00:00.000Z,20,grapes
2018-02-01T05:00:00.000Z,25,grapes
2018-03-01T05:00:00.000Z,30,grapes
2018-04-01T04:00:00.000Z,20,grapes
2018-05-01T04:00:00.000Z,45,grapes
2018-06-01T04:00:00.000Z,50,grapes
2018-07-01T04:00:00.000Z,15,grapes
2018-08-01T04:00:00.000Z,10,grapes
