Year,Attribute,Value
1900,Number of countries with no women in parliament,52
1900,Number of countries with 0-10% women in parliament,0
1900,Number of countries with 10-20% women in parliament,0
1900,Number of countries with 20-30% women in parliament,0
1900,Number of countries with 30-40% women in parliament,0
1900,Number of countries with 40-50% women in parliament,0
1900,Number of countries with 50%+ women in parliament,0
1901,Number of countries with no women in parliament,54
1901,Number of countries with 0-10% women in parliament,0
1901,Number of countries with 10-20% women in parliament,0
1901,Number of countries with 20-30% women in parliament,0
1901,Number of countries with 30-40% women in parliament,0
1901,Number of countries with 40-50% women in parliament,0
1901,Number of countries with 50%+ women in parliament,0
1902,Number of countries with no women in parliament,55
1902,Number of countries with 0-10% women in parliament,0
1902,Number of countries with 10-20% women in parliament,0
1902,Number of countries with 20-30% women in parliament,0
1902,Number of countries with 30-40% women in parliament,0
1902,Number of countries with 40-50% women in parliament,0
1902,Number of countries with 50%+ women in parliament,0
1903,Number of countries with no women in parliament,56
1903,Number of countries with 0-10% women in parliament,0
1903,Number of countries with 10-20% women in parliament,0
1903,Number of countries with 20-30% women in parliament,0
1903,Number of countries with 30-40% women in parliament,0
1903,Number of countries with 40-50% women in parliament,0
1903,Number of countries with 50%+ women in parliament,0
1904,Number of countries with no women in parliament,57
1904,Number of countries with 0-10% women in parliament,0
1904,Number of countries with 10-20% women in parliament,0
1904,Number of countries with 20-30% women in parliament,0
1904,Number of countries with 30-40% women in parliament,0
1904,Number of countries with 40-50% women in parliament,0
1904,Number of countries with 50%+ women in parliament,0
1905,Number of countries with no women in parliament,58
1905,Number of countries with 0-10% women in parliament,0
1905,Number of countries with 10-20% women in parliament,0
1905,Number of countries with 20-30% women in parliament,0
1905,Number of countries with 30-40% women in parliament,0
1905,Number of countries with 40-50% women in parliament,0
1905,Number of countries with 50%+ women in parliament,0
1906,Number of countries with no women in parliament,60
1906,Number of countries with 0-10% women in parliament,0
1906,Number of countries with 10-20% women in parliament,0
1906,Number of countries with 20-30% women in parliament,0
1906,Number of countries with 30-40% women in parliament,0
1906,Number of countries with 40-50% women in parliament,0
1906,Number of countries with 50%+ women in parliament,0
1907,Number of countries with no women in parliament,59
1907,Number of countries with 0-10% women in parliament,1
1907,Number of countries with 10-20% women in parliament,0
1907,Number of countries with 20-30% women in parliament,0
1907,Number of countries with 30-40% women in parliament,0
1907,Number of countries with 40-50% women in parliament,0
1907,Number of countries with 50%+ women in parliament,0
1908,Number of countries with no women in parliament,60
1908,Number of countries with 0-10% women in parliament,0
1908,Number of countries with 10-20% women in parliament,1
1908,Number of countries with 20-30% women in parliament,0
1908,Number of countries with 30-40% women in parliament,0
