country,venue,medals
Finland,1924 Chamonix,0
Finland,1928 St. Moritz,11
Finland,1932 Lake Placid,4
Finland,1935 Garmisch-Partenkirchen,3
Finland,1940 Cancelled (Sapporo),6
Finland,1944 Cancelled (Cortina d'Ampezzo),0
Finland,1948 St. Moritz,0
Finland,1952 Oslo,6
Finland,1056 Cortina d'Ampezzo,9
Finland,1960 Squaw Valley,7
Finland,1964 Innsbruck,8
Finland,1968 Grenoble,10
Finland,1972 Sapporo,5
Finland,1976 Innsbruck,5
Finland,1980 Lake Placid,7
Finland,1984 Sarajevo,9
Finland,1988 Calgary,13
Finland,1992 Albertville,7
Finland,1994 Lillehammer,7
Finland,1998 Nagano,6
Finland,2002 Salt Lake City,12
Finland,2006 Turin,7
Finland,2010 Vancouver,9
Finland,2014 Sochi,5
Austria,1924 Chamonix,0
Austria,1928 St. Moritz,3
Austria,1932 Lake Placid,4
Austria,1935 Garmisch-Partenkirchen,2
Austria,1940 Cancelled (Sapporo),4
Austria,1944 Cancelled (Cortina d'Ampezzo),0
Austria,1948 St. Moritz,0
Austria,1952 Oslo,8
Austria,1056 Cortina d'Ampezzo,8
Austria,1960 Squaw Valley,11
Austria,1964 Innsbruck,6
Austria,1968 Grenoble,12
Austria,1972 Sapporo,11
Austria,1976 Innsbruck,5
Austria,1980 Lake Placid,6
Austria,1984 Sarajevo,7
Austria,1988 Calgary,1
Austria,1992 Albertville,10
Austria,1994 Lillehammer,21
Austria,1998 Nagano,9
Austria,2002 Salt Lake City,17
Austria,2006 Turin,17
Austria,2010 Vancouver,23
Austria,2014 Sochi,16
Sweden,1924 Chamonix,0
Sweden,1928 St. Moritz,2
Sweden,1932 Lake Placid,5
Sweden,1935 Garmisch-Partenkirchen,3
Sweden,1940 Cancelled (Sapporo),7
Sweden,1944 Cancelled (Cortina d'Ampezzo),0
Sweden,1948 St. Moritz,0
Sweden,1952 Oslo,10
Sweden,1056 Cortina d'Ampezzo,4
Sweden,1960 Squaw Valley,10
Sweden,1964 Innsbruck,7
Sweden,1968 Grenoble,7
Sweden,1972 Sapporo,8
Sweden,1976 Innsbruck,4
Sweden,1980 Lake Placid,2
Sweden,1984 Sarajevo,4
Sweden,1988 Calgary,8
Sweden,1992 Albertville,6
Sweden,1994 Lillehammer,4
Sweden,1998 Nagano,3
Sweden,2002 Salt Lake City,3
Sweden,2006 Turin,7
Sweden,2010 Vancouver,14
Sweden,2014 Sochi,11
Norway,1924 Chamonix,0
Norway,1928 St. Moritz,17
Norway,1932 Lake Placid,15
Norway,1935 Garmisch-Partenkirchen,10
Norway,1940 Cancelled (Sapporo),15
Norway,1944 Cancelled (Cortina d'Ampezzo),0
Norway,1948 St. Moritz,0
Norway,1952 Oslo,10
Norway,1056 Cortina d'Ampezzo,16
Norway,1960 Squaw Valley,4
Norway,1964 Innsbruck,6
Norway,1968 Grenoble,15
Norway,1972 Sapporo,14
Norway,1976 Innsbruck,12
Norway,1980 Lake Placid,7
Norway,1984 Sarajevo,10
Norway,1988 Calgary,9
Norway,1992 Albertville,5
Norway,1994 Lillehammer,20
Norway,1998 Nagano,26
Norway,2002 Salt Lake City,25
Norway,2006 Turin,25
Norway,2010 Vancouver,19
Norway,2014 Sochi,23
U.S.,1924 Chamonix,0
U.S.,1928 St. Moritz,4
U.S.,1932 Lake Placid,6
U.S.,1935 Garmisch-Partenkirchen,12
U.S.,1940 Cancelled (Sapporo),4
U.S.,1944 Cancelled (Cortina d'Ampezzo),0
U.S.,1948 St. Moritz,0
U.S.,1952 Oslo,9
U.S.,1056 Cortina d'Ampezzo,11
U.S.,1960 Squaw Valley,7
U.S.,1964 Innsbruck,10
U.S.,1968 Grenoble,7
U.S.,1972 Sapporo,7
U.S.,1976 Innsbruck,8
U.S.,1980 Lake Placid,10
