x,count,group
1,38,groupA
2,16,groupA
3,164,groupA
4,32,groupA
5,12,groupA
6,12,groupA
7,12,groupA
8,12,groupA
9,190,groupA
10,10,groupA
1,19,groupB
2,14,groupB
3,96,groupB
4,65,groupB
5,80,groupB
6,180,groupB
7,70,groupB
8,30,groupB
9,18,groupB
10,18,groupB
1,9,groupC
2,96,groupC
3,64,groupC
4,64,groupC
5,14,groupC
6,14,groupC
7,14,groupC
8,24,groupC
9,34,groupC
10,4,groupC
1,4,groupD
2,40,groupD
3,40,groupD
4,40,groupD
5,10,groupD
6,10,groupD
7,10,groupD
8,10,groupD
9,10,groupD
10,10,groupD
