 id, date, value
 Helen, 1880-01-01,636
 Helen, 1880-07-02,612
 Helen, 1881-01-01,612
 Helen, 1881-07-02,838
 Helen, 1881-12-31,838
 Helen, 1882-07-02,862
 Helen, 1883-01-01,862
 Helen, 1883-07-02,862
 Helen, 1884-01-01,986
 Helen, 1884-07-02,1134
 Helen, 1884-12-31,1134
 Helen, 1885-07-02,1267
 Helen, 1886-01-01,1267
 Helen, 1886-07-02,1267
 Helen, 1887-01-01,1405
 Helen, 1887-07-02,1405
 Helen, 1887-12-31,1847
 Helen, 1888-07-02,1909
 Helen, 1889-01-01,1909
 Helen, 1889-07-02,2312
 Helen, 1889-12-31,2312
 Helen, 1890-07-02,2417
 Helen, 1890-12-31,2417
 Helen, 1891-07-02,2417
 Helen, 1892-01-01,2936
 Helen, 1892-07-01,2936
 Helen, 1892-12-31,3249
 Helen, 1893-07-02,3676
 Helen, 1893-12-31,3676
 Helen, 1894-07-02,3676
 Helen, 1895-01-01,4023
 Helen, 1895-07-02,4023
 Helen, 1895-12-31,4392
 Helen, 1896-07-01,4392
 Helen, 1897-01-01,4519
 Helen, 1897-07-02,5230
 Helen, 1898-01-01,5230
 Helen, 1898-07-02,5230
 Helen, 1898-12-31,5048
 Helen, 1899-07-02,6343
 Helen, 1900-01-01,6343
 Helen, 1900-07-02,5247
 Helen, 1900-12-31,5247
 Helen, 1901-07-02,5247
 Helen, 1902-01-01,5967
 Helen, 1902-07-02,6129
 Helen, 1903-01-01,6129
 Helen, 1903-07-02,6129
 Helen, 1903-12-31,6488
 Helen, 1904-07-01,6488
 Helen, 1905-01-01,6811
 Helen, 1905-07-02,7176
 Helen, 1905-12-31,7176
 Helen, 1906-07-02,7579
 Helen, 1906-12-31,7579
 Helen, 1907-07-02,7579
 Helen, 1908-01-01,8439
 Helen, 1908-07-01,8439
 Helen, 1908-12-31,9250
 Helen, 1909-07-02,10479
 Helen, 1909-12-31,10479
 Helen, 1910-07-02,10479
 Helen, 1911-01-01,11802
 Helen, 1911-07-02,11802
 Helen, 1911-12-31,16133
 Helen, 1912-07-01,16133
 Helen, 1912-12-31,18889
 Helen, 1913-07-02,23221
 Helen, 1914-01-01,23221
 Helen, 1914-07-02,30866
 Helen, 1914-12-31,30866
 Helen, 1915-07-02,30866
 Helen, 1916-01-01,32661
 Helen, 1916-07-01,32661
 Helen, 1917-01-01,34249
 Helen, 1917-07-02,36150
 Helen, 1917-12-31,36150
 Helen, 1918-07-02,36150
 Helen, 1919-01-01,33705
 Helen, 1919-07-02,33705
 Helen, 1919-12-31,35098
 Helen, 1920-07-02,34819
 Helen, 1920-12-31,34819
 Helen, 1921-07-02,32507
 Helen, 1922-01-01,32507
 Helen, 1922-07-02,32507
 Helen, 1922-12-31,31492
 Helen, 1923-07-02,31492
 Helen, 1924-01-01,31193
 Helen, 1924-04-01,31193
 Helen, 1924-10-01,29168
 Helen, 1925-01-01,29168
 Helen, 1925-04-02,29168
 Helen, 1925-10-01,26884
 Helen, 1925-12-31,26884
 Helen, 1926-07-02,25316
 Helen, 1927-01-01,25316
 Helen, 1927-04-02,25316
 Helen, 1927-10-01,22936
 Helen, 1927-12-31,22936
 Helen, 1928-04-01,22936
 Helen, 1928-10-01,20983
 Helen, 1928-12-31,20983
 Helen, 1929-04-02,20983
 Helen, 1929-08-17,19914
 Helen, 1929-11-16,19914
 Helen, 1930-01-01,19914
 Helen, 1930-02-15,19914
 Helen, 1930-05-17,19914
 Helen, 1930-10-01,17657
 Helen, 1930-12-31,17657
 Helen, 1931-02-15,17657
 Helen, 1931-05-17,17657
 Helen, 1931-08-17,16375
 Helen, 1931-11-16,16375
 Helen, 1932-01-01,16375
 Helen, 1932-04-01,16375
 Helen, 1932-10-01,14645
 Helen, 1933-01-01,14645
 Helen, 1933-02-15,14645
 Helen, 1933-05-17,14645
 Helen, 1933-10-01,14099
 Helen, 1933-12-31,14099
 Helen, 1934-02-15,14099
 Helen, 1934-05-17,14099
 Helen, 1934-10-01,12778
 Helen, 1935-01-01,12778
 Helen, 1935-04-02,12778
 Helen, 1935-08-17,12232
 Helen, 1935-11-16,12232
 Helen, 1936-01-01,12232
 Helen, 1936-04-01,12232
 Helen, 1936-10-01,11452
 Helen, 1936-12-31,11452
 Helen, 1937-07-02,10833
 Helen, 1938-01-01,10833
 Helen, 1938-04-02,10833
 Helen, 1938-10-01,10417
 Helen, 1939-01-01,10417
 Helen, 1939-07-02,10417
 Helen, 1939-12-31,10201
 Helen, 1940-07-02,9889
 Helen, 1941-01-01,9889
 Helen, 1941-07-02,10013
 Helen, 1941-12-31,10013
 Helen, 1942-04-02,10013
 Helen, 1942-08-17,9799
 Helen, 1942-11-16,9799
 Helen, 1942-12-31,9799
 Helen, 1943-02-15,9799
 Helen, 1943-05-17,9799
 Helen, 1943-10-01,8693
 Helen, 1944-01-01,8693
 Helen, 1944-02-15,8693
 Helen, 1944-05-17,8693
 Helen, 1944-08-16,8300
 Helen, 1944-11-16,8300
 Helen, 1944-12-31,8300
 Helen, 1945-04-02,8300
 Helen, 1945-10-01,8852
 Helen, 1945-12-31,8852
 Helen, 1946-07-02,8852
 Helen, 1947-01-01,8978
 Helen, 1947-02-15,8978
 Helen, 1947-05-17,8978
 Helen, 1947-10-01,8305
 Helen, 1947-12-31,8305
 Helen, 1948-02-15,8305
 Helen, 1948-05-17,8305
 Helen, 1948-10-01,7709
 Helen, 1949-01-01,7709
 Helen, 1949-02-15,7709
 Helen, 1949-05-17,7709
 Helen, 1949-08-17,7060
 Helen, 1949-11-16,7060
 Helen, 1950-01-01,7060
 Helen, 1950-04-02,7060
 Helen, 1950-10-01,6945
 Helen, 1950-12-31,6945
 Helen, 1951-02-15,6945
 Helen, 1951-05-17,6945
 Helen, 1951-10-01,6470
 Helen, 1952-01-01,6470
 Helen, 1952-07-01,6470
 Helen, 1953-01-01,6120
 Helen, 1953-07-02,5940
 Helen, 1953-12-31,5940
 Helen, 1954-07-02,5940
 Helen, 1955-01-01,5596
 Helen, 1955-07-02,5596
 Helen, 1955-12-31,5279
 Helen, 1956-07-01,5279
 Helen, 1956-12-31,5015
 Helen, 1957-07-02,4763
 Helen, 1958-01-01,4763
 Helen, 1958-07-02,4378
 Helen, 1958-12-31,4378
 Helen, 1959-07-02,4378
 Helen, 1960-01-01,4069
 Helen, 1960-07-01,4069
 Helen, 1961-01-01,3855
 Helen, 1961-07-02,3587
 Helen, 1961-12-31,3587
 Helen, 1962-07-02,3340
 Helen, 1963-01-01,3340
 Helen, 1963-07-02,3340
 Helen, 1963-12-31,3095
 Helen, 1964-07-02,2804
 Helen, 1964-12-31,2804
 Helen, 1965-07-02,2449
 Helen, 1966-01-01,2449
 Helen, 1966-07-02,2449
 Helen, 1966-12-31,2153
 Helen, 1967-07-02,2153
 Helen, 1968-01-01,1881
 Helen, 1968-04-01,1881
 Helen, 1968-10-01,1857
 Helen, 1969-01-01,1857
 Helen, 1969-07-02,1715
 Helen, 1969-12-31,1715
 Helen, 1970-04-02,1715
 Helen, 1970-10-01,1441
 Helen, 1971-01-01,1441
 Helen, 1971-07-02,1441
 Helen, 1972-01-01,1245
 Helen, 1972-04-01,1245
 Helen, 1972-08-16,1133
 Helen, 1972-11-16,1133
 Helen, 1972-12-31,1133
 Helen, 1973-07-02,1140
 Helen, 1974-01-01,1140
 Helen, 1974-07-02,1140
 Helen, 1974-12-31,1057
 Helen, 1975-07-02,1057
 Helen, 1975-12-31,942
 Helen, 1976-07-02,992
 Helen, 1977-01-01,992
 Helen, 1977-04-02,992
 Helen, 1977-10-01,922
 Helen, 1977-12-31,922
 Helen, 1978-07-02,879
 Helen, 1978-12-31,879
 Helen, 1979-07-02,879
 Helen, 1980-01-01,909
 Helen, 1980-07-01,909
 Helen, 1980-12-31,896
 Helen, 1981-04-02,896
 Helen, 1981-10-01,875
 Helen, 1982-01-01,875
 Helen, 1982-07-02,875
 Helen, 1983-01-01,844
 Helen, 1983-02-15,844
 Helen, 1983-05-17,844
 Helen, 1983-10-01,859
 Helen, 1983-12-31,859
 Helen, 1984-07-01,859
 Helen, 1985-01-01,809
 Helen, 1985-04-02,809
 Helen, 1985-10-01,766
 Helen, 1986-01-01,766
 Helen, 1986-04-02,766
 Helen, 1986-08-17,815
 Helen, 1986-11-16,815
 Helen, 1986-12-31,815
 Helen, 1987-02-15,815
 Helen, 1987-05-17,815
 Helen, 1987-10-01,775
 Helen, 1988-01-01,775
 Helen, 1988-04-01,775
 Helen, 1988-10-01,857
 Helen, 1989-01-01,857
 Helen, 1989-07-02,861
 Helen, 1989-12-31,861
 Helen, 1990-07-02,861
 Helen, 1991-01-01,773
 Helen, 1991-07-02,773
 Helen, 1991-12-31,827
 Helen, 1992-07-01,827
 Helen, 1992-12-31,868
 Helen, 1993-07-02,848
 Helen, 1994-01-01,848
 Helen, 1994-07-02,837
 Helen, 1994-12-31,837
 Helen, 1995-07-02,837
 Helen, 1996-01-01,900
 Helen, 1996-07-01,900
 Helen, 1997-01-01,812
 Helen, 1997-07-02,832
 Helen, 1997-12-31,832
 Helen, 1998-07-02,841
 Helen, 1999-01-01,841
 Helen, 1999-04-02,841
 Helen, 1999-10-01,890
 Helen, 1999-12-31,890
 Helen, 2000-07-02,884
 Helen, 2000-12-31,884
 Helen, 2001-07-02,875
 Helen, 2002-01-01,875
 Helen, 2002-07-02,875
 Helen, 2002-12-31,783
 Helen, 2003-07-02,783
 Helen, 2004-01-01,860
 Helen, 2004-07-02,960
 Helen, 2005-01-01,960
 Helen, 2005-07-02,948
 Helen, 2005-12-31,948
 Helen, 2006-07-02,931
 Helen, 2007-01-01,931
 Helen, 2007-07-02,931
 Helen, 2007-12-31,884
 Helen, 2008-07-01,884
 Helen, 2008-12-31,826
 Helen, 2009-07-02,703
 Helen, 2010-01-01,703
 Helen, 2010-07-02,703
 Helen, 2010-12-31,729
 Helen, 2011-07-02,729
 Helen, 2011-12-31,772
 Helen, 2012-07-02,738
 Helen, 2013-01-01,738
 Helen, 2013-07-02,801
 Helen, 2013-12-31,801
 Helen, 2014-07-02,801
 Helen, 2015-01-01,757
 Helen, 2015-01-01,757
 Helen, 2014-07-02,801
 Helen, 2013-12-31,801
 Helen, 2013-07-02,801
 Helen, 2013-01-01,738
 Helen, 2012-07-02,738
 Helen, 2011-12-31,772
 Helen, 2011-07-02,729
 Helen, 2010-12-31,729
 Helen, 2010-07-02,703
 Helen, 2010-01-01,703
 Helen, 2009-07-02,703
 Helen, 2008-12-31,826
 Helen, 2008-07-01,884
 Helen, 2007-12-31,884
 Helen, 2007-07-02,931
 Helen, 2007-01-01,931
 Helen, 2006-07-02,931
 Helen, 2005-12-31,948
 Helen, 2005-07-02,948
 Helen, 2005-01-01,960
 Helen, 2004-07-02,960
 Helen, 2004-01-01,860
 Helen, 2003-07-02,783
 Helen, 2002-12-31,783
 Helen, 2002-07-02,875
 Helen, 2002-01-01,875
 Helen, 2001-07-02,875
 Helen, 2000-12-31,884
 Helen, 2000-07-02,884
 Helen, 1999-12-31,890
 Helen, 1999-10-01,890
 Helen, 1999-04-02,841
 Helen, 1999-01-01,841
 Helen, 1998-07-02,841
 Helen, 1997-12-31,832
 Helen, 1997-07-02,832
 Helen, 1997-01-01,812
 Helen, 1996-07-01,900
 Helen, 1996-01-01,900
 Helen, 1995-07-02,837
 Helen, 1994-12-31,837
 Helen, 1994-07-02,837
 Helen, 1994-01-01,848
 Helen, 1993-07-02,848
 Helen, 1992-12-31,868
 Helen, 1992-07-01,827
 Helen, 1991-12-31,827
 Helen, 1991-07-02,773
 Helen, 1991-01-01,773
 Helen, 1990-07-02,861
 Helen, 1989-12-31,861
 Helen, 1989-07-02,861
 Helen, 1989-01-01,857
 Helen, 1988-10-01,857
 Helen, 1988-04-01,775
 Helen, 1988-01-01,775
