year,name,n
1898,Catherine,1705
1901,Ruth,3974
1910,Mattie,1687
1914,Stanley,3559
1922,Gene,1089
1923,Billie,1247
1926,Louise,7983
1928,Imogene,1315
1929,Dorothy,31478
1930,Ada,1040
1932,Constance,2492
1950,Katherine,6204
1953,Lonnie,1923
1954,Darryl,1330
1955,Jon,3054
1959,Don,3620
1960,Jackie,1367
1961,Tom,4720
1963,Allison,1434
1964,Calvin,2253
1965,Brian,24555
1968,Andrea,7089
1969,Annette,3105
1970,Steven,26821
1973,Billy,3444
1974,Shawn,1271
1976,Rebecca,14491
1976,Christian,2267
1979,Ruth,1201
1980,Rhonda,1534
1980,Adam,18873
1984,Beth,1632
1985,Isaac,1670
1989,Meredith,1700
1990,Drew,1953
1991,Preston,1426
1993,Valerie,2176
1994,Chelsey,1654
1995,Kassandra,1607
1996,Kaitlin,3135
1996,Allen,1467
1998,Peter,3386
2000,Haylee,1261
2002,Adrianna,1445
2002,Francisco,2741
2003,Malik,1505
2005,Raul,1332
2007,Griffin,1485
2010,Andrea,3567
2010,Kyler,1284
2011,Addison,9297
2012,Lilly,2785
2013,Jayce,2661
2014,Clara,2849
