region,country,type,deaths
Eastern Mediterranean,Afghanistan,Communicable & other Group I,102.5
Eastern Mediterranean,Afghanistan,Injuries,47
Eastern Mediterranean,Afghanistan,Noncommunicable diseases,110.4
Eastern Mediterranean,Bahrain,Communicable & other Group I,0.2
Eastern Mediterranean,Bahrain,Injuries,0.3
Eastern Mediterranean,Bahrain,Noncommunicable diseases,2.7
Eastern Mediterranean,Djibouti,Communicable & other Group I,3.4
Eastern Mediterranean,Djibouti,Injuries,0.7
Eastern Mediterranean,Djibouti,Noncommunicable diseases,3.1
Eastern Mediterranean,Egypt,Communicable & other Group I,63.5
Eastern Mediterranean,Egypt,Injuries,31.6
Eastern Mediterranean,Egypt,Noncommunicable diseases,476.3
Eastern Mediterranean,Iran (Islamic Republic of),Communicable & other Group I,30.6
Eastern Mediterranean,Iran (Islamic Republic of),Injuries,39.8
Eastern Mediterranean,Iran (Islamic Republic of),Noncommunicable diseases,291.5
Eastern Mediterranean,Iraq,Communicable & other Group I,33
Eastern Mediterranean,Iraq,Injuries,56.9
Eastern Mediterranean,Iraq,Noncommunicable diseases,104.6
Eastern Mediterranean,Jordan,Communicable & other Group I,3.4
Eastern Mediterranean,Jordan,Injuries,3.1
Eastern Mediterranean,Jordan,Noncommunicable diseases,22.6
Eastern Mediterranean,Kuwait,Communicable & other Group I,0.9
Eastern Mediterranean,Kuwait,Injuries,1.3
Eastern Mediterranean,Kuwait,Noncommunicable diseases,7.4
Eastern Mediterranean,Lebanon,Communicable & other Group I,1.3
Eastern Mediterranean,Lebanon,Injuries,2.8
Eastern Mediterranean,Lebanon,Noncommunicable diseases,32.4
Eastern Mediterranean,Libyan Arab Jamahiriya,Communicable & other Group I,3
Eastern Mediterranean,Libyan Arab Jamahiriya,Injuries,4.7
Eastern Mediterranean,Libyan Arab Jamahiriya,Noncommunicable diseases,24.4
Eastern Mediterranean,Morocco,Communicable & other Group I,29.9
Eastern Mediterranean,Morocco,Injuries,13.3
Eastern Mediterranean,Morocco,Noncommunicable diseases,151.3
Eastern Mediterranean,Oman,Communicable & other Group I,1.5
Eastern Mediterranean,Oman,Injuries,2.1
Eastern Mediterranean,Oman,Noncommunicable diseases,8.4
Eastern Mediterranean,Pakistan,Communicable & other Group I,477.3
Eastern Mediterranean,Pakistan,Injuries,118.5
Eastern Mediterranean,Pakistan,Noncommunicable diseases,775
Eastern Mediterranean,Qatar,Communicable & other Group I,0.2
Eastern Mediterranean,Qatar,Injuries,0.9
Eastern Mediterranean,Qatar,Noncommunicable diseases,2.2
Eastern Mediterranean,Saudi Arabia,Communicable & other Group I,12.8
Eastern Mediterranean,Saudi Arabia,Injuries,17.1
Eastern Mediterranean,Saudi Arabia,Noncommunicable diseases,76.4
Eastern Mediterranean,Somalia,Communicable & other Group I,93.4
Eastern Mediterranean,Somalia,Injuries,13.4
Eastern Mediterranean,Somalia,Noncommunicable diseases,29.8
Eastern Mediterranean,South Sudan,Communicable & other Group I,79.9
Eastern Mediterranean,South Sudan,Injuries,14.7
Eastern Mediterranean,South Sudan,Noncommunicable diseases,35.9
Eastern Mediterranean,Sudan,Communicable & other Group I,109
Eastern Mediterranean,Sudan,Injuries,40.3
Eastern Mediterranean,Sudan,Noncommunicable diseases,151
Eastern Mediterranean,Syrian Arab Republic,Communicable & other Group I,7.8
Eastern Mediterranean,Syrian Arab Republic,Injuries,68.1
Eastern Mediterranean,Syrian Arab Republic,Noncommunicable diseases,68.9
Eastern Mediterranean,Tunisia,Communicable & other Group I,6.1
Eastern Mediterranean,Tunisia,Injuries,5.1
Eastern Mediterranean,Tunisia,Noncommunicable diseases,62.1
Eastern Mediterranean,United Arab Emirates,Communicable & other Group I,1
Eastern Mediterranean,United Arab Emirates,Injuries,2.5
Eastern Mediterranean,United Arab Emirates,Noncommunicable diseases,11.6
Eastern Mediterranean,Yemen,Communicable & other Group I,39.9
Eastern Mediterranean,Yemen,Injuries,23.2
Eastern Mediterranean,Yemen,Noncommunicable diseases,97.6
Europe,Albania,Communicable & other Group I,0.8
Europe,Albania,Injuries,0.9
Europe,Albania,Noncommunicable diseases,20.2
Europe,Armenia,Communicable & other Group I,0.9
Europe,Armenia,Injuries,1.1
Europe,Armenia,Noncommunicable diseases,27.4
Europe,Austria,Communicable & other Group I,1.5
Europe,Austria,Injuries,4.5
Europe,Austria,Noncommunicable diseases,72.9
Europe,Azerbaijan,Communicable & other Group I,6.5
Europe,Azerbaijan,Injuries,3.1
Europe,Azerbaijan,Noncommunicable diseases,57.9
Europe,Belarus,Communicable & other Group I,3.1
Europe,Belarus,Injuries,10.9
Europe,Belarus,Noncommunicable diseases,114.9
Europe,Belgium,Communicable & other Group I,8.3
Europe,Belgium,Injuries,7.1
Europe,Belgium,Noncommunicable diseases,94.3
Europe,Bosnia and Herzegovina,Communicable & other Group I,0.8
Europe,Bosnia and Herzegovina,Injuries,1.7
Europe,Bosnia and Herzegovina,Noncommunicable diseases,37
Europe,Bulgaria,Communicable & other Group I,2.5
Europe,Bulgaria,Injuries,3.2
Europe,Bulgaria,Noncommunicable diseases,101.6
Europe,Croatia,Communicable & other Group I,1.1
Europe,Croatia,Injuries,2.8
Europe,Croatia,Noncommunicable diseases,50.2
Europe,Cyprus,Communicable & other Group I,0.3
Europe,Cyprus,Injuries,0.4
Europe,Cyprus,Noncommunicable diseases,7.4
Europe,Czechia,Communicable & other Group I,5.6
Europe,Czechia,Injuries,5.4
Europe,Czechia,Noncommunicable diseases,99.9
Europe,Denmark,Communicable & other Group I,3.2
Europe,Denmark,Injuries,2
Europe,Denmark,Noncommunicable diseases,45
Europe,Estonia,Communicable & other Group I,0.4
Europe,Estonia,Injuries,0.7
Europe,Estonia,Noncommunicable diseases,13.9
Europe,Finland,Communicable & other Group I,0.7
Europe,Finland,Injuries,3
Europe,Finland,Noncommunicable diseases,48.8
Europe,France,Communicable & other Group I,36
Europe,France,Injuries,35.7
Europe,France,Noncommunicable diseases,487.1
Europe,Georgia,Communicable & other Group I,1.4
Europe,Georgia,Injuries,1.8
Europe,Georgia,Noncommunicable diseases,46.2
Europe,Germany,Communicable & other Group I,39.9
Europe,Germany,Injuries,34.8
Europe,Germany,Noncommunicable diseases,800.8
Europe,Greece,Communicable & other Group I,4
Europe,Greece,Injuries,3.3
Europe,Greece,Noncommunicable diseases,113.4
Europe,Hungary,Communicable & other Group I,2.3
Europe,Hungary,Injuries,5.6
Europe,Hungary,Noncommunicable diseases,116.1
Europe,Iceland,Communicable & other Group I,0.1
Europe,Iceland,Injuries,0.1
Europe,Iceland,Noncommunicable diseases,1.8
Europe,Ireland,Communicable & other Group I,1.5
Europe,Ireland,Injuries,1.4
Europe,Ireland,Noncommunicable diseases,27.1
Europe,Israel,Communicable & other Group I,4.1
Europe,Israel,Injuries,1.8
Europe,Israel,Noncommunicable diseases,36.7
Europe,Italy,Communicable & other Group I,28.3
Europe,Italy,Injuries,23.8
Europe,Italy,Noncommunicable diseases,573.3
Europe,Kazakhstan,Communicable & other Group I,11
Europe,Kazakhstan,Injuries,16.4
Europe,Kazakhstan,Noncommunicable diseases,123.8
Europe,Kyrgyzstan,Communicable & other Group I,3.8
Europe,Kyrgyzstan,Injuries,3.1
Europe,Kyrgyzstan,Noncommunicable diseases,30.5
Europe,Latvia,Communicable & other Group I,0.8
Europe,Latvia,Injuries,1.5
Europe,Latvia,Noncommunicable diseases,26.6
Europe,Lithuania,Communicable & other Group I,1.4
Europe,Lithuania,Injuries,2.6
Europe,Lithuania,Noncommunicable diseases,38
Europe,Luxembourg,Communicable & other Group I,0.2
Europe,Luxembourg,Injuries,0.3
Europe,Luxembourg,Noncommunicable diseases,3.3
Europe,Malta,Communicable & other Group I,0.2
Europe,Malta,Injuries,0.1
Europe,Malta,Noncommunicable diseases,3
Europe,Montenegro,Communicable & other Group I,0.1
Europe,Montenegro,Injuries,0.2
Europe,Montenegro,Noncommunicable diseases,6.1
Europe,Netherlands,Communicable & other Group I,8.5
Europe,Netherlands,Injuries,7.2
Europe,Netherlands,Noncommunicable diseases,130.8
Europe,Norway,Communicable & other Group I,2.8
Europe,Norway,Injuries,2.3
Europe,Norway,Noncommunicable diseases,35.3
Europe,Poland,Communicable & other Group I,15.1
Europe,Poland,Injuries,22.6
Europe,Poland,Noncommunicable diseases,350.5
Europe,Portugal,Communicable & other Group I,10.4
Europe,Portugal,Injuries,4.4
Europe,Portugal,Noncommunicable diseases,90.3
Europe,Republic of Moldova,Communicable & other Group I,1.9
Europe,Republic of Moldova,Injuries,2.3
Europe,Republic of Moldova,Noncommunicable diseases,39.9
Europe,Romania,Communicable & other Group I,10.8
Europe,Romania,Injuries,8.7
Europe,Romania,Noncommunicable diseases,241.2
Europe,Russian Federation,Communicable & other Group I,120.9
Europe,Russian Federation,Injuries,159.3
Europe,Russian Federation,Noncommunicable diseases,1719
Europe,Serbia,Communicable & other Group I,2.5
Europe,Serbia,Injuries,3.4
Europe,Serbia,Noncommunicable diseases,99.9
Europe,Slovakia,Communicable & other Group I,2.4
Europe,Slovakia,Injuries,3
Europe,Slovakia,Noncommunicable diseases,45.3
Europe,Slovenia,Communicable & other Group I,1
Europe,Slovenia,Injuries,1.4
Europe,Slovenia,Noncommunicable diseases,17.5
Europe,Spain,Communicable & other Group I,18.4
Europe,Spain,Injuries,14.1
Europe,Spain,Noncommunicable diseases,363.9
Europe,Sweden,Communicable & other Group I,5.3
Europe,Sweden,Injuries,4.6
Europe,Sweden,Noncommunicable diseases,80.9
Europe,Switzerland,Communicable & other Group I,2.7
Europe,Switzerland,Injuries,4
Europe,Switzerland,Noncommunicable diseases,58.5
Europe,Tajikistan,Communicable & other Group I,12.2
Europe,Tajikistan,Injuries,4.4
Europe,Tajikistan,Noncommunicable diseases,29.8
Europe,The former Yugoslav Republic of Macedonia,Communicable & other Group I,0.3
Europe,The former Yugoslav Republic of Macedonia,Injuries,0.6
Europe,The former Yugoslav Republic of Macedonia,Noncommunicable diseases,19.2
Europe,Turkey,Communicable & other Group I,24.7
Europe,Turkey,Injuries,29.7
Europe,Turkey,Noncommunicable diseases,392.8
Europe,Turkmenistan,Communicable & other Group I,5.5
Europe,Turkmenistan,Injuries,3.1
Europe,Turkmenistan,Noncommunicable diseases,32
