genre,vote_average,,,,
  Action,7.2,,,,
  Adventure,6.9,,,,
  Action,6.3,,,,
  Action,7.6,,,,
  Action,6.1,,,,
  Fantasy,5.9,,,,
  Animation,7.4,,,,
  Action,7.3,,,,
  Adventure,7.4,,,,
  Action,5.7,,,,
  Adventure,5.4,,,,
  Adventure,6.1,,,,
  Adventure,7,,,,
  Action,5.9,,,,
  Action,6.5,,,,
  Adventure,6.3,,,,
  Science Fiction,7.4,,,,
  Adventure,6.4,,,,
  Action,6.2,,,,
  Action,7.1,,,,
  Action,6.5,,,,
  Action,6.2,,,,
  Adventure,7.6,,,,
  Adventure,5.8,,,,
  Adventure,6.6,,,,
  Drama,7.5,,,,
  Adventure,7.1,,,,
  Thriller,5.5,,,,
  Action,6.5,,,,
  Action,6.9,,,,
  Action,6.7,,,,
  Action,6.8,,,,
  Family,6.4,,,,
  Adventure,6.3,,,,
  Animation,7,,,,
  Science Fiction,6,,,,
  Science Fiction,5.8,,,,
  Fantasy,5.7,,,,
  Action,6.5,,,,
  Adventure,6.3,,,,
  Animation,5.8,,,,
  Adventure,5.1,,,,
  Animation,7.6,,,,
  Action,5.9,,,,
  Action],7.3,,,,
  Action,6.7,,,,
  Action,7.5,,,,
  Action,7.4,,,,
  Action,5.5,,,,
  Drama,7.3,,,,
  Adventure,6.2,,,,
  Action,6.7,,,,
  Action,6.1,,,,
  Adventure,5.7,,,,
  Adventure,6.6,,,,
  Animation,6.7, {id 14,  Fantasy],,
  Action,6.6,,,,
  Animation,7.8,,,,
  Action,6.1,,,,
  Action,5.6,,,,
  Animation,6.6,,,,
  Science Fiction,5.2,,,,
  Action,5.5,,,,
  Adventure,6.7,,,,
  Science Fiction],6.4,,,,
  Drama,8.2,,,,
  Animation,7.7,,,,
  Animation,6,,,,
  Action,7.4,,,,
  Adventure,7,,,,
  Action,5.1,,,,
  Adventure,5.2,,,,
  Action,5.9,,,,
  Fantasy,5.3,,,,
  Action,7.6,,,,
  Adventure,5.9,,,,
  Adventure,5.6,,,,
  Drama,8,,,,
  Family,6.7,,,,
  Adventure,6.6,,,,
  Adventure,5.8,,,,
  Fantasy,7,,,,
  Science Fiction,7.3,,,,
  Action,4.8,,,,
  Drama,5.9,,,,
  Action,7.6,,,,
  Comedy,6,,,,
  Adventure,6.2,,,,
  Adventure,7.8,,,,
  Family,7.1,,,,
  Adventure,6.4,,,,
  Action,4.9,,,,
  Fantasy,7.5,,,,
  Action,5.9,,,,
  Action,7.9,,,,
  Adventure,8.1,,,,
  Action,8.1,,,,
  Action,6.5,,,,
  Adventure,7,,,,
  Action,6.6,,,,
  Fantasy,7.3,,,,
  Action,7.1,,,,
  Action,6.6,,,,
  Fantasy,5.8,,,,
  Adventure,5.5,,,,
  Fantasy],6.5,,,,
  Fantasy,6,,,,
  Action,6.3,,,,
  Science Fiction,5.8,,,,
  Adventure,6.2,,,,
  History,6.6,,,,
  Adventure,6.6,,,,
  War,5.6, {id 10749,  Romance],,
  Adventure,7.4,,,,
  Adventure,7.5,,,,
  Fantasy,6.2,,,,
  Drama,6.9,,,,
  Adventure,6.7,,,,
  Animation,7.5,,,,
  Action,7.5,,,,
  Family,6.2,,,,
  Adventure,5.9,,,,
  Adventure,6.2,,,,
  Adventure,6.4,,,,
  Animation,7.3,,,,
  Adventure,6.7,,,,
  Action,6.8,,,,
  Action,7.2,,,,
  Thriller,6.5,,,,
  Adventure,6.6,,,,
  Animation,6.3,,,,
  Fantasy,5.1,,,,
  Adventure],5.5,,,,
  Comedy,5.7,,,,
  Action,7.1,,,,
  Drama,5.5,,,,
  Family,5.7,,,,
  Animation,6.7,,,,
  Action,4.7,,,,
  Adventure,6.5,,,,
  Action,6.4,,,,
  Adventure,5.5,,,,
  Adventure,6,,,,
  Adventure,5.9,,,,
  Animation,6.7,,,,
  Adventure,6.9,,,,
  Animation,6.4,,,,
  Adventure,5.8,,,,
  Action,5.3,,,,
  Action,6.4,,,,
  Action,6,,,,
  Adventure,5.5,,,,
  Action,6.7,,,,
  Action,6.8,,,,
  Fantasy,7.1,,,,
  Comedy],5.9,,,,
  Drama,7.3,,,,
  Adventure,5.6,,,,
  Science Fiction,7.4,,,,
  Fantasy,6.8,,,,
  Fantasy,7.6, {id 10751,  Family],,
  Fantasy],5.3,,,,
  Action],4.9,,,,
  Action,7,,,,
  Action,6.3,,,,
  Drama,5.3,,,,
  Adventure,5.4,,,,
  Action,5.7,,,,
  Adventure,5.9, {id 53,  Thriller],,
  Action,6.6,,,,
  Adventure,6,,,,
  Adventure],6.9,,,,
  Adventure,6.1,,,,
  Animation,5.8,,,,
  Science Fiction,6.1,,,,
  Adventure,6,,,,
  Western,7.3,,,,
  Animation,6.1,,,,
  Animation,6.6,,,,
  Family,6.5,,,,
  Action,7.3,,,,
  Adventure,6.9,,,,
  Science Fiction,7,,,,
  Adventure,7.4,,,,
  Fantasy,6.8,,,,
  Adventure,6.2,,,,
  Adventure,6.3,,,,
  Action,6.4,,,,
  Action,6.2,,,,
  Drama,5.6,,,,
  Adventure,6.7,,,,
  Adventure,7.7,,,,
  Drama],6.3,,,,
  Science Fiction,5,,,,
  Animation,6.2,,,,
  Adventure,6.1,,,,
  Animation,6.7,,,,
  Adventure,7.5,,,,
  Fantasy,5.4,,,,
  Adventure,7.5,,,,
  Science Fiction,6.6,,,,
  Thriller,6.5,,,,
  Animation,6.3,,,,
  Adventure,6.8,,,,
  Action,7.1,,,,
  Adventure,7,,,,
  Adventure,5.6,,,,
  Action,7.1,,,,
  Adventure,6.4,,,,
  Action,6,,,,
  Action,4.2,,,,
  Family,6.2,,,,
  Action,6.2,,,,
  Adventure,5.9,,,,
  Drama],6.2,,,,
  Adventure,5.4,,,,
  Adventure,7.2,,,,
  Thriller,5.2,,,,
  Action,5.9,,,,
  Action,5.2,,,,
  Science Fiction,6.3,,,,
  Family,5.4,,,,
  Science Fiction,6.4,,,,
  Action,6.3,,,,
  Action,5.7,,,,
  Action,5.7,,,,
  Comedy,4.9,,,,
  Action,5.9,,,,
  Action,6.4,,,,
  Science Fiction,7.1,,,,
  Adventure,6.4,,,,
  Animation,7.5,,,,
  Action,6.3,,,,
  Adventure,6.3,,,,
  Adventure,6.8,,,,
  Fantasy,5,,,,
  Drama,5.8,,,,
  Action,6,,,,
  Science Fiction,5.8,,,,
  Science Fiction,7.3,,,,
  Action,5.7,,,,
  Fantasy,5.8,,,,
  Action,4.4,,,,
  Action,6.3,,,,
  Action,6,,,,
  Adventure,6,,,,
  Drama,6.8,,,,
  Thriller,6.4,,,,
  Action,6.5,,,,
  Adventure,6.2,,,,
  Drama],7,,,,
  Comedy],4.9,,,,
  Action,5.5,,,,
  Action,6.1,,,,
  Animation,5.5,,,,
  Animation,5.7,,,,
  Adventure,5.9,,,,
  Action,6.6,,,,
  Fantasy,5.5,,,,
  Action,4.1,,,,
  Science Fiction,6.6,,,,
  Action,6.4,,,,
  Adventure,8,,,,
  Action,5.7,,,,
  Drama],6.7,,,,
  Comedy,4.9,,,,
  Action,6.7,,,,
  Drama,6.6,,,,
  Animation,5.8,,,,
  Romance,6.7,,,,
  Drama,7.6,,,,
  Action,6.5,,,,
  Comedy,3.7,,,,
  Action,6.1,,,,
  Action,7.9,,,,
  Action,7.1,,,,
  Adventure,7.4,,,,
  Adventure,7.3,,,,
  Thriller,5.6,,,,
  Action,7.7,,,,
  History,6.5,,,,
  Drama,7.4,,,,
  Action,6.8,,,,
  Thriller,6.2,,,,
  Comedy,5.4,,,,
  Action,6.1,,,,
  Action,5.6,,,,
  Drama,7.8,,,,
  Drama,6.8,,,,
  Adventure,7.2,,,,
  Action,6.1,,,,
  Adventure,6.4,,,,
  Fantasy,4.9,,,,
  Family,6.4,,,,
  Animation,6.4,,,,
  Action,6,,,,
  Action,5.5,,,,
  Drama,7.3,,,,
  Crime,7.9,,,,
  Action,5.2,,,,
  Adventure,6.7,,,,
  Drama,6.6,,,,
  Animation,6.5,,,,
  Action,4.2,,,,
  Action,5.6,,,,
  Adventure,7.2,,,,
  Adventure,5.3,,,,
  Action,6.1,,,,
  Action,5.5,,,,
  Fantasy,3.6,,,,
  Thriller,6.5,,,,
  Action,4.4,,,,
  War,6.4,,,,
  Animation],6.5,,,,
  Crime,7.1,,,,
  Adventure,6,,,,
  Drama,7.1,,,,
  Drama,7.1,,,,
  Animation,5.9,,,,
  Action,5.4,,,,
  Action,7.2,,,,
  Comedy],5.6,,,,
  Adventure,7.3,,,,
  Comedy,5.4,,,,
  Adventure,7,,,,
  Animation,6.2,,,,
  Romance,6.7,,,,
  Fantasy,6.6,,,,
  Animation,7.6,,,,
  Adventure,8.1,,,,
  Adventure,8,,,,
  Adventure,5.2,,,,
  Adventure,5.7,,,,
  Thriller,5.9,,,,
  Adventure,5.7,,,,
  Thriller,7,,,,
  Adventure,6.3,,,,
  Action,5.2,,,,
  Western,5.8,,,,
  Action,7.4,,,,
  Action,5.7,,,,
  Adventure,6,,,,
  Action,6.9,,,,
  Animation,7.3,,,,
  Action,6.3,,,,
  Action,6.4,,,,
  Drama,6.3,,,,
  Animation,6.5,,,,
  Animation,6.5,,,,
  Adventure,7,,,,
  Action,5.6,,,,
  Drama,7.9,,,,
  Animation,7.6,,,,
  Action,6.5,,,,
  Thriller,7.2,,,,
  Action,6.9,,,,
  Action,7,,,,
  Drama],5.3,,,,
  Animation,6.7,,,,
  Adventure,5.8,,,,
  Drama,6.7,,,,
  Comedy,5.5,,,,
  Action,5.6,,,,
  Drama,6.8,,,,
  Thriller,5.2,,,,
  Drama,7.2,,,,
  Action,5.6,,,,
  Crime,6.2,,,,
  Adventure,5.9,,,,
  Action,5.5,,,,
  Action,6.7, {id 53,  Thriller],,
  Thriller,5.9,,,,
  Action,6.8,,,,
  Science Fiction],5.7,,,,
  Animation,6.5,,,,
  Comedy,6.9,,,,
  Science Fiction,5.2,,,,
  Crime,5.9,,,,
  Drama,6.1,,,,
  Adventure,6.6,,,,
  Romance,7.3,,,,
  Fantasy,5.4,,,,
  Drama,6.7,,,,
  Action,6.1,,,,
  Adventure,7.5,,,,
  Animation,5.9,,,,
  Action,7.2,,,,
  Action,6.2,,,,
  Thriller,7.2,,,,
  Adventure,5.6,,,,
  Animation,6.8,,,,
  Comedy,6.6,,,,
  Action,6.3,,,,
  Comedy,5.1,,,,
  Action,5.8,,,,
  Comedy,6.7,,,,
  Action,6.7,,,,
  Comedy,6.2,,,,
  Crime,6.5,,,,
  Adventure,6.1,,,,
  Adventure,6.9,,,,
  War],7.2,,,,
  Adventure,6.4,,,,
  Adventure,6.1,,,,
  Drama,7.3,,,,
  Action,6.1,,,,
  Drama,6.7,,,,
  Fantasy,6.9,,,,
  Action,5.5,,,,
  Drama,7.3,,,,
  Adventure,5.5, {id 10751,  Family],,
  Action,7.2,,,,
  Action,5.4,,,,
  Fantasy,4.7,,,,
  Mystery,5.4,,,,
  Action,6.6,,,,
  Comedy,6,,,,
  Horror,6.7,,,,
  Comedy,4.9,,,,
  Adventure,5.9,,,,
  Adventure,6.5,,,,
  Crime,7.3,,,,
  Science Fiction],5.7,,,,
  Fantasy,6.4,,,,
  Thriller,6,,,,
  Adventure,6.7,,,,
  Science Fiction,6.9,,,,
  Comedy],6.2,,,,
  Action,6.6,,,,
  Comedy,6.3,,,,
  Animation,7.1,,,,
  Comedy,5.8,,,,
  Action,5.9,,,,
  Action,6.4,,,,
  Comedy,6.2,,,,
  Comedy,5.4,,,,
  Comedy],5.8,,,,
  Action,6,,,,
  Drama,6.3,,,,
  Drama,7.8,,,,
  Comedy,5.3,,,,
  Animation,6,,,,
  Action,6.8,,,,
  Fantasy,5.9,,,,
  Thriller,7.3,,,,
  Romance,6.3,,,,
  Action,6.5,,,,
  Mystery,6.3,,,,
  Drama],6.7,,,,
  Action,6.6,,,,
  Comedy,5.3,,,,
  Horror,5.2,,,,
  Animation,6.5,,,,
  Action,5.6,,,,
  Drama,5.2,,,,
  Action,6.5,,,,
  War,7.4,,,,
  Action,5.6,,,,
  Comedy,5.2,,,,
  Western,7.4,,,,
  Comedy,5.3,,,,
  Adventure,5,,,,
  Drama,6.2,,,,
  Romance,8,,,,
  Animation,6.7,,,,
  Animation,7,,,,
  Science Fiction,5.8,,,,
  Action,5.9,,,,
  Action,6.1,,,,
  Action,5.9,,,,
  Drama,6.8,,,,
  Comedy,5.2,,,,
  Adventure,5.6,,,,
  Comedy,6.1,,,,
  Mystery,6.4,,,,
  Action,6.7,,,,
  Action,5.9,,,,
  Drama,6.9,,,,
  Action,5.8,,,,
  Animation,5.2,,,,
  Action,3,,,,
  Animation,5.6,,,,
  Drama,5.1,,,,
  Action,5.4,,,,
  Drama,6.1,,,,
  Adventure,5.2,,,,
  Fantasy,5.7,,,,
  Thriller,5.4,,,,
  Adventure,6,,,,
  Documentary,7.3,,,,
  Thriller,4.8,,,,
  Action,5.2,,,,
  Comedy,5.3,,,,
  Drama,7.7,,,,
  Family,8,,,,
  Adventure,5.8,,,,
  Animation,6.4,,,,
  Crime,6.7,,,,
  Western,6.5,,,,
  Comedy],4.1,,,,
  Action,6.2,,,,
  Adventure,7.6,,,,
  Science Fiction,5.7,,,,
  Action,3.9,,,,
  Animation,5.9,,,,
  Fantasy,5.7,,,,
  Animation,7,,,,
  Action,6.7,,,,
  Adventure,6.2,,,,
  Family,6.6,,,,
  Drama,7.4,,,,
  Adventure,6.8,,,,
  Action,6.4,,,,
  Action,6.9,,,,
  Animation,6.5,,,,
  Comedy,6.6,,,,
  Family,6.5,,,,
  Horror,4.7,,,,
  Action,4.3,,,,
  Thriller,7.3,,,,
  Comedy],6,,,,
  Comedy,7,,,,
  Comedy,5.7,,,,
  Action,5.9,,,,
  Comedy,6.5,,,,
  Animation,5.8,,,,
  Drama],6.6,,,,
  Comedy,5.4,,,,
  Drama,6.9,,,,
  Action,6.4,,,,
  Action,5.7,,,,
  Comedy,7.1,,,,
  Comedy],5.8,,,,
  Animation,6.3,,,,
  Action,6.2,,,,
  Action,5.9,,,,
  Drama,6.4,,,,
  Fantasy,5.7,,,,
  Mystery,6.2,,,,
  Animation,6.3,,,,
  Action,5,,,,
  Action,6.1,,,,
  Action,5.8,,,,
  Adventure,4.3,,,,
  Action,5.7,,,,
  Science Fiction,6.9,,,,
  Family,6.4,,,,
  Action,5.9,,,,
  Crime,5.8,,,,
  Science Fiction],5.8,,,,
  Family,5.9,,,,
  Romance,5.4,,,,
  Comedy,5.7,,,,
  Thriller,6.5,,,,
  Comedy],6.2,,,,
  Comedy,4.9,,,,
  Action,7.7,,,,
  Drama,6.6,,,,
  Animation,6.9,,,,
  Drama,6.6,,,,
  Action],4.5,,,,
  Adventure,6.9,,,,
  Drama,6.2,,,,
  Comedy,5.4,,,,
  Drama,6.4,,,,
  Adventure,6.7,,,,
  Animation,6.6,,,,
  Comedy,5.7,,,,
  Action,5.8,,,,
  Animation,5.8,,,,
  Action,6.4,,,,
  Drama,7.9,,,,
  Adventure,6.6,,,,
  Action,6.6,,,,
  Action,5.8,,,,
  Drama,6.5,,,,
  Drama,5.3,,,,
  Adventure,5.5,,,,
  Comedy,5.4,,,,
  Action,6.7,,,,
  Action,6.2,,,,
  Science Fiction,6.3,,,,
  Action,5.5,,,,
  Adventure,7.6,,,,
  Fantasy],6,,,,
  Drama,7,,,,
  War,5.8,,,,
  Adventure,7.1,,,,
  Drama,5.8,,,,
  Horror,6.2,,,,
  Drama,6,,,,
  Adventure,7.1,,,,
  Adventure,7,,,,
  Comedy,5.2,,,,
  Action,5.4,,,,
  Adventure,5,,,,
  Action,5.2,,,,
  Fantasy,6.1,,,,
  Comedy,6,,,,
  Drama,5.9,,,,
  Action,6.1,,,,
  Action,3.4,,,,
  Action,4.3,,,,
  Thriller],5.5,,,,
  Adventure,5.9,,,,
  Animation,5.9,,,,
  Crime,5.1,,,,
  Mystery,5.7,,,,
  Crime,4.6,,,,
  Action,6.7,,,,
  Action,4.4,,,,
  Thriller,5.9,,,,
  Adventure,5.8,,,,
  Action,6.7,,,,
  Animation,7.1,,,,
  Action,5.4,,,,
  Comedy],6.2,,,,
  Adventure,6.9,,,,
  Adventure,5.7,,,,
  Comedy],5.4,,,,
  Drama,7.3,,,,
  Action,6.3,,,,
  Action,6.5,,,,
  Comedy],5.5,,,,
  Action,5.5,,,,
  Romance,6,,,,
  Mystery,6.6,,,,
  Action,5,,,,
  Drama,7.9,,,,
  Action,6.1,,,,
  Comedy,6.1,,,,
  Animation,7.1,,,,
  Drama,5.3,,,,
  History,6.7,,,,
  Action,7.9,,,,
  Drama],7.3,,,,
  Fantasy,5.5,,,,
  Drama,7.1,,,,
  Comedy,6.3,,,,
  Comedy],6.5,,,,
  Action,6.3,,,,
  Comedy,6.2,,,,
  Drama,7.3,,,,
  Action,6.3,,,,
  Action,6.1,,,,
  Action,5.7,,,,
  Fantasy,6,,,,
  Drama,5.9,,,,
  Drama,6.5,,,,
  Comedy],5.9,,,,
  Mystery,7.1,,,,
  Comedy,6,,,,
  Romance,6.7,,,,
  Action,5.9,,,,
  Science Fiction,5.7, {id 14,  Fantasy],,
  Action,6.4,,,,
  Comedy,6.1,,,,
  Action,5.6,,,,
  Action,6,,,,
  Crime,6.5,,,,
  Action,6,,,,
  Family,6.1,,,,
  Drama],8.3,,,,
  Drama],6.7,,,,
  Action,5.4,,,,
  Action,4.9, {id 53,  Thriller],,
  Horror,5,,,,
  Crime,6.7,,,,
  Action,4.8,,,,
  Crime,6.3,,,,
  Drama,5.3,,,,
  Adventure,6.7,,,,
  Crime,7.1,,,,
  Comedy,5.9,,,,
  Animation,6.1,,,,
  Adventure,7.6,,,,
  Drama,6.5,,,,
  Action,6.4,,,,
  Action,5.9,,,,
  Comedy,5.3,,,,
  Action,6.1,,,,
  Comedy,6.5,,,,
  Comedy,4.3,,,,
  Action,5.8,,,,
  Crime,7.6,,,,
  Action,5.9,,,,
  Animation,5.5,,,,
  Action,7,,,,
  Comedy,6.1,,,,
  Comedy,6.9,,,,
  Fantasy,8.2,,,,
  Action,5.6,,,,
  Animation,5.6,,,,
