Mobility Mode
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Private vehicle
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Walking or private bike
Shared micromobility
Shared micromobility
Shared micromobility
Shared micromobility
Shared micromobility
Shared micromobility
Shared micromobility
Shared micromobility
Public transport
Public transport
Public transport
Public transport
Public transport
Public transport
Public transport
Carsharing
Carsharing
Carsharing
Carsharing
Carsharing
Ridesharing
Ridesharing
Ridesharing
Ridesharing
Ridesharing
None
None
None
None
None
