text,count
like,7
just,6
all,9
back,9
way,4
then,4
only,3
still,3
too,3
is,14
am,14
so,2
more,2
still,4
boy,11
big,3
half,3
gay,3
get,7
are,7
was,7
be,7
like,6
cause,6
looking,6
make,6
rap god,6
nod,6
ever,1
really,1
yep,1
actually disastrously,1
masterfully,1
simply,1
barely,1
basically,1
immediately,1
honestly,1
for good at least once,1
somewhere,1
maybe,1
once,1
sometimes,1
pointless,1
very,1
forever,1
inadvertently,1
feeling,2
long,2
same,2
well,2
new,2
full,2
even,2
little,2
straight,2
hungry,2
normal,2
got,5
f***,5
do not know,4
know,4
take,4
person,4
front,4
now,4
slap box,4
am beginning,3
feel like,3
said,3
let,3
want,3
have,3
do,3
arm,3
rap,3
time,3
here,3
rhyme,3
face,3
man,3
easy,1
wrong,1
fat,1
living,1
killing,1
honest,1
rude,1
indecent,1
killaholic,1
pissing,1
exact,1
lyrical,1
able,1
over,1
ironic,1
rough,1
bad,1
hard,1
secret,1
truthful,1
youthful,1
everyday,1
capable,1
trailer,1
rodent,1
omnipotent,1
dead,1
talking,1
deep,1
common,1
brutal,1
tough,1
underground,1
immortal,1
mad,1
special,1
supersonic,1
jealous,1
diverse,1
many,1
nice,1
junky,1
above,1
ill,1
drunk,1
asleep,1
chunky,1
funky,1
bitter,1
patient,1
sympathetic,1
fatal,1
overseas,1
look,2
go,2
have got,2
means,2
think,2
say,2
thinks,2
made,2
is not,2
use,2
walk,2
say looking,2
put,2
chance,2
something,2
trouble,2
rapper,2
everybody,2
nothing,2
school,2
music,2
doc,2
hall of fame,2
church,2
looking boy,2
back,2
i'mma,2
nascar,2
asgard,2
head,2
ray j,2
fab,2
day,2
song,2
verse,2
tongue,2
satan,2
woman,2
mistake,2
king,2
feeling,1
minute,1
slim shady,1
something is,1
banana,1
doctor,1
robot,1
rapbot,1
computer,1
gene,1
laptop,1
pocket,1
pen,1
c***,1
knot,1
rap profit,1
bill clinton,1
office,1
monica lewinsky,1
nut sack,1
mc,1
syllable,1
kill,1
slickety,1
gibbedy,1
hibbedy hip hop,1
match,1
rappidy rap,1
mac,1
ac,1
backpack rap,1
yac,1
acrobat stunt,1
motherf***in table,1
couple of faggots,1
signed,1
aftermath,1
fact,1
do,1
wrath,1
time period,1
maxipad,1
wack,1
masterpiece,1
s***,1
hard,1
key,1
rap immortality,1
blueprint,1
exuberance,1
nuisance,1
earth,1
asteroid,1
moon,1
mc get,1
vehicle,1
bust,1
student,1
product of rakim,1
lakim shabazz,1
2pac n,1
w.a,1
cube,1
ren,1
yella,1
eazy,1
slim,1
one day,1
position,1
run dmc,1
induct,1
motherf***in rock n,1
ball of flames,1
alcohol of fame,1
wall of shame,1
game today,1
flock of flames,1
massacre,1
place,1
vey,1
thumb,1
pat,1
label,1
hell,1
dre,1
everything,1
nobody,1
outta,1
pace,1
track,1
dale earnhardt of,1
park,1
white trash god,1
general zod,1
planet krypton,1
thor,1
odin,1
bomb,1
totin,1
woken,1
walking,1
zombie,1
mom,1
throating,1
ramen noodle,1
poodle,1
doberman,1
pinch,1
homage,1
pupil,1
honesty,1
chicken,1
doodle,1
looking,1
lunchtime,1
king of,1
pharoahe monch grind,1
skin color of mine,1
censor,1
marshall mathers lp,1
kid,1
columbine,1
line,1
add,1
ak,1
revolver,1
morphed,1
coming,1
portal,1
time warp,1
rapunzel,1
cornrow,1
raygun,1
future,1
fabolou,1
fag,1
maywhether pad,1
singin,1
piano,1
24/7,1
cable channel,1
radio station,1
lyrics,1
speed,1
jj fad,1
sama lamaa duma lamaa,1
human,1
innovative,1
rubber,1
anything,1
motherf***in audience,1
like,1
hater,1
elevator music,1
hop,1
hella,1
fuse,1
rock,1
throw,1
lose,1
word,1
virgin,1
school flunkie,1
pill,1
accolades the skill,1
myself,1
myself cause,1
mind,1
league,1
cheek,1
f***ing wheel,1
heavy,1
angel,1
devil,1
consideration,1
hatred,1
situation,1
discrimination,1
life,1
lemonade,1
bake,1
cake,1
vacation,1
trip,1
broad,1
fall,1
retard,1
god,1
was going,1
hurt,1
am only going,1
can feel,1
about to happen,1
am not taking,1
were just,1
ordered,1
rap like,1
so call,1
must be,1
will go off,1
feeling,1
do not really want,1
packing,1
pack,1
yackidy,1
attempt,1
am practicing,1
will still be,1
break,1
crack,1
only realized,1
could,1
not blow,1
is drop,1
bombs,1
feel,1
attack,1
are having,1
is actually disastrously,1
am masterfully constructing,1
show,1
maintaining,1
simply rage,1
loves,1
root for,1
hit,1
did,1
shoot for,1
taken,1
lead,1
thank,1
inspired,1
grow up,1
blow up,1
meet,1
roll,1
burst,1
be inducted,1
fags think,1
planking,1
tell,1
thinking,1
can barely say,1
witnessing,1
watching,1
gathering take,1
work,1
never ask,1
are never going,1
keep up,1
am racing,1
call,1
kneel,1
will be,1
am reloading immediately,1
should not be,1
am just,1
floating,1
pay,1
honestly futile,1
do not utilize,1
make sure somewhere,1
scratch,1
scribble,1
try,1
help get,1
gotta keep,1
punchlines just,1
unsigned,1
crunch,1
combine,1
appeal,1
get too,1
come trying,1
line,1
tried,1
see,1
get away,1
are stuck,1
rhyme,1
are pointless,1
f***ing,1
are like,1
being,1
just bought,1
just come,1
shoot,1
looked like,1
played,1
went,1
kill,1
coming,1
a**uming,1
gotta do,1
am superhuman,1
am made,1
saying ricocheting,1
will glue,1
am never stating,1
never demonstrating,1
give,1
is levitating,1
never fading,1
are forever waiting,1
they can say,1
fell off,1
would be celebrating,1
motivated,1
make elevating,1
too mainstream,1
confuse,1
not hip,1
pop,1
found,1
shock,1
lose,1
occurs,1
am ripping,1
curtains,1
am inadvertently hurtin,1
gotta murder,1
prove,1
can sacrifice,1
brung,1
bully,1
speak,1
seat,1
bumping,1
can feel tugging,1
struggling,1
fight,1
asking,1
eliminate,1
hate,1
had,1
may be,1
understand,1
is handing,1
lemons,1
can not batter,1
supposed,1
do not,1
need,1
do not be,1
think not,1
can be,1
