State,Year,Unemployment,US Avg
AK,'80,2.475,Above Average
AL,'80,1.708,Above Average
AR,'80,0.383,Above Average
AZ,'80,-0.525,Below Average
CA,'80,-0.325,Below Average
CO,'80,-1.367,Below Average
CT,'80,-1.367,Below Average
DC,'80,0.192,Above Average
DE,'80,0.433,Above Average
FL,'80,-1.083,Below Average
GA,'80,-0.825,Below Average
HI,'80,-2.117,Below Average
IA,'80,-1.133,Below Average
ID,'80,0.35,Above Average
IL,'80,0.992,Above Average
IN,'80,2.5,Above Average
KS,'80,-2.742,Below Average
KY,'80,0.767,Above Average
LA,'80,-0.325,Below Average
MA,'80,-1.525,Below Average
MD,'80,-0.6,Below Average
ME,'80,0.45,Above Average
MI,'80,5.175,Above Average
MN,'80,-1.4,Below Average
MO,'80,0.05,Above Average
MS,'80,0.25,Above Average
MT,'80,-1.058,Below Average
NC,'80,-0.758,Below Average
ND,'80,-2.233,Below Average
NE,'80,-3.242,Below Average
NH,'80,-2.625,Below Average
NJ,'80,0.042,Above Average
NM,'80,0.4,Above Average
NV,'80,-0.992,Below Average
NY,'80,0.308,Above Average
OH,'80,1.225,Above Average
OK,'80,-2.775,Below Average
OR,'80,1.308,Above Average
PA,'80,0.867,Above Average
RI,'80,0.042,Above Average
SC,'80,-0.408,Below Average
SD,'80,-2.383,Below Average
TN,'80,0.283,Above Average
TX,'80,-2.033,Below Average
UT,'80,-0.975,Below Average
VA,'80,-2,Below Average
VT,'80,-0.992,Below Average
WA,'80,0.892,Above Average
WI,'80,0.058,Above Average
WV,'80,2.292,Above Average
WY,'80,-3.308,Below Average
AK,'85,2.5,Above Average
AL,'85,1.95,Above Average
AR,'85,1.492,Above Average
AZ,'85,-0.858,Below Average
CA,'85,-0.017,Below Average
CO,'85,-1.117,Below Average
CT,'85,-2.475,Below Average
DC,'85,0.942,Above Average
DE,'85,-2.05,Below Average
FL,'85,-1.217,Below Average
GA,'85,-0.783,Below Average
HI,'85,-1.8,Below Average
IA,'85,0.258,Above Average
ID,'85,0.675,Above Average
IL,'85,1.858,Above Average
IN,'85,0.608,Above Average
KS,'85,-2.117,Below Average
KY,'85,2.008,Above Average
LA,'85,4.358,Above Average
MA,'85,-3.225,Below Average
MD,'85,-2.592,Below Average
ME,'85,-1.717,Below Average
MI,'85,2.758,Above Average
MN,'85,-1.2,Below Average
MO,'85,-0.667,Below Average
MS,'85,3.167,Above Average
MT,'85,0.45,Above Average
NC,'85,-1.633,Below Average
ND,'85,-1.517,Below Average
NE,'85,-2.033,Below Average
NH,'85,-3.458,Below Average
NJ,'85,-1.592,Below Average
NM,'85,1.142,Above Average
NV,'85,0.508,Above Average
NY,'85,-0.583,Below Average
OH,'85,1.692,Above Average
OK,'85,-0.017,Below Average
OR,'85,1.667,Above Average
PA,'85,0.817,Above Average
RI,'85,-2.558,Below Average
SC,'85,-0.267,Below Average
SD,'85,-2.367,Below Average
TN,'85,0.742,Above Average
TX,'85,-0.15,Below Average
UT,'85,-1.167,Below Average
VA,'85,-1.708,Below Average
VT,'85,-2.408,Below Average
WA,'85,1.158,Above Average
WI,'85,-0.025,Below Average
WV,'85,5.958,Above Average
WY,'85,-0.308,Below Average
AK,'90,1.617,Above Average
AL,'90,1.175,Above Average
AR,'90,1.292,Above Average
AZ,'90,-0.358,Below Average
CA,'90,0.167,Above Average
CO,'90,-0.383,Below Average
CT,'90,-0.492,Below Average
DC,'90,0.65,Above Average
DE,'90,-0.908,Below Average
FL,'90,0.508,Above Average
GA,'90,-0.15,Below Average
HI,'90,-2.933,Below Average
IA,'90,-1.2,Below Average
ID,'90,-0.075,Below Average
IL,'90,0.575,Above Average
IN,'90,-0.317,Below Average
KS,'90,-1.3,Below Average
KY,'90,0.367,Above Average
LA,'90,0.575,Above Average
MA,'90,0.683,Above Average
MD,'90,-1.158,Below Average
ME,'90,-0.275,Below Average
MI,'90,2.017,Above Average
MN,'90,-0.842,Below Average
MO,'90,0.233,Above Average
MS,'90,1.975,Above Average
MT,'90,0.358,Above Average
NC,'90,-1.508,Below Average
ND,'90,-1.592,Below Average
NE,'90,-3.267,Below Average
NH,'90,0.05,Above Average
NJ,'90,-0.567,Below Average
NM,'90,0.95,Above Average
NV,'90,-0.892,Below Average
NY,'90,-0.25,Below Average
OH,'90,0.05,Above Average
OK,'90,0.067,Above Average
OR,'90,-0.117,Below Average
PA,'90,-0.15,Below Average
RI,'90,0.758,Above Average
SC,'90,-0.783,Below Average
SD,'90,-1.833,Below Average
TN,'90,-0.233,Below Average
TX,'90,0.717,Above Average
UT,'90,-1.208,Below Average
VA,'90,-1.167,Below Average
VT,'90,-0.617,Below Average
WA,'90,-0.35,Below Average
WI,'90,-1.233,Below Average
WV,'90,2.85,Above Average
WY,'90,-0.292,Below Average
AK,'95,1.725,Above Average
AL,'95,0.358,Above Average
AR,'95,-0.742,Below Average
AZ,'95,-0.233,Below Average
CA,'95,2.267,Above Average
CO,'95,-1.583,Below Average
CT,'95,-0.1,Below Average
DC,'95,3.158,Above Average
DE,'95,-1.267,Below Average
FL,'95,-0.075,Below Average
GA,'95,-0.767,Below Average
HI,'95,0.283,Above Average
IA,'95,-2.133,Below Average
ID,'95,-0.175,Below Average
IL,'95,-0.442,Below Average
IN,'95,-0.983,Below Average
KS,'95,-1.175,Below Average
KY,'95,-0.183,Below Average
LA,'95,1.392,Above Average
MA,'95,-0.308,Below Average
MD,'95,-0.55,Below Average
ME,'95,0.342,Above Average
MI,'95,-0.333,Below Average
MN,'95,-1.867,Below Average
MO,'95,-0.867,Below Average
MS,'95,0.625,Above Average
MT,'95,0.058,Above Average
NC,'95,-1.283,Below Average
ND,'95,-2.358,Below Average
NE,'95,-2.95,Below Average
NH,'95,-1.617,Below Average
NJ,'95,0.817,Above Average
NM,'95,0.992,Above Average
NV,'95,-0.033,Below Average
NY,'95,0.725,Above Average
OH,'95,-0.8,Below Average
OK,'95,-1,Below Average
OR,'95,-0.692,Below Average
PA,'95,0.267,Above Average
RI,'95,0.725,Above Average
SC,'95,-0.4,Below Average
SD,'95,-2.55,Below Average
TN,'95,-0.425,Below Average
TX,'95,0.467,Above Average
UT,'95,-2.092,Below Average
VA,'95,-1.067,Below Average
VT,'95,-1.333,Below Average
WA,'95,0.833,Above Average
WI,'95,-1.817,Below Average
