name,Attribute,Value
ČSSD,gain2013,0.2045
ČSSD,gain2010,0.2208
ANO 2011,gain2013,0.1865
ANO 2011,gain2010,0
KSČM,gain2013,0.1491
KSČM,gain2010,0.1127
TOP 09,gain2013,0.1199
TOP 09,gain2010,0.167
ODS,gain2013,0.0772
ODS,gain2010,0.2022
Úsvit,gain2013,0.0688
Úsvit,gain2010,0
KDU-ČSL,gain2013,0.0678
KDU-ČSL,gain2010,0.0439
Zelení,gain2013,0.0319
Zelení,gain2010,0.0246
Piráti,gain2013,0.0266
Piráti,gain2010,0.008
Svobodní,gain2013,0.0246
Svobodní,gain2010,0.0072
Ostatní,gain2013,0.0431
Ostatní,gain2010,0.2073
