ShareWomen,Median,Major,Major_category
0.120564344,110000,PETROLEUM ENGINEERING,Engineering
0.101851852,75000,MINING AND MINERAL ENGINEERING,Engineering
0.153037383,73000,METALLURGICAL ENGINEERING,Engineering
0.107313196,70000,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
0.144966965,65000,NUCLEAR ENGINEERING,Engineering
0.341630502,65000,CHEMICAL ENGINEERING,Engineering
0.535714286,62000,ASTRONOMY AND ASTROPHYSICS,Physical Sciences
0.119558903,60000,MECHANICAL ENGINEERING,Engineering
0.139792801,60000,AEROSPACE ENGINEERING,Engineering
0.196450256,60000,ELECTRICAL ENGINEERING,Engineering
0.199412643,60000,COMPUTER ENGINEERING,Engineering
0.310820285,60000,MATERIALS SCIENCE,Engineering
0.437846874,60000,BIOMEDICAL ENGINEERING,Engineering
0.183985189,58000,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
0.320784314,57100,BIOLOGICAL ENGINEERING,Engineering
0.343473218,57000,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
0.252959838,56000,GENERAL ENGINEERING,Engineering
0.350442478,54000,ARCHITECTURAL ENGINEERING,Engineering
0.222695002,53000,COMPUTER SCIENCE,Computers & Mathematics
0.292607004,52000,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
0.325091881,52000,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
0.189970437,50000,MISCELLANEOUS ENGINEERING,Engineering
0.227117943,50000,CIVIL ENGINEERING,Engineering
0.251388889,50000,ENGINEERING TECHNOLOGIES,Engineering
0.322222222,50000,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
0.342228811,50000,ENVIRONMENTAL ENGINEERING,Engineering
0.896018988,48000,NURSING,Health
0.24919024,46000,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
0.75047259,46000,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
0.244103081,45000,INFORMATION SCIENCES,Computers & Mathematics
0.253583302,45000,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
0.281936407,45000,PHYSICS,Physical Sciences
0.434298441,45000,APPLIED MATHEMATICS,Computers & Mathematics
0.448098678,45000,MATHEMATICS,Computers & Mathematics
0.526475764,45000,STATISTICS AND DECISION SCIENCE,Computers & Mathematics
0.707718502,45000,PHARMACOLOGY,Biology & Life Science
0.75392736,45000,MEDICAL TECHNOLOGIES TECHNICIANS,Health
0.688999173,44700,OCEANOGRAPHY,Physical Sciences
0.174122505,44000,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
0.178981938,42000,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
0.927807246,42000,MEDICAL ASSISTING SERVICES,Health
0.269193858,41300,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
0.56486557,41000,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
0.077453027,40000,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
0.200022717,40000,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
0.377437326,40000,PHYSICAL SCIENCES,Physical Sciences
0.451464886,40000,ARCHITECTURE,Engineering
0.515543329,40000,GENETICS,Biology & Life Science
0.59420765,40000,MOLECULAR BIOLOGY,Biology & Life Science
0.630716318,40000,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
0.505140538,39000,CHEMISTRY,Physical Sciences
0.580948004,38000,MICROBIOLOGY,Biology & Life Science
0.180882718,37500,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
0.515406449,37400,BIOCHEMICAL SCIENCES,Biology & Life Science
0.52896915,37000,BOTANY,Biology & Life Science
0.305004597,36400,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
0.470196865,36200,GEOLOGY AND EARTH SCIENCE,Physical Sciences
0.591001011,36000,GEOSCIENCES,Physical Sciences
0.881293889,36000,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
0.584556133,35600,ENVIRONMENTAL SCIENCE,Biology & Life Science
0.321296067,35000,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
0.366176878,35000,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
0.564639335,35000,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
0.618223028,35000,PHYSIOLOGY,Biology & Life Science
0.63814682,35000,NEUROSCIENCE,Biology & Life Science
0.764426528,35000,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
0.864456079,35000,NUTRITION SCIENCES,Health
0.792095262,34000,COMMUNITY AND PUBLIC HEALTH,Health
0.556603774,33500,MISCELLANEOUS BIOLOGY,Biology & Life Science
0.566640502,33500,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
0.601858152,33400,BIOLOGY,Biology & Life Science
0.576360061,33000,ECOLOGY,Biology & Life Science
0.721865913,33000,TREATMENT THERAPY PROFESSIONS,Health
0.774576624,32400,GENERAL MEDICAL AND HEALTH SERVICES,Health
0.967998119,28000,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
0.637293376,26000,ZOOLOGY,Biology & Life Science
