country,category,value
Greenland,Imports,7.6
Canada,Imports,144369.9
St Pierre and Miquelon,Imports,3.4
Mexico,Imports,62100.4
Guatemala,Imports,1526.8
Belize,Imports,52.1
El Salvador,Imports,812.2
Honduras,Imports,1441.2
Nicaragua,Imports,238.8
Costa Rica,Imports,1843.2
Panama,Imports,307.1
Bermuda,Imports,10.4
Bahamas,Imports,156.7
Cuba,Imports,0.0
Jamaica,Imports,846.9
Turks and Caicos Islands,Imports,5.0
Cayman Islands,Imports,18.2
Haiti,Imports,129.9
Dominican Republic,Imports,3398.9
Anguilla,Imports,0.0
British Virgin Islands,Imports,11.2
St Kitts and Nevis,Imports,22.3
Antigua and Barbuda,Imports,2.8
Montserrat,Imports,2.0
Dominica,Imports,6.6
St Lucia,Imports,35.1
St Vincent and the Grenadines,Imports,7.9
Grenada,Imports,5.3
Barbados,Imports,37.7
Trinidad and Tobago,Imports,1089.2
Netherlands Antilles,Imports,289.8
Aruba,Imports,420.7
Guadeloupe,Imports,1.2
Martinique,Imports,1.9
Colombia,Imports,3791.0
Venezuela,Imports,9764.0
Guyana,Imports,107.4
Suriname,Imports,100.0
French Guiana,Imports,5.2
Ecuador,Imports,1939.7
Peru,Imports,1034.4
Bolivia,Imports,262.5
Chile,Imports,1930.8
Brazil,Imports,8832.9
Paraguay,Imports,55.0
Uruguay,Imports,167.2
Argentina,Imports,1760.8
Falkland Islands(Islas Malvin,Imports,0.5
Iceland,Imports,232.8
Sweden,Imports,6256.4
"Svalbard, Jan Mayen Island",Imports,0.2
Norway,Imports,3086.7
Finland,Imports,2269.9
Faroe Islands,Imports,8.4
Denmark,Imports,1944.9
United Kingdom,Imports,26929.7
Ireland,Imports,4078.7
Netherlands,Imports,6404.9
Belgium,Imports,6053.9
Luxembourg,Imports,233.8
Andorra,Imports,0.2
Monaco,Imports,12.2
France,Imports,17209.4
Germany,Imports,36843.9
Austria,Imports,1963.2
Czechoslovakia,Imports,0.0
Czech Republic,Imports,363.3
Slovakia,Imports,129.5
Hungary,Imports,547.0
Liechtenstein,Imports,126.2
Switzerland,Imports,7593.9
Estonia,Imports,62.1
Latvia,Imports,82.0
Lithuania,Imports,26.5
Poland,Imports,663.6
USSR,Imports,0.0
Russia,Imports,4030.1
Belarus,Imports,45.0
Ukraine,Imports,405.7
Armenia,Imports,16.3
Azerbaijan,Imports,0.7
Georgia,Imports,10.7
Kazakhstan,Imports,122.9
Kyrgyzstan,Imports,8.4
Moldova,Imports,24.8
Tajikistan,Imports,40.9
Turkmenistan,Imports,1.3
Uzbekistan,Imports,18.8
Spain,Imports,3879.7
Portugal,Imports,1056.7
Gibraltar,Imports,4.8
Malta,Imports,132.5
San Marino,Imports,1.0
Vatican City,Imports,0.7
Italy,Imports,16348.4
Yugoslavia (former),Imports,0.0
Croatia,Imports,93.8
Slovenia,Imports,289.5
Bosnia and Herzegovina,Imports,3.5
Macedonia,Imports,88.8
Serbia and Montenegro,Imports,0.0
Albania,Imports,9.4
Greece,Imports,397.1
Romania,Imports,222.3
Bulgaria,Imports,188.5
Turkey,Imports,1797.9
Cyprus,Imports,13.1
Syria,Imports,61.1
Lebanon,Imports,35.0
Iraq,Imports,0.0
Iran,Imports,0.2
Israel,Imports,0.0
Israel,Imports,5708.7
Gaza Strip admin. by Israel,Imports,0.0
West Bank admin. by Israel,Imports,0.0
Jordan,Imports,28.9
Kuwait,Imports,1335.5
Iraq-Saudi Arabia Neutral Zone,Imports,0.0
Saudi Arabia,Imports,8376.6
Qatar,Imports,90.9
United Arab Emirates,Imports,459.1
Republic of Yemen,Imports,41.5
Oman,Imports,294.9
Bahrain,Imports,134.3
Afghanistan,Imports,5.4
India,Imports,5726.3
Pakistan,Imports,1197.0
Nepal,Imports,96.1
Bangladesh,Imports,1257.2
Sri Lanka,Imports,1259.7
Burma,Imports,81.0
Thailand,Imports,11348.1
Vietnam,Imports,199.0
Laos,Imports,10.2
Cambodia,Imports,5.1
Malaysia,Imports,17454.9
Singapore,Imports,18560.4
Indonesia,Imports,7435.3
Brunei,Imports,38.4
Philippines,Imports,7006.5
Macau,Imports,895.3
Bhutan,Imports,0.1
Maldives,Imports,12.0
