theaterCount,rank,title
4,18,Ex Machina
39,15,Ex Machina
1255,6,Ex Machina
1279,6,Ex Machina
2004,6,Ex Machina
1718,9,Ex Machina
896,12,Ex Machina
506,13,Ex Machina
302,19,Ex Machina
194,20,Ex Machina
124,29,Ex Machina
81,34,Ex Machina
61,36,Ex Machina
39,42,Ex Machina
31,47,Ex Machina
10,24,Far from the Madding Crowd
99,15,Far from the Madding Crowd
289,10,Far from the Madding Crowd
865,7,Far from the Madding Crowd
902,9,Far from the Madding Crowd
610,14,Far from the Madding Crowd
366,17,Far from the Madding Crowd
256,20,Far from the Madding Crowd
122,24,Far from the Madding Crowd
105,28,Far from the Madding Crowd
98,30,Far from the Madding Crowd
74,39,Far from the Madding Crowd
47,42,Far from the Madding Crowd
27,58,Far from the Madding Crowd
18,60,Far from the Madding Crowd
3366,3,The Longest Ride
3371,5,The Longest Ride
3140,7,The Longest Ride
2115,10,The Longest Ride
1464,11,The Longest Ride
803,14,The Longest Ride
329,17,The Longest Ride
230,21,The Longest Ride
155,28,The Longest Ride
116,31,The Longest Ride
45,40,The Longest Ride
24,56,The Longest Ride
9,67,The Longest Ride
