State,Attribute,Value
Alabama,Biden,0
Alabama,Trump,9
Alabama,Biden_margin,-25
Alabama,Trump_margin,25
Alaska,Biden,0
Alaska,Trump,3
Alaska,Biden_margin,-11
Alaska,Trump_margin,11
Arizona,Biden,11
Arizona,Trump,0
Arizona,Biden_margin,1
Arizona,Trump_margin,-1
Arkansas,Biden,0
Arkansas,Trump,6
Arkansas,Biden_margin,-28
Arkansas,Trump_margin,28
California,Biden,55
California,Trump,0
California,Biden_margin,30
California,Trump_margin,-30
Colorado,Biden,9
Colorado,Trump,0
Colorado,Biden_margin,12
Colorado,Trump_margin,-12
Connecticut,Biden,7
Connecticut,Trump,0
Connecticut,Biden_margin,20
Connecticut,Trump_margin,-20
D.C.,Biden,3
D.C.,Trump,0
D.C.,Biden_margin,87
D.C.,Trump_margin,-87
Delaware,Biden,3
Delaware,Trump,0
Delaware,Biden_margin,19
Delaware,Trump_margin,-19
Florida,Biden,0
Florida,Trump,29
Florida,Biden_margin,-3
Florida,Trump_margin,3
Georgia,Biden,16
Georgia,Trump,0
Georgia,Biden_margin,1
Georgia,Trump_margin,-1
Hawaii,Biden,4
Hawaii,Trump,0
Hawaii,Biden_margin,31
Hawaii,Trump_margin,-31
Idaho,Biden,0
Idaho,Trump,4
Idaho,Biden_margin,-31
Idaho,Trump_margin,31
Illinois,Biden,20
Illinois,Trump,0
Illinois,Biden_margin,16
Illinois,Trump_margin,-16
Indiana,Biden,0
Indiana,Trump,11
Indiana,Biden_margin,-16
Indiana,Trump_margin,16
Iowa,Biden,0
Iowa,Trump,6
Iowa,Biden_margin,-8
Iowa,Trump_margin,8
Kansas,Biden,0
Kansas,Trump,6
Kansas,Biden_margin,-16
Kansas,Trump_margin,16
Kentucky,Biden,0
Kentucky,Trump,8
Kentucky,Biden_margin,-26
Kentucky,Trump_margin,26
Louisiana,Biden,0
Louisiana,Trump,8
Louisiana,Biden_margin,-19
Louisiana,Trump_margin,19
Maine,Biden,3
Maine,Trump,1
Maine,Biden_margin,9
Maine,Trump_margin,-9
Maryland,Biden,10
Maryland,Trump,0
Maryland,Biden_margin,32
Maryland,Trump_margin,-32
Massachusetts,Biden,11
Massachusetts,Trump,0
Massachusetts,Biden_margin,32
Massachusetts,Trump_margin,-32
Michigan,Biden,16
Michigan,Trump,0
Michigan,Biden_margin,3
Michigan,Trump_margin,-3
Minnesota,Biden,10
Minnesota,Trump,0
Minnesota,Biden_margin,8
Minnesota,Trump_margin,-8
Mississippi,Biden,0
Mississippi,Trump,6
Mississippi,Biden_margin,-19
Mississippi,Trump_margin,19
Missouri,Biden,0
Missouri,Trump,10
Missouri,Biden_margin,-16
Missouri,Trump_margin,16
Montana,Biden,0
Montana,Trump,3
Montana,Biden_margin,-17
Montana,Trump_margin,17
Nebraska,Biden,1
Nebraska,Trump,4
Nebraska,Biden_margin,-20
Nebraska,Trump_margin,20
Nevada,Biden,6
Nevada,Trump,0
Nevada,Biden_margin,2
Nevada,Trump_margin,-2
New Hampshire,Biden,4
New Hampshire,Trump,0
New Hampshire,Biden_margin,7
New Hampshire,Trump_margin,-7
New Jersey,Biden,14
New Jersey,Trump,0
New Jersey,Biden_margin,16
New Jersey,Trump_margin,-16
New Mexico,Biden,5
New Mexico,Trump,0
New Mexico,Biden_margin,10
New Mexico,Trump_margin,-10
New York,Biden,29
New York,Trump,0
New York,Biden_margin,13
New York,Trump_margin,-13
North Carolina,Biden,0
North Carolina,Trump,15
North Carolina,Biden_margin,-1
North Carolina,Trump_margin,1
North Dakota,Biden,0
North Dakota,Trump,3
North Dakota,Biden_margin,-33
North Dakota,Trump_margin,33
Ohio,Biden,0
Ohio,Trump,18
Ohio,Biden_margin,-8
Ohio,Trump_margin,8
Oklahoma,Biden,0
Oklahoma,Trump,7
Oklahoma,Biden_margin,-33
Oklahoma,Trump_margin,33
Oregon,Biden,7
Oregon,Trump,0
Oregon,Biden_margin,17
Oregon,Trump_margin,-17
Pennsylvania,Biden,20
Pennsylvania,Trump,0
Pennsylvania,Biden_margin,1
Pennsylvania,Trump_margin,-1
Rhode Island,Biden,4
Rhode Island,Trump,0
Rhode Island,Biden_margin,21
Rhode Island,Trump_margin,-21
South Carolina,Biden,0
South Carolina,Trump,9
South Carolina,Biden_margin,-12
South Carolina,Trump_margin,12
South Dakota,Biden,0
South Dakota,Trump,3
South Dakota,Biden_margin,-26
South Dakota,Trump_margin,26
Tennessee,Biden,0
Tennessee,Trump,11
Tennessee,Biden_margin,-24
Tennessee,Trump_margin,24
Texas,Biden,0
Texas,Trump,38
Texas,Biden_margin,-6
Texas,Trump_margin,6
Utah,Biden,0
Utah,Trump,6
Utah,Biden_margin,-20
Utah,Trump_margin,20
Vermont,Biden,3
Vermont,Trump,0
Vermont,Biden_margin,35
Vermont,Trump_margin,-35
Virginia,Biden,13
Virginia,Trump,0
Virginia,Biden_margin,10
Virginia,Trump_margin,-10
Washington,Biden,12
Washington,Trump,0
Washington,Biden_margin,19
Washington,Trump_margin,-19
West Virginia,Biden,0
West Virginia,Trump,5
West Virginia,Biden_margin,-39
West Virginia,Trump_margin,39
Wisconsin,Biden,10
Wisconsin,Trump,0
Wisconsin,Biden_margin,1
Wisconsin,Trump_margin,-1
Wyoming,Biden,0
Wyoming,Trump,3
Wyoming,Biden_margin,-43
Wyoming,Trump_margin,43
