category,Attribute,Value
Online advertising,Q1 Budget,44000
Online advertising,Q1 Actual,48000
Online advertising,Q2 Budget,13000
Online advertising,Q2 Actual,20000
Sales Training,Q1 Budget,55000
Sales Training,Q1 Actual,50000
Sales Training,Q2 Budget,36000
Sales Training,Q2 Actual,40000
Print advertising,Q1 Budget,41000
Print advertising,Q1 Actual,40000
Print advertising,Q2 Budget,20000
Print advertising,Q2 Actual,25000
Catalogs,Q1 Budget,67000
Catalogs,Q1 Actual,65000
Catalogs,Q2 Budget,8000
Catalogs,Q2 Actual,10000
Meetings,Q1 Budget,22000
Meetings,Q1 Actual,25000
Meetings,Q2 Budget,13000
Meetings,Q2 Actual,12000
Public relations,Q1 Budget,43000
Public relations,Q1 Actual,40000
Public relations,Q2 Budget,27000
Public relations,Q2 Actual,28000
