Category,Attribute,Value
Norway,Labor Costs (y),50.2
Norway,Labor Costs (z),335504
Denmark,Labor Costs (y),42
Denmark,Labor Costs (z),277339
Belgium,Labor Costs (y),39.2
Belgium,Labor Costs (z),421611
Sweden,Labor Costs (y),38
Sweden,Labor Costs (z),462057
France,Labor Costs (y),35.6
France,Labor Costs (z),2228857
Netherlands,Labor Costs (y),34.3
Netherlands,Labor Costs (z),702641
Finland,Labor Costs (y),33.2
Finland,Labor Costs (z),215615
Germany,Labor Costs (y),33
Germany,Labor Costs (z),3144050
Austria,Labor Costs (y),32.7
Austria,Labor Costs (z),349344
Ireland,Labor Costs (y),30.4
Ireland,Labor Costs (z),275567
Italy,Labor Costs (y),27.8
Italy,Labor Costs (z),1672438
United Kingdom,Labor Costs (y),26.7
United Kingdom,Labor Costs (z),2366911
Spain,Labor Costs (y),21.3
Spain,Labor Costs (z),1113851
Greece,Labor Costs (y),14.2
Greece,Labor Costs (z),175887
Portugal,Labor Costs (y),13.7
Portugal,Labor Costs (z),184933
Czech Republic,Labor Costs (y),10.2
Czech Republic,Labor Costs (z),176564
Poland,Labor Costs (y),8.6
Poland,Labor Costs (z),424269
Romania,Labor Costs (y),5.5
Romania,Labor Costs (z),169578
