Category,Planets (z)
Proxima Centauri b,3.400761027
GJ 876 e,46.40290748
HD 219134 d,51.39280917
GJ 357 b,5.848037655
HD 115404 A b,97.98437943
TRAPPIST-1 f,3.302234306
GJ 163 d,93.44147122
HD 113538 c,2.955801641
Epsilon Eridani b,2.09766568
GJ 9066 c,0.66743908
HD 219134 f,23.20145374
GJ 357 c,10.80615654
HD 115404 A c,32.79668509
TRAPPIST-1 g,4.198509642
Gl 378 b,41.38122297
HD 128311 b,5.62237968
GJ 887 b,13.3487816
GJ 1002 b,3.432543841
HD 219134 g,34.34520732
GJ 357 d,19.38751614
HD 3651 b,0.724648144
TRAPPIST-1 h,1.036119715
LHS 1140 b,20.27743491
HD 128311 c,12.04250797
GJ 887 c,24.15493814
GJ 1002 c,4.322462614
HD 219134 h,1.080615654
GJ 367 b,1.735341608
HD 85512 b,11.4418128
"VHS J125601,92-125723,9 b",50.85250134
LHS 1140 c,5.593775148
HD 21749 c,11.75964094
Ross 128 b,4.449593868
GJ 682 b,13.98443787
LTT 1445 A b,9.121667429
HD 285968 b,26.69756321
Ross 508 b,12.71312534
HD 147513 b,3.845720414
LHS 3844 b,7.151133001
GJ 3082 b,26.06190694
Epsilon Indi A b,10.32941434
GJ 682 c,27.65104761
LTT 1445 A c,4.894553254
Wolf 1069 b,4.004634481
Ross 458 c,19.069688
HD 40307 b,12.71312534
51 Pegasi b,1.462009414
GJ 3942 b,22.69292872
GJ 1061 b,4.354245428
GJ 832 b,2.542625067
GJ 393 b,5.434861081
AU Microscopii b,63.94702044
GJ 180 b,20.62704586
HD 40307 c,20.9766568
GJ 317 b,7.945703335
HD 177565 b,47.99204814
GJ 1061 c,5.530209521
HD 26965 b,26.9200429
GJ 667 C b,17.79837547
AU Microscopii c,30.51150081
GJ 180 c,20.34100054
HD 40307 d,30.19367267
GJ 317 c,5.224967382
HD 7924 b,20.20306313
GJ 1061 d,5.212381388
GJ 251 b,12.71312534
GJ 667 C c,12.07746907
GJ 436 b,70.24001748
GJ 180 d,24.02780688
HD 40307 f,16.52706294
HD 140901 b,49.4972504
HD 7924 c,24.98129129
GJ 15 A b,9.630192442
GJ 3323 b,6.420128295
GJ 667 C e,8.581359602
GJ 680 b,79.77486148
GJ 414 A b,24.15493814
HD 40307 g,22.56579747
HD 140901 c,19.9723199
HD 7924 d,20.46813179
GJ 15 A c,114.418128
GJ 3323 c,7.341829882
GJ 667 C f,8.581359602
Gl 49 b,17.89372391
GJ 414 A c,0.53830551
HD 211970 b,41.31765734
HD 238090 b,21.89835839
HR 810 b,7.214698628
Tau Ceti e,12.49064564
GJ 229 A c,27.27400809
GJ 667 C g,14.62009414
GJ 1265 b,23.51928187
GJ 96 b,62.48501103
HD 22496 b,17.70302703
TYC 2187-512-1 b,1.04883284
GJ 3021 b,10.7108081
Tau Ceti f,12.49064564
GJ 229 b,47.47697587
GJ 514 b,16.52706294
HD 260655 b,6.801522055
HD 141004 b,43.33535746
Upsilon Andromedae b,2.185386245
GJ 720 A b,43.3517574
GJ 504 b,12.71312534
Tau Ceti g,5.561992334
GJ 273 b,9.185233055
GJ 1151 c,33.75334777
HD 260655 c,9.820889322
GJ 179 b,3.019367267
Upsilon Andromedae c,44.43237305
HD 160691 b,13.66660974
HD 10647 b,2.987584454
Tau Ceti h,5.816254841
GJ 273 c,3.750371974
GJ 486 b,8.962753362
L 363-38 b,14.84257383
55 Cancri b,2.639880476
Upsilon Andromedae d,32.57738367
HD 160691 c,13.98443787
Rho Coronae Borealis b,3.473861498
Teegarden's Star b,3.337195401
GJ 411 b,8.549576788
Gl 686 b,21.05293556
"WISEP J121756,91+162640,2 A b",69.92218935
55 Cancri c,0.544757421
47 Ursae Majoris b,8.041051775
HD 160691 d,32.32312117
Rho Coronae Borealis c,89.62753362
Teegarden's Star c,3.527892281
HD 180617 b,38.81952821
61 Virginis b,16.2092348
GJ 536 b,17.03558795
55 Cancri d,12.32537501
47 Ursae Majoris c,1.71627192
HD 160691 e,22.24796934
Rho Coronae Borealis d,68.65087681
YZ Ceti b,2.224796934
HD 95735 c,43.22462614
61 Virginis c,57.84472028
